statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"""Sen. Obama's campaign announced that he's choosing his  cabinet.""",false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""Sherrod Brown and his special interest allies in Washington are plotting to spend over $13 million"" to defeat Josh Mandel.",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"""The Republican Party   lost 1.1 million registered voters since 2008. The Democratic Party  lost  1.2 million registered voters… (while) voter registration in the   Libertarian Party rose 8 percent.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
Michael Moore is supporting Trump in the 2024 election.,false,false,"['mostly-false', 'false']",2,True
"MikeHuckabee.com gets ""more hits than virtually any other presidential candidate.""",true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"A Texas law requires every high school to have a voter registrar ""and part of their responsibility is to make sure that when children become 18 and become eligible to vote, that they vote.""",half-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""I did very well with young people in Ohio, Massachusetts, California.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"The last time Republican U.S. Senate candidates ""beat more than two (incumbents) was 1980.""",true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""For the first time in over 40 years, Republicans don’t hold a single statewide office"" in Virginia.",true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"If the voting bill H.R. 1 is passed, “absentee ballots would be mailed out to anyone without proof of the voter’s identity.”",false,false,"['mostly-false', 'false']",2,True
"Rep. Ruben Gallego is “controlled by the cartels. His own father was a Colombian drug trafficker, and so he’s got links to the cartel.”",pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""Could I just point out that ... I seem to get the first question all the time?""",true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""I won the majority of the Republican vote in both New Hampshire and South Carolina.""",false,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says rival Jill Karofsky wants ""to disarm law abiding citizens.""",mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"Ten times, no Republican candidate for president had enough delegates to claim the nomination before the party’s convention, and seven of those times ""somebody who was not the leader of delegates was selected as the nominee of the party.""",mostly-true,true,"['true', 'mostly-true', 'half-true']",3,True
"""Across the state the rejection rate for ballots went way down” in the Nov. 3 election.",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Big victory moments ago in the State of Nevada. The all Democrat County Commissioner race, on same ballot as President, just thrown out because of large scale voter discrepancy.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
“The Post Office advises never send cash in the mail. It’s not secure. Vote by mail?”,mostly-false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"In 2018, when he ran for senator, ""young voter turnout in early voting was up 500%. We won more votes than any Democrat has in the history of the state of Texas.""",true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Bruce Rauner is of record that he will fully support the Trump candidacy. It's documented. It’s available.""",mostly-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""We win when voter turnout is high, we lose when it is low.""",mostly-false,true,"['true', 'mostly-true']",2,False
"I am ""the first Latina to run for governor of Texas.""",false,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""There's nothing in the voting instructions that we've been getting in the last several elections that lets you know"" about the limitations of the master lever.",false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"“Liz Cheney cries like kids after loses in ‘primary’ against Trump’s pick,” two days before the primary election.",pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""Triggering leftists, Trump's reelection campaign is selling plastic straws.""",true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
“Every single Senate Democrat voted against hiring more border agents. They voted against deporting felons. And they voted against ending catch and release.”,mostly-false,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"Says Joe Biden proposed “killing over 600,000 jobs supported by fracking.”",false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"“15 days left to vote BUT if you are voting by mail, you need to vote TODAY. USPS says it needs a 14 day roundtrip to be counted on election day.”",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
Wake County is the only large county in North Carolina that elects its commissioners at-large countywide.,mostly-true,true,"['true', 'mostly-true', 'mostly-false']",3,True
Proof of citizenship isn't necessary before you register to vote in Florida.,mostly-false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says ""over 1 million signatures"" were submitted in attempt to recall Gov. Scott Walker.",false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""@realDonaldTrump is coming to San Antonio, which is 60% Mexican-AMERICAN.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
“That’s why they are allowing these people to come in — people that don’t speak our language — they are signing them up to vote.”,pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True
"“Arizona trooper found 50,000 ballots in dumpster all for President Trump!!”",false,false,"['false', 'pants-fire']",2,True
"In South Philadelphia, people are “getting paid $700 a week to go to wherever Kamala’s campaign tells them to go to.”",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"Says Madison Mayor Paul Soglin's stated intent when proposing that city contractors disclose private political donations was to ""discourage contributions to organizations with which he disagrees.""",true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
Says in Texas the “average age of the Republican voter is like 20 years older than the average Democrat.”,false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"“States run elections, not the federal government.”",mostly-false,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
Wisconsin makes it more difficult for its citizens to vote than almost any state in the nation.,true,mostly-true,"['true', 'mostly-true', 'mostly-false']",3,True
"“Every state that does not require voter ID, Kamala won.”",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
Says Robin Vos wore protective gear that “election workers he forced to work … do not have.”,mostly-false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"Says Barack Obama is the ""first president to appoint 45 czars to replace elected officials in his office.""",false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
Ranked choice voting in Alaska is a “total rigged deal.”,pants-fire,pants-fire,"['mostly-false', 'false', 'pants-fire']",3,True
"As attorney general, Catherine Cortez Masto “opposed tougher laws on methamphetamine dealers.”",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""The servers of the Pakistani gentleman that worked on the DNC"" are ""missing.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
