statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"Says Hillary Clinton ""has even deleted this record of total support (for the Trans-Pacific Partnership trade agreement) from her book.""",pants-fire,false,"['mostly-false', 'false']",2,False
"""About 2 percent of Americans get paid the minimum wage.""",mostly-true,mostly-true,"['true', 'mostly-true']",2,True
"""As Houston's mayor, I helped our area lead the nation in job growth.""",false,false,['false'],1,True
"Columbia, Mo., is ""one of the fastest growing cities in the region, the only city in the state to grow jobs faster than the nation as a whole.""",mostly-false,false,"['mostly-false', 'false']",2,True
The minimum wage has risen $2.35 in the last two years. That's 31 percent.,false,false,['false'],1,True
"""We should be seeing numbers in the 500,000 jobs created per month. (Creating 115,000 jobs, the total from April 2012) is way, way, way off from what should happen in a normal recovery.""",half-true,mostly-false,"['half-true', 'mostly-false', 'false']",3,True
"""Of all the jobs President Obama claims to have created since he started, only 38.5 percent are women. So 61.5 percent have gone to men.""",half-true,true,"['true', 'mostly-true']",2,False
"""About 40 percent of Hispanic homeowners have subprime mortgages.""",true,true,['true'],1,True
"A former Clinton administration official and other economists agree that ""if you keep extending these temporary unemployment benefits, you're just going to extend joblessness even more.""",half-true,half-true,['half-true'],1,True
"After hearing ""the frustrations parents and teachers have with the FCAT,"" next year ""we begin improving our testing system.""",half-true,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"Slim Jims ""just recently"" cost 99 cents but now cost $2.69.",false,false,['false'],1,True
"Salaries of Austin residents who don't work for city government ""have not been going up 3 percent a year for the last several years.""",mostly-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"President Barack Obama ""has now spent three years proving that he kills jobs in energy, he kills jobs in manufacturing.""",mostly-false,false,"['mostly-false', 'false']",2,True
"""The average student comes out of college hundreds of thousands of dollars in debt.""",false,true,"['true', 'mostly-true', 'false']",3,True
"The oceans ""have become 30 percent more acidic.""",mostly-true,true,"['true', 'mostly-true']",2,True
"""The bottom line is clear: Under the policies of this unified Republican government, American workers, families, and business owners are achieving economic growth that is unmatched in recent memory. … More than 1 million new jobs have been created just since we passed tax reform last December.""",half-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false']",3,True
"""There are 3 million jobs available in America that are not filled because too many of our people don’t have the skills for those jobs.""",half-true,mostly-false,"['half-true', 'mostly-false', 'false']",3,True
"""Obama goes to G20 summit ...  Everywhere President Donald Trump goes, Obama shows up, too.""",pants-fire,false,['false'],1,False
"""This is the first time since the Depression that unemployment has stayed above 9 percent for two consecutive years.""",false,false,['false'],1,True
"“In Boone County (Missouri) with a 1.7% unemployment rate, we can’t find enough people, we can’t fill all the job openings.”",mostly-true,mostly-true,"['true', 'mostly-true']",2,True
"""The vast majority of minimum wage workers get a raise within a year.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""Eight million Americans have dropped out of the work force since (Barack) Obama became president. ... The real unemployment rate is 19 percent.""",mostly-false,mostly-false,['mostly-false'],1,True
"Recovery.gov listed congressional districts that ""do not exist.""",mostly-true,half-true,"['mostly-true', 'half-true', 'mostly-false']",3,True
"""Productivity has risen 18 percent ...yet wages have stayed flat... There are 5-million more people in poverty here in our country than there were in 2000.""",true,true,['true'],1,True
"""Our economy could fall $1 trillion short of its full capacity, which translates into more than $12,000 in lost income for a family of four.""",half-true,half-true,['half-true'],1,True
The economic impact of Atlanta's 2000 Super Bowl was $292 million.,false,false,"['true', 'mostly-true', 'mostly-false', 'false']",4,True
"""Every county, including Chittenden, has fewer people available for work.""",false,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
Says Bernie Sanders voted against the auto bailout,half-true,half-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""The black unemployment rate (has) increased since the recovery has begun.""",true,true,['true'],1,True
"""Warren (Buffett) still does support me.""",true,true,['true'],1,True
"""Redistribution"" has ""never been a characteristic of America.""",pants-fire,false,['false'],1,False
"In Pennsylvania, President Barack Obama’s policies have increased unemployment 19 percent, led to the loss of 37,900 manufacturing jobs, and left 189,000 more people in poverty.",half-true,half-true,['half-true'],1,True
"As state treasurer, Alexi Giannoulias ""lost $73 million in our kids’ college savings.""",half-true,half-true,"['mostly-true', 'half-true']",2,True
"""The 1990s were a time of prosperity. We created more than 22-million new jobs, moved 8-million people out of poverty, and turned our economy around.""",true,true,['true'],1,True
"""We took Wisconsin from the Bottom 10 for business to the Top 10.""",mostly-false,mostly-false,"['mostly-false', 'false']",2,True
"According to the most recent jobs report, ""we've got more Americans leaving the workforce than we have finding jobs.""",half-true,half-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
Comparing the price of oil and gas in June 2008 to March 2022 shows that oil companies are “price gouging.”,false,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"Under Gov. Ron DeSantis, “in the last five years, spending has gone up 30%"" in Florida.",half-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""Barack Obama is in an economy that's only worsened since he's been president of the United States.""",half-true,half-true,"['half-true', 'mostly-false']",2,True
"""More Americans have lost their jobs under Barack Obama than any president in modern history.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Personal income is growing faster in Tennessee on average than any other state in the country.""",false,false,"['mostly-false', 'false']",2,True
"After Britain’s vote to leave the European Union, ""within 24 hours, Americans lost $100 billion from our 401(k)s.""",mostly-true,mostly-true,"['true', 'mostly-true']",2,True
"Says that before Rick Perry became governor, ""only 4 percent of our total labor force was a minimum wage job ... Today, that number has more than doubled (to) 9.5 percent.""",half-true,half-true,['half-true'],1,True
"""Understand, this is unemployment insurance. It’s not welfare, as a lot of my Republican colleagues like to suggest it is. You pay into it when you’re working. You get help when you’re not.""",mostly-true,mostly-true,['mostly-true'],1,True
"""The Congressional Budget Office estimates that for every $1 we spend on unemployment benefits, $1.90 is put into our economy.""",half-true,mostly-true,"['mostly-true', 'half-true']",2,True
"""In 2011, there were more than 28,000 new Tennessee jobs created and over $4 billion in capital investment. Our Jobs4TN plan is working.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
“No economist out there is projecting that (the Build Back Better bill) will have a negative impact on inflation.”,false,false,"['mostly-false', 'false']",2,True
"""Rhode Island has the highest percentage of uninsured adults of any state in New England.""",mostly-true,mostly-true,['mostly-true'],1,True
"""On a per capita basis, Irving-Las Colinas has more Fortune 500 companies than any city in the United States of America.""",mostly-true,false,"['mostly-false', 'false']",2,False
"Says illegal immigration is ""costing us $130 billion a year to house and feed and give benefits to people that shouldn’t be even in the country.""",mostly-false,mostly-false,"['mostly-false', 'false']",2,True
Americans “currently are making less than at the height of the Great Depression.”,pants-fire,false,"['false', 'pants-fire']",2,True
"""Most Americans don’t own stocks.""",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""We have the third-lowest minimum wage … of developed countries.""",true,true,"['true', 'mostly-true']",2,True
"Under Joe Biden, there are “record numbers of new Black entrepreneurs.”",true,true,"['true', 'mostly-true']",2,True
"""We went from losing 3 million jobs in the last six months of the Bush Administration,"" adding almost 600,000 private sector jobs in the first six months of the year.",mostly-true,mostly-true,['mostly-true'],1,True
“California provides $83.1 billion more than we receive from the federal government. Texas? Receives $71.1 billion more than they provide to the federal government. 71% of the U.S. GDP comes from blue counties.”,mostly-true,mostly-true,"['true', 'mostly-true']",2,True
"Says that President Obama promised that with the stimulus plan, ""unemployment would never go above 8 percent. He even said it would be 6 percent by now.""",mostly-false,mostly-false,"['half-true', 'mostly-false']",2,True
"""GDP was zero essentially for the last two quarters.""",false,false,['false'],1,True
"""The legislature was never given the opportunity to debate or vote on loaning $75 million to 38 Studios.""",true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""California is once again the sixth-largest economy in the world. If you add the GDP’s of Washington and Oregon, California would surpass the United Kingdom to become the fifth-largest economy in the world.""",mostly-true,mostly-true,"['mostly-true', 'half-true']",2,True
"""80 percent of North Carolinians are for the living wage""",mostly-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false']",3,True
"""We cut taxes for 95 percent of working families.""",true,true,['true'],1,True
"“My Treasury Department is planning to pay down the national debt this quarter, which never happened under my predecessor.”",half-true,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""Within a few years, we will be spending more on interest payments than on national security.""",false,false,['false'],1,True
"Says he created ""over 500,000 new jobs -- with a surge in female employment last month.""",half-true,false,"['mostly-false', 'false']",2,False
"""Before NAFTA, trade between the US and Mexico was around $50 billion. Now it stands at more than $500 billion.""",mostly-true,true,"['true', 'mostly-true']",2,True
"""It's been 17 years that we've had unemployment higher than the national average in Oregon.""",true,false,"['mostly-false', 'false']",2,False
"""During Obama's first five years as president, black unemployment increased 42 percent. During Reagan's presidency, black unemployment dropped 20 percent.""",pants-fire,false,['false'],1,False
"""When was the last time you saw a Chevrolet in Japan? It doesn’t exist, folks.""",mostly-false,false,"['mostly-false', 'false']",2,True
"""In Wisconsin, a woman only earns 80 cents for every $1 a man earns.""",mostly-true,mostly-true,['mostly-true'],1,True
"Says with the ongoing economic downturn, child abuse is on the rise.",mostly-true,mostly-true,['mostly-true'],1,True
"More than 10 years of free trade ""has brought a $2 billion per day trade deficit.""",mostly-true,mostly-true,['mostly-true'],1,True
"The GOP budget plan ""would cut nearly a million jobs.""",half-true,half-true,['half-true'],1,True
"Since 2008, Gwinnett County’s population has grown 15 percent, while the county government staff has increased only 1 percent.",true,true,"['true', 'mostly-true']",2,True
"Only ""18 percent of jobs are accessible by transit for metro Atlanta residents. 33 percent for those living in the city.""",true,true,['true'],1,True
"""We have roughly between 85,000 (and) 95,000 open jobs in Wisconsin.""",half-true,half-true,['half-true'],1,True
"Macaulay Culkin’s “Home Alone” shopping trip that cost $19.83 in 1990 would cost $72.28 today, up from $44.40 in 2022.",false,false,['false'],1,True
"The Bush administration had been ""giving (auto companies) billions of dollars and just asking nothing in return.""",false,false,['false'],1,True
"Tariffs are a “direct, regressive tax on Americans” and President Joe Biden’s new tariffs on Chinese goods will “hit every family.”",half-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false']",3,True
The national debt grew an estimated $15 billion last weekend.,true,true,['true'],1,True
