statement,avg_set_size,std_set_size,num_trials,coverage_rate,true_verdict
"""$500 billion of the extension of the Bush tax cuts for the wealthy goes to 120,000 families.""",5.0,0.0,42,1.0,mostly-true
"""(Assembly Democrats) wanted to raise the gas tax by $2.4 billion. We said no to that....They’re down on the ground. They’re sweating. They’re twitching. It’s ugly, ‘cause I keep saying no.""",5.0,0.0,47,1.0,mostly-false
"""(Romney's) record was that he raised taxes by $730-million.""",5.023809523809524,0.15430334996209186,42,1.0,half-true
"""(Ronald Reagan) raised taxes a billion dollars in his first year as governor of California.""",5.0,0.0,55,1.0,true
"""(Sen. Robert) Gordon cost us money, exempting the Newark sports arena from paying property taxes and sticking us with the bill.""",5.0,0.0,43,1.0,mostly-false
"""(Strickland) raised taxes last year to the tune of $840 million.""",4.08,0.2740475156178697,50,1.0,mostly-true
"""(The Tax Policy Center) found that Romney would raise taxes on the average middle class family by $2,000 to pay for $5 trillion in tax cuts for millionaires and billionaires.""",5.0,0.0,52,1.0,half-true
"""...some of those (tax increases) were either court-ordered, or they were voted on by the people and approved by the people for (such) things as roads.""",3.0,0.0,52,1.0,half-true
"""101 utilities cut rates, credit GOP tax cuts.""",5.739130434782608,0.4439610898213518,46,1.0,mostly-true
"""2014 Federal Tax Refunds To Be Delayed Until October 2015.""",2.0,0.0,43,1.0,pants-fire
"""47 - New provisions ObamaCare charges the IRS with implementing, according to the Government Accountability Office.""",3.977272727272727,0.15075567228888176,44,1.0,true
"""70 percent of the income tax that the state collects happens to come from Westchester, Nassau, Suffolk and New York City""",5.0,0.0,59,1.0,true
"""75 percent of the Obamacare tax falls on the middle class.""",5.846153846153846,0.36432130747865443,52,1.0,false
"""80 percent of the (individual mandate) tax falls on those who make $50,000 a year or less.""",5.0,0.0,57,1.0,mostly-true
"""83% of Trump tax breaks go to the wealthiest 1%.""",5.0,0.0,50,1.0,half-true
"""98 percent of American families"" make ""under $250,000 a year.""",5.0,0.0,50,1.0,true
"""98 percent of small businesses make less than $250,000"" and would not see a tax increase under Barack Obama's plan.",5.0,0.0,50,1.0,true
"""A cashier earning $20,000 per year pays the same (Virginia) income tax rate as a hedge fund manager earning $20 million per year.""",3.018867924528302,0.13736056394868904,53,1.0,false
"""A construction worker who’s making $50 or $60 grand a year shouldn’t be paying higher tax rates than the guy who’s making $50 million a year. And that’s how it’s working right now.""",3.4693877551020407,0.5042337758225565,49,1.0,half-true
"""A far different picture from the prior eight years, which saw 115 increases in taxes and fees.""",5.0,0.0,47,1.0,true
"""A grant for $5,000 [from the Governor’s Workforce Board] went to teach an employee at a company that makes ornamental business card holders how to use Facebook and Twitter.""",5.098039215686274,0.3003266195850321,51,1.0,mostly-false
"""A tax on soda and juice drinks would disproportionately increase taxes on low-income families in Philadelphia.""",4.0,0.0,45,1.0,true
"""A trip to Mar-a-Lago costs taxpayers approximately $3.6 million, according to a Government Accountability Office report.""",3.0,0.0,44,0.0,half-true
