statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"Says Donald Trump ""publicly invited Putin to hack into Americans’ (emails).""",half-true,true,"['true', 'false', 'mostly-true', 'mostly-false', 'half-true']",5,True
The Buffalo protester pushed to the ground “had been previously arrested 300 times. 82 times for incitement. Riots is what he does for a living.”,false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"From 2014 to 2015, Austin’s ""murder rate is up a whopping 83 percent.""",mostly-false,mostly-false,"['mostly-false', 'false', 'half-true', 'pants-fire', 'mostly-true']",5,True
"Right now, if Rhode Island police come across a young person with a gun, ""they really don't legally have the right to take it away from them.""",half-true,mostly-true,"['mostly-true', 'half-true', 'false', 'mostly-false', 'true']",5,True
"Says that like Todd Akin, all Texas Republicans in U.S. House cosponsored a bill ""that attempts to distinguish between ‘forcible rape’ and other sexual assaults.""",half-true,false,"['false', 'mostly-false', 'mostly-true', 'half-true', 'true', 'pants-fire']",6,True
"""There’s 21 congressmen and senators that have been convicted of felonies that still get their retirement, even in jail. They don’t have to wait until they’re 65.""",mostly-true,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false', 'false']",5,True
A list shows violent crimes in Los Angeles that “people will be set free on as of today.”,false,false,"['false', 'mostly-false']",2,True
"""The sex-offender registry has been around for a long time, and the research that's out there says that it has no positive impact on the public safety.""",mostly-true,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false']",4,True
"""Chicago experienced its deadliest weekend of the year...With 7 dead and 52 wounded near a playground.""",mostly-false,mostly-false,"['mostly-false', 'false', 'half-true', 'mostly-true', 'true', 'pants-fire']",6,True
"Says George Floyd’s criminal history includes “23 arrests,” “3 car thefts” and many violent crimes.",false,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'true']",5,True
The bomb threat near the U.S. Capitol on Aug. 19 was a false flag.,pants-fire,false,"['false', 'true', 'mostly-false', 'mostly-true', 'half-true', 'pants-fire']",6,True
"After attacking Emma Gonzalez, U.S. Rep. Steve King is ""facing arrest.""",false,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'true']",5,True
"Sakineh Mohammadi Ashtiani ""was never sentenced to stoning.""",false,false,"['false', 'true', 'mostly-false']",3,True
"""A man using bath salts reported that raccoons had set fire inside his home and stolen his cell phone.""",true,true,"['true', 'mostly-true']",2,True
"""The LGBT community is more often the victims of hate crimes than any other recognized group.""",true,true,"['true', 'mostly-true', 'half-true']",3,True
"""There have been three people tried and convicted by the last administration in military courts. Two are walking the street right now.""",true,true,['true'],1,True
"""The FBI is involved in an investigation about people in the Rio Grande Valley who are using cocaine to buy votes.""",mostly-true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
Says 88 Texas constables have died in the line of duty.,true,false,"['false', 'true', 'mostly-true', 'mostly-false', 'half-true']",5,True
"""Murder went up"" when Romney was governor. ""Robbery went up. Violent crimes went up.""",half-true,half-true,['half-true'],1,True
There have been 317 criminal indictments under three recent Republican presidents and only three indictments under three recent Democratic presidents.,half-true,false,"['false', 'mostly-false', 'mostly-true', 'half-true', 'true', 'pants-fire']",6,True
"Says ""some Planned Parenthood chapters have been selling the body parts of aborted fetuses for profit.""",false,false,"['false', 'mostly-false', 'true', 'mostly-true', 'half-true', 'pants-fire']",6,True
"""The state that has the highest per capita number of … guns that end up committing crimes in New York come from Vermont.""",half-true,mostly-true,"['mostly-true', 'half-true', 'true', 'mostly-false', 'false']",5,True
"""One out of every 5 people that the federal government charges with murder is an illegal alien.""",false,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'mostly-true']",5,True
"Says Gov. Rick Perry has been ""begging"" for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.",false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"""Private prison systems are calculating how many new beds (they will need) based on the ... number of third graders.""",pants-fire,false,"['false', 'mostly-false', 'true', 'mostly-true', 'half-true', 'pants-fire']",6,True
"""Ten percent of violent deaths in the U.S. each year are due to strangulation.""",mostly-false,mostly-false,"['mostly-false', 'false', 'half-true', 'mostly-true']",4,True
Suzanne Bonamici was the only no vote on a 2009 bill cracking down on drunk drivers.,true,true,"['true', 'mostly-true', 'half-true', 'false']",4,True
"""We are now seeing a decrease in violent crime.""",true,true,"['true', 'mostly-true']",2,True
"“Both murderers in Texas were not only illegals, but gang members” and were “most likely tied to MS-13.”",false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"New York state is outpacing the rest of the country, because shootings in New York are down 10%, and across the country the drop is only 2%.",half-true,half-true,"['half-true', 'mostly-true', 'mostly-false', 'false', 'true']",5,True
"""Of the top five cities for staged automobile accidents, three are in Florida. … We rank No. 1 in the country in staged auto accidents.""",mostly-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false']",3,True
"""Studies have shown Latinos are more than 40 percent less likely to call 911 when they have been a victim of a crime.""",mostly-true,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false', 'false']",5,True
"About ""1 percent of all the gun sellers are responsible for more than half of the guns that are used in crimes.""",half-true,half-true,"['half-true', 'mostly-true']",2,True
"""If you look at what we’ve done over the last several years, the crime rate has actually gone down in [Providence] and . . . the number of shootings has been going down.""",half-true,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false', 'false']",5,True
"Says Texas has ""had over 600,000 crimes committed by illegals since 2011. Over 1,200 homicides.""",pants-fire,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'mostly-true', 'true']",6,True
"""What we have now is the most generous, in my opinion, 'good time' bill in the entire United States.""",false,false,"['false', 'pants-fire', 'mostly-false', 'mostly-true']",4,True
"The Super Bowl has ""one of the highest levels of human sex trafficking activity of any event in the country.""",mostly-false,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'mostly-true', 'true']",6,True
"""Husbands rarely beat up their wives. Single women get beaten up more.""",half-true,half-true,"['half-true', 'mostly-false', 'mostly-true']",3,True
"Black Lives Matter ""injures 1000 police officers kills 36 people and does $8 billion in damage.""",false,false,"['false', 'pants-fire', 'mostly-false', 'mostly-true']",4,True
"Says North Carolina Rep. Renee Ellmers was the only Republican to vote against ""an amendment to prioritize the deportation of sexual criminals who are illegal immigrants.""",half-true,false,"['false', 'mostly-false', 'mostly-true', 'half-true', 'true']",5,True
"Says ""if you are shot in the city of Newark, you have over an 80 percent chance that you've been arrested before an average of 10 times.""",mostly-true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says Texas has ""11 different felonies you can commit with an oyster.""",mostly-true,true,"['true', 'mostly-true', 'half-true', 'false', 'mostly-false']",5,True
"In the immediate wake of a fire and vandalism at the Madison headquarters of an anti-abortion group, Democrats had not condemned “activists who are engaging in this repugnant illegal activity.”",mostly-false,mostly-false,"['mostly-false', 'false', 'half-true', 'mostly-true', 'true', 'pants-fire']",6,True
"In 2009, the FBI ""referred more than 71,000"" cases of people failing background checks when trying to buy a gun to another federal agency, ""but U.S. attorneys ultimately prosecuted only 77 of them.""",half-true,half-true,"['half-true', 'mostly-true']",2,True
"""Even members of the NRA, when they were polled recently, were under the impression that everyone has a criminal background check.""",mostly-true,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false', 'false']",5,True
"From 2000 to 2008, we averaged ""about five mass shootings a year. We're now averaging 15. So that's a three-fold increase.""",mostly-false,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire', 'true']",6,True
"People on pot ""shoot each other ... stab each other ... strangle each other, drive under the influence, kill families.""",mostly-false,false,"['false', 'mostly-false', 'mostly-true', 'half-true', 'pants-fire', 'true']",6,True
"""An organized crime syndicate was extorting money from his (Tom Ganley’s) business, threatening his family, but he fought back and won the FBI's highest civilian award""",true,true,"['true', 'mostly-true', 'half-true']",3,True
"A Texas police department bought an ad telling drug dealers, ""We can take your competition off the streets for FREE.""",true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"A reporter who covered the Buffalo supermarket shooting was a ""crisis actor.""",pants-fire,pants-fire,"['pants-fire', 'false']",2,True
“There is a place in the U.S. where murder is legal.”,false,false,"['false', 'mostly-false', 'true', 'pants-fire', 'half-true', 'mostly-true']",6,True
"A recent spending bill had at least ""$1.6 billion in there ... for schools to give them an opportunity to secure them.""",mostly-false,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'true', 'pants-fire']",6,True
"A Republican bill that would change John Doe criminal investigations is ""creating exceptions in the law for politicians.""",mostly-true,mostly-true,"['mostly-true', 'half-true', 'true', 'mostly-false']",4,True
"Georgia has more than 700 law enforcement agencies, and fewer than 20 percent of them are state-certified.",mostly-true,mostly-true,"['mostly-true', 'true', 'half-true', 'false', 'mostly-false']",5,True
Says federal law enforcement officers cut off questioning of the Christmas Day underwear bomber by giving him a Miranda warning after 30 minutes of questioning.,half-true,half-true,"['half-true', 'mostly-true', 'mostly-false']",3,True
"''Over 40 percent of African-American men in (Milwaukee County) have been going to prison for low-level drug offenses, and I think a hundred times that in the city of Madison.""",false,false,"['false', 'pants-fire', 'mostly-false', 'mostly-true']",4,True
"""Last year was one of the deadliest years ever for law enforcement officers.""",false,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'true', 'pants-fire']",6,True
"""Since 1978, California has spent $5 billion to put 13 people to death.""",mostly-false,false,"['false', 'mostly-true', 'mostly-false', 'half-true', 'true', 'pants-fire']",6,True
"Say that according to the Los Angeles Times, “95% of warrants for murder in Los Angeles are for illegal aliens,” more than two-thirds of all births in Los Angeles County “are to illegal alien Mexicans” on Medicaid, “nearly 60% of all occupants of HUD properties are illegal,” and Nancy Pelosi “wants to put a windfall tax” on retirement fund profits.",pants-fire,false,"['false', 'pants-fire', 'mostly-false']",3,True
“There are people trying to make legal age of consent 4 years old.”,false,false,"['false', 'pants-fire']",2,True
"Says three Ukrainians recently captured on a West Texas ranch are among ""individuals from countries that have strong terrorist ties being apprehended"" near the state’s border with Mexico.",half-true,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false', 'false']",5,True
Says he took down the mob in Northeast Ohio,mostly-false,true,"['true', 'mostly-true', 'false', 'half-true']",4,False
"The ""stand your ground"" law caused the shooting death of Trayvon Martin.",false,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire', 'true']",6,True
A test last month at the MAX station at 162nd Avenue and East Burnside saw crime down 41 percent compared with December 2009,mostly-true,mostly-true,['mostly-true'],1,True
"""Seventy four percent of Californians are absolutely against sanctuary state"" policies.",false,false,"['false', 'mostly-false', 'half-true', 'pants-fire']",4,True
