statement,avg_set_size,std_set_size,num_trials,coverage_rate,true_verdict
"""#GradInsurance debacle is a DIRECT result of #ObamaCare. #MIZZOU has to break the law to do the right thing.""",4.0,0.0,43,1.0,half-true
"""$3 billion over the next five years will be taken out of our public schools and be put into vouchers.""",4.0,0.0,50,1.0,mostly-false
"""(Charter schools in Missouri) are actually failing in a greater capacity than the public school systems.""",5.64,0.48487322138506117,50,1.0,mostly-false
"""(Newt Gingrich) voted in favor of establishing the Department of Education, and yet he gets in a debate and says we should get rid of the Department of Education and send all the education issues back to the states.""",6.0,0.0,48,1.0,half-true
"""(The Opportunity Scholarship Act) would be funded directly from public school budgets. So it would absolutely take money out of the public school system to transfer to private and religious schools.""",6.0,0.0,52,1.0,mostly-true
"""(The) top issue for college students is the economy.""",6.0,0.0,48,1.0,true
"""...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat.""",5.127272727272727,0.3363499860730087,55,1.0,mostly-true
"""1/3 of our kids drop out (of high school), cannot go to college or start a career.""",6.0,0.0,52,1.0,mostly-false
"""200,000 students attempt suicide every year on college campuses.""",3.0,0.0,57,0.0,half-true
"""3,000 teachers lost their jobs when (Crist) was governor.""",4.5625,0.5013280235873938,48,1.0,mostly-false
"""40% of the folks who have student loans do not have a college diploma, four-year diploma. These are people who are truck drivers and who are nail technicians and nurses’ aides.”",5.963636363636364,0.18891859540615835,55,0.9636363636363636,true
"""50% of Hispanic students count on Pell Grants to pay for college.""",6.0,0.0,47,1.0,true
"""60 percent of Texas 8th graders are not proficient in math. Only 26% have a teacher with a undergraduate major in math.""",5.0,0.0,50,1.0,mostly-true
"""70,000 three-year-olds and four-year-olds across America will lose access to the preschool Head Start program. ... 2,000 in the state of Florida alone.""",6.0,0.0,47,1.0,half-true
"""700 jobs (were) lost because Allen Boyd"" voted for the health care bill.",3.0,0.0,51,1.0,mostly-false
"""90% of rural women and 55% of all women are illiterate"" in Morocco.",4.0,0.0,50,1.0,false
"""91 percent of Latinos support the DREAM Act, which allows undocumented youth to attend college,"" but Marco Rubio opposes it.",6.0,0.0,57,1.0,true
"""94 percent of those that are employed by the Department of Education at the federal level were deemed by the department as nonessential employees.""",4.387755102040816,0.4922874554317936,49,1.0,mostly-false
"""95 percent of teachers and principals are not implicated in the [Atlanta Public Schools cheating scandal] report at all.""",4.0,0.0,46,1.0,half-true
"""99.97 percent of the kids live in poverty that attend Cleveland public schools.""",3.0,0.0,49,0.0,half-true
"""A Houston school district analysis found that the (State Board of Education) more than quadrupled the number of historical figures students must learn about.""",5.822222222222222,0.3866457674602807,45,1.0,half-true
"""A college loan is the only loan in the United States that you cannot refinance when interest rates go down.""",5.568965517241379,0.49954607344251345,58,1.0,mostly-true
"""A few weeks ago, (the) education committee in Congress is deciding what’s going to be in your local salad bar.""",3.0,0.0,42,1.0,false
"""A high school dropout makes on average $19,000 a year, a high school graduate makes $28,000 a year, a college graduate makes $51,000 a year.""",5.0,0.0,47,1.0,mostly-true
"""A lot of student loans are already refinanced by the federal government.""",5.037037037037037,0.1906258770929863,54,1.0,false
