statement_id,statement,true_verdict,most_common_verdict,consistency_rate,accuracy_rate,entropy,unique_verdicts,distribution
0,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medi...",true,mostly-true,1.0,0.0,0.0,1,{'mostly-true': 15}
1,"""Bennie Thompson actively cheer-led riots in the ’90s.""...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
2,"Says Maggie Hassan was ""out of state on 30 days over the last three months.""...",mostly-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
3,"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
4,"""I'm the only (Republican) candidate that has actually reduced the size of government.""...",half-true,mostly-false,0.8,0.2,0.7219280948873623,2,"{'mostly-false': 12, 'half-true': 3}"
5,"""There are actually only 30 countries that practice birthright citizenship.""...",true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
6,"""My husband and I have never gotten a penny of money from the farm.""...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
7,"""If you go strictly by the numbers, crime is down across the board. Last year we had a 10 percent de...",true,mostly-true,1.0,0.0,0.0,1,{'mostly-true': 15}
8,"""The American people say, don't touch Social Security, don't touch Medicare, don't cut defense. That...",mostly-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
9,"""Since 1978, CEO compensation rose over 1,000% and only 11.9% for average workers.""...",true,mostly-true,1.0,0.0,0.0,1,{'mostly-true': 15}
10,"Says her accomplishments include ""a fiscally responsible budget agreement that controls state spendi...",pants-fire,mostly-true,1.0,0.0,0.0,1,{'mostly-true': 15}
11,"Says President Obama’s deal ""allows Iran to produce a nuclear weapon.""...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
12,"Says ""Donald Trump says climate change is a hoax invented by the Chinese.""...",mostly-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
13,"""At least 450,000 ballots in the key states ... miraculously only have a mark for Joe Biden on them,...",false,pants-fire,1.0,0.0,0.0,1,{'pants-fire': 15}
14,"""More than 70 percent of American adults have committed a crime that could lead to imprisonment.""...",mostly-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
15,"Says the stimulus bill sent tax credits overseas, such as ""$1.2 billion to a solar company that's bu...",pants-fire,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
16,"Tampa Bay is ""leading the state in jobs creation.""...",mostly-false,mostly-false,1.0,1.0,0.0,1,{'mostly-false': 15}
17,"Says Raphael Warnock has ""said we need to open up the prisons"" and ""eliminate cash bail.""...",mostly-false,mostly-false,1.0,1.0,0.0,1,{'mostly-false': 15}
18,"The IRS is going to be ""in charge"" of ""a huge national database"" on health care that will include Am...",pants-fire,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
19,"""Newly discovered video shows late night deliveries of tens of thousands of illegal ballots 8 hours ...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
20,"Says Donald Trump ""literally has no plans to make higher education more affordable.""...",mostly-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
21,"Post says a recent bill passed, and ""We get another stimulus check for $2500 at July 30, 2021""...",pants-fire,false,1.0,0.0,0.0,1,{'false': 15}
22,"With voting by mail, ""you get thousands and thousands of people sitting in somebody's living room, s...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
23,"During his governorship, Virginia made ""the largest investment ever in K-12 education.""...",mostly-false,mostly-false,1.0,1.0,0.0,1,{'mostly-false': 15}
24,"""In the entire public school system in Camden last year, only three students graduated college ready...",mostly-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
25,"Says he is ""cutting illegal immigration in half.""...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
26,"""There is racism physically built into some of our highways.""...",true,mostly-true,1.0,0.0,0.0,1,{'mostly-true': 15}
27,"Austin has ""over 1,000 city employees that make six-figure salaries.""...",mostly-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
28,"Says Marco Rubio ""has a 98 percent voting record with the Koch brothers.""...",mostly-true,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
29,"Says John Bolton ""fundamentally was a man of the left.""...",pants-fire,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
30,"A German doctor discovered the COVID-19 vaccines include graphene oxide or graphene hydroxide, and t...",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
31,Says he lived in a colonia while working as a farm worker....,false,mostly-true,0.6666666666666666,0.0,0.9182958340544896,2,"{'mostly-false': 5, 'mostly-true': 10}"
32,"""The Republicans have demanded deep cuts in education. They've demanded cuts in cancer research and ...",mostly-true,mostly-true,1.0,1.0,0.0,1,{'mostly-true': 15}
33,"""75% of Republicans have been vaccinated"" against COVID-19 in Illinois....",false,mostly-false,1.0,0.0,0.0,1,{'mostly-false': 15}
