statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
“Bloomberg spent $500 million on ads. The U.S. population is 327 million. He could have given each American $1 million and still have money left over.”,pants-fire,false,"['false', 'pants-fire']",2,True
"""The servers of the Pakistani gentleman that worked on the DNC"" are ""missing.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"Says Joe Biden received a sudden influx of 138,339 votes in Michigan while Donald Trump received none.",false,false,"['mostly-false', 'false']",2,True
"Says Republican-approved changes to ""make it more difficult to participate in Ohio elections include reducing in-person early voting from 35 days to six.""",true,true,['true'],1,True
"“By federal law, if you sign someone up for Medicaid, you also give them the right to vote. … This is political patronage at the expense of Medicaid.”",false,false,['false'],1,True
"Says Austin Mayor Steve Adler’s transportation plans linked to Proposition 1 on the ballot remove ""27+ miles of traffic lanes around the city,"" replacing ""them with lanes dedicated to usage by bicycles"" and buses.",mostly-false,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""Amendment 4 will reduce Florida’s economic output by $34 billion annually.""",mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True
“Jaime Harrison is being left off of South Carolina ballots”,false,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"“As of today, there is not one member of the United States military who is in active duty in a combat zone, in any war zone around the world, for the first time this century.”",mostly-false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"As attorney general, Catherine Cortez Masto “opposed tougher laws on methamphetamine dealers.”",mostly-false,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""The chairman of the party of Florida, who is an avid and outward supporter of Marco Rubio, gets to appoint 30 of those delegates.""",false,false,"['mostly-false', 'false']",2,True
"California Gov. Gavin Newsom “just let 76,000 inmates out of jail.""",false,false,"['mostly-false', 'false']",2,True
"Says Joe Biden proposed “killing over 600,000 jobs supported by fracking.”",false,false,"['mostly-false', 'false']",2,True
Says “some people in the Great State of North Carolina have been sent TWO BALLOTS. RIGGED ELECTION in waiting!”,mostly-false,mostly-false,['mostly-false'],1,True
"""Here in California, Donald Trump has given $12,000 to Jerry Brown, Gavin Newsom and Kamala Harris.""",mostly-true,true,['true'],1,False
"""With a stroke of a pen, the (U.S. Supreme Court) decided to overrule the 100-year-old ban on corporate expenditures.""",mostly-false,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says President Donald Trump as a candidate mentioned WikiLeaks ""over 160 times in speeches"" in the last month of the campaign.",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
"""Thanks to restrictive and anticompetitive ballot laws,"" candidates in November 2014 ran unopposed in nearly half of Wisconsin’s state representative races but in Michigan and Minnesota nearly all races had challengers.",half-true,half-true,"['mostly-true', 'half-true']",2,True
“Major decision protecting voting rights in Pa. Ballots received after Election Day will not be counted.”,mostly-false,false,"['mostly-false', 'false']",2,True
"“Ella Emhoff, Kamala’s step-daughter, suffered a mental breakdown … due to the grief from Kamala’s humiliating loss, and was admitted to an in-patient mental health crisis center in NY.”",false,false,['false'],1,True
"“In the 2020 election, President Trump voted from behind the desk in the White House in Florida.”",half-true,false,"['mostly-false', 'false', 'pants-fire']",3,False
"“We will be over 290 electoral votes on Election Night ... no matter what they (Democrats) try to do, what kind of hijinks or lawsuits or whatever kind of nonsense they try to pull off.”",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
“President Joe Biden admits to faking the election.”,false,false,['false'],1,True
"""I did very well with young people in Ohio, Massachusetts, California.""",half-true,half-true,['half-true'],1,True
Only Democratic cities take “‘days’ to count their votes” while “the rest of the country manages to get it done on election night.”,mostly-false,false,"['mostly-false', 'false']",2,True
“Biden admits to voter fraud.”,false,false,"['mostly-false', 'false']",2,True
"Says Sen. Bob Casey, D-Pa., “is trying to change the outcome of the election by counting NON-CITIZEN votes.”",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"Cher ""is moving to Canada because of President Trump.""",false,false,['false'],1,True
"“This month alone, more than 16,000 non-citizens have been removed from the voter rolls in 3 states.”",half-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
“The idea that there’s political violence or violence in America like this is just unheard of.”,false,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
AOC posted that Trump’s election victory emboldened a conservative news outlet to call for her resignation because she’s a woman.,false,false,['false'],1,True
"Says Bernie Sanders ""is the most popular politician in America today.""",mostly-true,mostly-true,['mostly-true'],1,True
"""There’s a section in the Constitution called the Emoluments Clause that says no one, nor their spouses, can take money from foreigners. (Hillary Clinton) has to be guilty of 70 or 100 counts just on that one charge.""",mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"Says under his plan to end cash bail ""the Waukesha perpetrator wouldn’t have been released """,mostly-true,mostly-false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
The problem with mail ballots in Lancaster County is a sign of “voter fraud.”,false,false,"['mostly-false', 'false']",2,True
