statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"If the “Big Beautiful Bill” passes, ""hardworking Americans and families will see an average increase in take-home pay of OVER $10,000 per year.""",mostly-false,false,"['false', 'mostly-false', 'pants-fire']",3,True
Abigail Spanberger and other Democrats “voted to spend public funds on their political campaigns; up to $5 million...”,half-true,false,"['false', 'mostly-false', 'half-true']",3,True
"Says Mitt Romney's plan ""calls for a $5 trillion tax cut.""",half-true,false,"['false', 'mostly-false', 'half-true', 'pants-fire']",4,True
"""Over half of the people who would be taxed under (a millionaire surtax) are, in fact, small businesspeople.""",false,false,"['false', 'mostly-false', 'pants-fire', 'half-true']",4,True
"David Dewhurst has a ""record of promoting an income tax.""",pants-fire,false,"['false', 'mostly-false', 'pants-fire', 'half-true']",4,True
"Says the GOP plan he supports is ""the biggest tax cut in U.S. history.""",false,false,"['false', 'pants-fire', 'mostly-false']",3,True
"Says the tax bill ""is going to cost me a fortune, this thing -- believe me. Believe me, this is not good for me.""",false,false,"['false', 'mostly-false', 'half-true', 'pants-fire']",4,True
"""Scott Walker has given a $10,000 tax deduction to millionaires who send their kids to exclusive private schools.""",mostly-false,false,"['false', 'mostly-true', 'mostly-false', 'half-true', 'pants-fire']",5,True
"""I don't think the argument can be credibly made that the United States of America is undertaxed compared to our competitors.""",false,false,"['false', 'mostly-false']",2,True
"""Ninety-eight percent of the American people will not see their taxes go up"" due to the House health care bill.",mostly-false,false,"['false', 'mostly-false', 'half-true']",3,True
"""We cut taxes 24 times.""",half-true,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'true', 'mostly-true']",6,True
"“Sen. Jacky Rosen voted to increase taxes on families making less than $75,000 a year.”",mostly-false,false,"['false', 'mostly-false']",2,True
“The president has exploded the debt by more than $3 trillion — all to give billion-dollar tax cuts to the wealthiest few.”,half-true,false,"['false', 'mostly-false', 'half-true', 'mostly-true']",4,True
"Obama's tax plan cuts taxes ""for 95 percent of all working families.""",true,true,"['true', 'false']",2,True
“In Congress Ron DeSantis pushed a 23% national sales tax.”,half-true,false,"['false', 'mostly-false', 'pants-fire']",3,False
"""For years, they have not been able to get tax cuts -- many, many years, since Reagan.""",pants-fire,false,"['false', 'pants-fire']",2,True
"The Supreme Court said the individual mandate ""is a tax. So it's a tax.""",mostly-true,false,"['false', 'mostly-false', 'half-true', 'pants-fire']",4,False
"“While serving as Town Supervisor, Nate McMurray voted to raise taxes on homeowners.”",true,false,"['false', 'mostly-false', 'half-true']",3,False
"Obama unilaterally announced he was delaying employer mandate ""through a blog post by a mid-level bureaucrat at the Department of Treasury.""",mostly-true,false,"['false', 'mostly-false', 'pants-fire', 'half-true']",4,False
"""Undocumented immigrants pay $12 billion of taxes every single year.""",true,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire']",5,False
"""Residential property taxes [in Providence] are up nearly 27 percent under Mayor Taveras.""",pants-fire,false,"['false', 'mostly-false', 'pants-fire']",3,True
"""As a U.S. senator with salary and perks, ‪#‎Bernie‬ is in the top 1 percent, but still paid only 13 percent in taxes last year.""",mostly-false,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true']",5,True
"When he was Milwaukee County executive, ""eight years in a row we pushed through budgets that did not increase the tax levy from the previous year.""",mostly-false,false,"['false', 'mostly-false', 'half-true']",3,True
“You must give EVERY PENNY” of the advance child tax credit payments back when you file your 2021 taxes.,mostly-false,false,"['false', 'mostly-false', 'half-true', 'pants-fire']",4,True
"Says Texas routinely gets ""a lot more federal spending"" than it pays in taxes.",mostly-true,mostly-true,"['mostly-true', 'true', 'false', 'half-true', 'mostly-false']",5,True
"Congressional Republicans ""want to take health care from millions of Americans in order to pay for"" a tax bill.",half-true,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire']",5,True
Says Mitt Romney did not pay taxes for 10 years.,pants-fire,false,"['false', 'mostly-false', 'pants-fire']",3,True
Lee Zeldin “voted for Cuomo’s Billion Dollar Tax hike and every Cuomo budget.”,half-true,false,"['false', 'mostly-false']",2,False
"""It will cost $50,000 per enrollee in Obamacare over the next 10 years.""",false,false,"['false', 'mostly-false', 'pants-fire']",3,True
Twenty percent of housing in Portland’s Pearl District is ‘affordable.’,mostly-true,false,"['false', 'mostly-false', 'mostly-true', 'half-true', 'true', 'pants-fire']",6,True
"Obama ""has voted in the United States Senate to increase taxes on people who make as low as $42,000 a year.""",mostly-false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"With his proposal to cut income and property taxes, Scott Walker is ""increasing the state deficit at a time when borrowing is already at record levels.""",mostly-false,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true']",5,True
Florida has “the second lowest tax burden per capita in the United States.”,mostly-true,true,"['true', 'false']",2,False
"The fiscal cliff deal ""ultimately raised taxes.""",half-true,half-true,"['half-true', 'false', 'mostly-true', 'mostly-false', 'true']",5,True
"""Tammy Baldwin voted for $5 trillion in higher taxes.""",half-true,false,"['false', 'mostly-false', 'half-true']",3,True
"""A trip to Mar-a-Lago costs taxpayers approximately $3.6 million, according to a Government Accountability Office report.""",half-true,false,"['false', 'mostly-false', 'pants-fire']",3,False
"""Every time we've cut taxes, revenues have gone up, the economy has grown.""",false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"""Ron Johnson pushed through a special tax loophole that benefited his own family's business … Then he cashed out of the company for $5 million … (he has) doubled his wealth since taking office.""",half-true,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true']",5,True
"New York has ""among the highest tax burdens of any state in the nation""",true,false,"['false', 'true', 'mostly-false', 'half-true']",4,True
"Val Demings ""voted with Pelosi to raise taxes over $4,000 on Florida families.""",mostly-false,false,"['false', 'mostly-false']",2,True
"""A cashier earning $20,000 per year pays the same (Virginia) income tax rate as a hedge fund manager earning $20 million per year.""",false,false,"['false', 'mostly-false', 'half-true']",3,True
"Republicans approved 12 times larger tax breaks for ""people making over 350 grand"" than for ""the average middle-class person.""",mostly-true,mostly-true,"['mostly-true', 'half-true', 'false', 'mostly-false']",4,True
"Says that in Curry County, ""if you make a 911 call you’re likely to wait for an hour for a response.""",half-true,half-true,"['half-true', 'mostly-true', 'false']",3,True
Gubernatorial candidate Maggie Hassan supported 33 tax and fee increases as Senate Majority Leader.,half-true,false,"['false', 'mostly-false', 'half-true', 'mostly-true']",4,True
"""America's wealthiest 25 percent pay 86 percent of total income taxes. Wealthiest 5 percent pay 60 percent of total income taxes.""",true,true,"['true', 'false']",2,True
"Says Gov. Tony Evers ""wanted to increase your taxes by $1 billion just for heating your homes. Instead, Republicans cut your taxes by more than $2 billion.""",half-true,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire']",5,True
"Says ""roughly two-thirds of (state) corporations didn’t pay any income tax in Virginia.""",mostly-true,true,"['true', 'false', 'mostly-false']",3,False
