statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"""Seventy of Ohio's 88 counties now have more than 25 percent of their residents eligible for emergency food.""",true,true,['true'],1,True
My office is about a 300-step walk to the governor's office.,mostly-true,mostly-true,['mostly-true'],1,True
"""California is once again the sixth-largest economy in the world. If you add the GDP’s of Washington and Oregon, California would surpass the United Kingdom to become the fifth-largest economy in the world.""",mostly-true,mostly-true,"['mostly-true', 'half-true', 'true']",3,True
"The average Georgia family makes $6,000 less than the average family did 10 years ago when inflation is factored in.",true,mostly-true,"['mostly-true', 'true']",2,True
Says the military accounts for about 10 percent of Florida's economy.,true,true,"['true', 'mostly-true']",2,True
"""Connecticut's take on slot machines is 25 cents on the dollar. And the state's take on table games:  zero.""",true,true,['true'],1,True
"If Wisconsin Gov. Tony Evers ""had passed his (gas) tax increases ... fuel prices would be at least a dime higher.",mostly-true,mostly-false,"['mostly-false', 'half-true', 'mostly-true', 'false']",4,True
Says our national debt is greater than our gross domestic product.,half-true,true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"In Pennsylvania, President Barack Obama’s policies have increased unemployment 19 percent, led to the loss of 37,900 manufacturing jobs, and left 189,000 more people in poverty.",half-true,half-true,['half-true'],1,True
"We have cut ""our deficits by almost three-quarters.""",mostly-true,true,"['true', 'mostly-true']",2,True
"The stimulus bill includes ""$300,000 for a sculpture garden in Miami.""",pants-fire,pants-fire,['pants-fire'],1,True
"The stimulus bill ""promised to keep unemployment under 8%.""",mostly-false,mostly-false,"['mostly-false', 'false']",2,True
"Under Barack Obama, the U.S. now has the ""lowest workforce since (President Jimmy) Carter.""",mostly-false,mostly-false,"['mostly-false', 'half-true', 'false', 'mostly-true']",4,True
Siemens has been unable to fill approximately 200 skilled trade positions in metro Atlanta.,false,false,['false'],1,True
"""In the first round of repayments""  from financial institutions that received TARP money, ""the government has actually turned a profit.""",true,true,['true'],1,True
"""Today’s minimum wage worker making $7.25 an hour has less buying power than a minimum wage worker in the 1960s.""",true,true,"['true', 'mostly-true']",2,True
"The state of New York is the ""worst in the nation in economic recovery.""",false,false,"['false', 'mostly-false']",2,True
"Under Joe Biden, there are “record numbers of new Black entrepreneurs.”",true,true,"['true', 'mostly-true']",2,True
"“The national coin shortage was done intentionally, the Mint is no longer releasing coins into circulation aka this is the beginning of the end of paper money.”",false,mostly-false,['mostly-false'],1,False
"A recent economic uptick appears to ""coincide"" with ""the expectation of a new Republican Congress.""",false,false,"['false', 'mostly-false', 'half-true']",3,True
"The  Georgia Department of Economic Development assisted with the creation of 28,776 jobs, an increase of 29 percent from last fiscal year, and $5.97 billion in investments, a 32 percent increase.",half-true,half-true,['half-true'],1,True
"Says the Texas Department of Agriculture seeks to purchase up to 300,000 promotional stress balls.",true,true,"['true', 'mostly-true']",2,True
"""In the last 29 months, our economy has produced about 4.5 million private-sector jobs.""",mostly-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false']",3,True
"“Mississippi got 10,145 warrants for unemployment fraud!!”",mostly-false,false,['false'],1,False
"""We know this now. The banks no longer loan (Donald Trump) money because he's a terrible risk. So he goes to these (Russian) oligarchs and borrows money.""",mostly-false,mostly-false,"['mostly-false', 'mostly-true', 'half-true', 'false']",4,True
"“Even before the pandemic, America went into a manufacturing recession.”",mostly-true,true,"['true', 'mostly-true']",2,True
"""Inflation has been caused by the global economies shutting down all at once, reopening all at once. And … the U.S. economy is recovering at a far faster pace than any other country in the OECD.""",mostly-true,mostly-true,"['mostly-true', 'true', 'half-true']",3,True
"Says that Sen. Sherrod Brown is ""out there egging on a lot of these protesters who are spitting on policemen and going to the bathroom on policemen’s cars at these protests on Wall Street and other places.""",pants-fire,pants-fire,['pants-fire'],1,True
"Says Mark Zandi, who wrote a report criticizing Donald Trump’s economic proposals, is ""one of Sen. John McCain's former economic advisers.""",half-true,true,"['true', 'mostly-true', 'half-true', 'false']",4,True
"Mitch McConnell opposed ""legislation to create and protect Kentucky jobs . . . help for the unemployed. . .  health care for Kentucky's children,"" and ""fair pay for women.""",mostly-false,mostly-false,"['mostly-false', 'mostly-true', 'false']",3,True
"Russia ""has an economy the size of Italy.""",mostly-true,true,"['true', 'mostly-true']",2,True
"""The number of small businesses is up 30% compared to before the pandemic.""",false,mostly-true,"['mostly-true', 'half-true', 'mostly-false']",3,False
"""The state’s tax burden has, according to census figures released today, cost our state another 190,000 residents in 2009.""",false,false,['false'],1,True
"Economic Development Commission Executive Director Keith Stokes ""sent me a letter and he said the taxpayers will never be on the hook for these bonds"" for 38 Studios.",true,false,"['false', 'mostly-false', 'half-true']",3,False
"The United States ""has never been richer, if you look at per capita GDP.""",true,mostly-true,"['mostly-true', 'true', 'half-true', 'false']",4,True
"""Every day in the United States, we are losing 15 factories.""",true,true,['true'],1,True
"""The proportion of Rhode Islanders entering substance abuse treatment primarily due to marijuana use has reached its highest point in 20 years.""",false,false,"['false', 'mostly-false', 'half-true']",3,True
"Says iPads and iPhones ""are built in the United States of America.""",false,false,['false'],1,True
"""Most countries have no debt ceiling.""",mostly-true,mostly-true,['mostly-true'],1,True
"Says ""unemployment tripled"" in Dane County due to Kathleen Falk’s tax policies",half-true,half-true,['half-true'],1,True
"Says she will ""work to raise the federal minimum wage back to the highest level it’s ever been — $12 an hour in today’s dollars.""",half-true,mostly-false,"['mostly-false', 'half-true', 'false']",3,True
"""Congresswoman Kathy Castor voted to spend $2.6 million to teach prostitutes in China to drink responsibly.""",pants-fire,pants-fire,['pants-fire'],1,True
"""The unemployment rate for folks who've never gone to college is almost double what it is for those who have.""",true,true,['true'],1,True
"Says Georgia’s 5th congressional district, represented by John Lewis, is ""in horrible shape and falling apart (not to mention crime infested).""",mostly-false,mostly-false,"['mostly-false', 'false']",2,True
Virginia’s economic growth “has stalled at less than 1% per year for eight years.”,mostly-true,mostly-true,"['mostly-true', 'half-true', 'true', 'mostly-false']",4,True
"""About 40 percent of Hispanic homeowners have subprime mortgages.""",true,true,['true'],1,True
"Unemployment numbers ""are artificial numbers. These are numbers that are massaged to make the existing economy look good, to make this administration look good when, in fact, it's a total disaster.""",pants-fire,false,"['false', 'mostly-false']",2,False
"""Under three years of my administration, net farm income has already gone up nearly 50%.""",mostly-true,false,"['false', 'mostly-false', 'half-true']",3,False
"""Texas is one of only a handful of states that does not have an equal pay law.""",false,mostly-false,"['mostly-false', 'false', 'mostly-true', 'true']",4,True
"""Wisconsin wages are declining at double the rate of other states.""",pants-fire,pants-fire,['pants-fire'],1,True
"The Buffalo Billion is ""still breaking every job promise""",half-true,mostly-true,"['mostly-true', 'mostly-false', 'true', 'half-true']",4,True
"North Carolina has ""one of the fastest growing populations as well as the fastest growing economy in the country.""",true,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false']",4,True
"Jobs incentive program ""created over 1,200 high-wage jobs since 2009.""",false,false,['false'],1,True
"""Ninety-four percent of small businesses will face higher taxes under the Democrats' plan.""",pants-fire,pants-fire,['pants-fire'],1,True
“Dyson is canceling their contract with Walmart and selling off Dyson Supersonic” hair dryers “only for $1!”,false,false,['false'],1,True
"""The much-trumpeted job growth in the last year was ENTIRELY part-time jobs.""",half-true,mostly-false,"['mostly-false', 'false', 'mostly-true']",3,False
"""There are 3 million jobs available in America that are not filled because too many of our people don’t have the skills for those jobs.""",half-true,mostly-false,"['mostly-false', 'false', 'half-true']",3,True
"Georgia ""has the lowest minimum wage in the country.""",mostly-true,mostly-true,"['mostly-true', 'true', 'mostly-false', 'false']",4,True
"""While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.""",half-true,mostly-true,"['mostly-true', 'true', 'mostly-false', 'half-true']",4,True
"""Fifteen years ago, the assets of the six largest banks in this country totaled 17 percent of GDP ... The assets of the six largest banks in the United States today total 63 percent of GDP.""",true,true,['true'],1,True
"""The European Union … they send us Mercedes, they send us -- by the millions -- the BMWs -- cars by the millions.""",false,false,"['false', 'mostly-false']",2,True
"""We've created more than 850,000 jobs, more than all the other states combined.""",true,true,['true'],1,True
"Says Hillary Clinton's ""plan is going to raise taxes and even double your taxes.""",mostly-false,false,"['false', 'mostly-false']",2,True
"Says Rob Portman ""said the auto rescue was a lousy deal for Ohio.""",mostly-true,true,"['true', 'mostly-true', 'half-true']",3,True
"Since President Obama took office, ""2 million jobs. Gone.""",mostly-true,mostly-true,['mostly-true'],1,True
"""In North Carolina, they used stimulus money to hire one new state worker. His job, apply for more stimulus funds from the taxpayers by the way of the federal government.""",false,false,['false'],1,True
"When Roy Barnes was governor, ""Georgia created 235,000 jobs.""",half-true,half-true,['half-true'],1,True
"""Since ObamaCare and the stimulus passed, the unemployment rate in the U.S. has increased.""",false,false,"['false', 'mostly-false']",2,True
"""Roy Barnes proclaimed Mexican workers good for Georgia.""",half-true,half-true,['half-true'],1,True
"The Republican National Convention ""is a Super Bowl times four.""",false,false,['false'],1,True
"""95 percent of the world’s customers are … beyond our shores.""",half-true,mostly-true,"['mostly-true', 'true', 'half-true']",3,True
"""Hispanic unemployment has been ticking down from an all-time high of 13.9 percent because of the policies we’ve implemented.""",mostly-false,mostly-false,"['mostly-false', 'false']",2,True
