statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"""One third of all federal prisoners today are illegal immigrants.""",mostly-false,false,"['mostly-false', 'false']",2,True
"""If you give guns to gangs, you can get out of jail free, if (California’s Proposition 57) passes. If you do a drive-by shooting, you can get out of jail free, if Proposition 57 passes. If you discharge guns on a school yard, you can get out of jail free.""",false,false,"['mostly-false', 'false']",2,True
"""My Treasury team eliminated a 900-case backlog in the Crime Victim Compensation Program.""",true,true,"['true', 'mostly-true']",2,True
"A reporter who covered the Buffalo supermarket shooting was a ""crisis actor.""",pants-fire,pants-fire,['pants-fire'],1,True
"""Investigators: Anthony Bourdain was killed by Clinton operatives.""",pants-fire,pants-fire,['pants-fire'],1,True
The Bipartisan Safer Communities Act led to “a 12% reduction in urban homicides in this country.”,half-true,true,"['true', 'mostly-true']",2,False
“Many law enforcement agencies didn’t submit their (hate crime) data to the FBI.”,true,true,"['true', 'mostly-true']",2,True
The suspect in the Minnesota lawmakers’ shootings was driven by “Marxist” ideology.,pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True
Brown University student Mustapha Karbouch was a suspect in school shooting.,false,false,['false'],1,True
"Since 1965, California has built ""six (college) campuses but 23 prisons.""",false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""The profit [from automated traffic enforcement cameras] is going to the private corporations, not to the city or state.""",false,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""As Alaska’s attorney general, (U.S. Senate candidate Dan) Sullivan successfully fought to protect our Second Amendment rights and passed ‘stand your ground.’ """,false,false,"['mostly-false', 'false']",2,True
"Sex traffickers are using a zip-tie contraption on the door handles of vehicles “to trick females into looking down and digging for something in their purse to cut with ... Once they’re distracted, boom! They are quickly forced into another vehicle, never to be seen again by their people.”",false,false,['false'],1,True
"""When the law stopped Tony Evers from revoking a teacher's license for viewing pornography, Tony worked with lawmakers from both parties to change the law so offenders could be kicked out of the classroom.""",half-true,half-true,['half-true'],1,True
"If the sequester hits, federal prosecutors will have to ""let criminals go.""",mostly-false,false,"['mostly-false', 'false']",2,True
"""You can absolutely get a gun if you have several felonies as long as you buy it on the Internet or at a gun show.""",half-true,false,"['mostly-false', 'false']",2,False
"""We are at a 40-year low in our crime rate in our state.""",true,true,['true'],1,True
"""The city of… is being warned to be alert & vigilant as there is a serial killer on the run,”  Robert Thibodeau.",false,false,['false'],1,True
"""Last year, there were nine unarmed black people killed (by law enforcement). Nineteen unarmed white people.”",mostly-false,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""I am every year the No.1 pick of all of the law enforcement agencies within Texas.""",false,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
