statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"In some cases, a sex offender ""who appears on the New York State Sex Offender Registry"" would be able to drive for Uber or Lyft when ride-hailing is allowed upstate in July",true,mostly-true,"['mostly-true', 'true', 'false', 'mostly-false', 'half-true', 'pants-fire']",6,True
Under New York’s Clean Slate Act “violent crimes … will now be automatically sealed after a set time - like they never happened.”,mostly-false,mostly-true,"['mostly-true', 'true', 'mostly-false', 'false', 'half-true']",5,True
Assaults on Wisconsin law enforcement officers are up 224 percent statewide since 2005,mostly-true,mostly-true,"['mostly-true', 'false', 'true', 'mostly-false', 'half-true', 'pants-fire']",6,True
"""Studies have shown Latinos are more than 40 percent less likely to call 911 when they have been a victim of a crime.""",mostly-true,mostly-true,"['mostly-true', 'true', 'false', 'mostly-false', 'half-true']",5,True
"Says that in 2015, ""illegal"" immigrants accounted for 75 percent of federal drug possession convictions and 5 percent to 30 percent of convictions for murder and kidnapping plus two other crimes.",true,false,"['false', 'mostly-false', 'pants-fire', 'mostly-true', 'half-true']",5,False
"Violent crime in Manhattan is ""now at a record level.""",false,false,"['false', 'mostly-true', 'mostly-false', 'half-true', 'pants-fire', 'true']",6,True
"Under a GOP bill on cash bail, ""a large quantity of people who are accused of crimes, including anyone who even witnesses certain crimes, could now be detained and subject to bail.""",half-true,mostly-true,"['mostly-true', 'true', 'false', 'mostly-false', 'half-true']",5,True
"""The two worst counties for (Medicaid) fraud in the country -- not state -- are Dade and Broward county.""",mostly-true,mostly-true,"['mostly-true', 'true', 'false', 'mostly-false', 'half-true', 'pants-fire']",6,True
"""One third of all federal prisoners today are illegal immigrants.""",mostly-false,false,"['false', 'mostly-false', 'pants-fire', 'mostly-true', 'half-true', 'true']",6,True
"""Just last May, the Department of Justice inspector general found that these (‘sanctuary city’) policies also violate federal law.""",mostly-false,true,"['true', 'false', 'mostly-true', 'mostly-false', 'half-true', 'pants-fire']",6,True
Vice President Kamala Harris “even wants to legalize fentanyl.”,false,false,"['false', 'pants-fire', 'mostly-false']",3,True
"""Under the Espionage Act, (Edward Snowden would not be) allowed to come into court and say ‘I was justified in disclosing this information.’ There is no whistleblower exception in the Espionage Act.""",mostly-true,true,"['true', 'mostly-true', 'half-true', 'false', 'mostly-false']",5,True
"""Crime is up under Governor DeSantis. Crime was down when I was your governor.""",mostly-false,mostly-true,"['mostly-true', 'mostly-false', 'true', 'half-true', 'false']",5,True
"A proposed bill in the Florida Legislature ""would authorize the public hoarding of cats by feral cat activists.""",half-true,false,"['false', 'pants-fire', 'mostly-false', 'mostly-true', 'true', 'half-true']",6,True
"""The city of… is being warned to be alert & vigilant as there is a serial killer on the run,”  Robert Thibodeau.",false,false,"['false', 'mostly-false', 'pants-fire', 'mostly-true', 'half-true']",5,True
"Say that according to the Los Angeles Times, “95% of warrants for murder in Los Angeles are for illegal aliens,” more than two-thirds of all births in Los Angeles County “are to illegal alien Mexicans” on Medicaid, “nearly 60% of all occupants of HUD properties are illegal,” and Nancy Pelosi “wants to put a windfall tax” on retirement fund profits.",pants-fire,false,"['false', 'pants-fire', 'mostly-false']",3,True
"When Atlanta Police Chief George Turner was interim head of the department, overall crime fell 14 percent and violent crime dropped 22.7 percent.",mostly-false,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Three of the 11 most violent cities in the U.S. are in Missouri — St. Louis, Kansas City, and Springfield.""",half-true,mostly-true,"['mostly-true', 'true', 'false', 'half-true', 'mostly-false', 'pants-fire']",6,True
"""There have been multiple media reports about (Donald Trump's) business dealings with the mob, with the mafia.""",true,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false', 'false']",5,True
"""A [bank] surveillance camera capturing a criminal’s face and other identifiable traits would certainly discourage robbery attempts and serve as a deterrent to robbers.""",false,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false', 'false']",5,True
"""Rhode Island has a [inmate] recidivism rate of over 60 percent.""",mostly-true,true,"['true', 'mostly-true', 'mostly-false', 'half-true', 'false']",5,True
"""In the year 2013, the Obama administration released 104,000 criminal illegal aliens. They released 196 murderers – people with homicide convictions, who are here illegally.""",half-true,mostly-true,"['mostly-true', 'false', 'mostly-false', 'true', 'half-true', 'pants-fire']",6,True
"""It costs us about $33,000 a year (on average nationally) to lock somebody up. In California it costs about $75,000 a year.""",true,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false']",4,True
"""You can be an NFL player with murder charges and not be suspended.""",half-true,false,"['false', 'pants-fire', 'mostly-false', 'mostly-true', 'half-true', 'true']",6,True
"""When you pull up to the gas pump to fill up your car, get your cell phone and search for Bluetooth devices. If a sequence of letters and numbers show up don’t pay at the pump. One of the pumps has a credit card skimmer inside of it. All of these skimmers run on bluetooth.""",half-true,false,"['false', 'mostly-true', 'mostly-false', 'half-true', 'true', 'pants-fire']",6,True
"""‘The largest bust in U.S. history’ 412 Muslims arrested from Michigan!""",false,false,"['false', 'mostly-true', 'mostly-false', 'pants-fire', 'true', 'half-true']",6,True
"""Under President (George W.) Bush, prosecution of gun crimes was 30 percent higher than it is under President Obama.""",mostly-false,false,"['false', 'mostly-true', 'mostly-false', 'pants-fire', 'half-true', 'true']",6,True
"""Of the top five cities for staged automobile accidents, three are in Florida. … We rank No. 1 in the country in staged auto accidents.""",mostly-true,mostly-true,"['mostly-true', 'false', 'true', 'mostly-false', 'pants-fire', 'half-true']",6,True
"The U.S. House Select Committee that investigated the Jan. 6, 2021, attack on the U.S. Capitol “deleted and destroyed all of the information that they collected over two years.”",false,false,"['false', 'mostly-false', 'pants-fire', 'mostly-true', 'half-true']",5,True
"“Just last week, Ruben Gallego voted to let the millions of people who poured into our country illegally cast a ballot in this upcoming election.”",false,false,"['false', 'mostly-false', 'pants-fire', 'mostly-true', 'half-true']",5,True
"Studies show ""the 2016 shooting and murder rate in Chicago cost us about $9.6 BILLION DOLLARS"" and ""the entire City budget for 2018 is $8.6 billion dollars. This math does not work, it is financially killing our city.""",false,mostly-true,"['mostly-true', 'false', 'mostly-false', 'half-true', 'pants-fire', 'true']",6,True
"""If you go strictly by the numbers, crime is down across the board. Last year we had a 10 percent decrease in the most serious crimes.""",true,mostly-true,"['mostly-true', 'true', 'mostly-false', 'false', 'half-true']",5,True
"Says Michael Screnock ""let a child predator walk without time and let a rapist who preyed on an underage girl go free after only an eight-month sentence.""",mostly-true,mostly-true,"['mostly-true', 'true', 'mostly-false', 'half-true', 'false']",5,True
"""By the time I finish this speech, two Americans will be slain, six women will be raped, 27 of us will be robbed, and 50 more will be beaten.""",mostly-true,pants-fire,"['pants-fire', 'false', 'true', 'mostly-true', 'mostly-false', 'half-true']",6,True
“Portland is burning to the ground.”,false,false,"['false', 'pants-fire', 'mostly-false']",3,True
"""Rhode Island’s teen binge drinking rate is double the national average.""",false,mostly-true,"['mostly-true', 'true', 'false', 'mostly-false', 'half-true']",5,True
