statement,avg_set_size,std_set_size,num_trials,coverage_rate,true_verdict
"""$500 billion of the extension of the Bush tax cuts for the wealthy goes to 120,000 families.""",4.739130434782608,0.4439610898213516,46,0.0,mostly-true
"""(Assembly Democrats) wanted to raise the gas tax by $2.4 billion. We said no to that....They’re down on the ground. They’re sweating. They’re twitching. It’s ugly, ‘cause I keep saying no.""",5.92,0.2740475156178698,50,1.0,mostly-false
"""(Romney's) record was that he raised taxes by $730-million.""",5.822222222222222,0.3866457674602808,45,1.0,half-true
"""(Ronald Reagan) raised taxes a billion dollars in his first year as governor of California.""",4.603174603174603,0.49316890189488927,63,0.6031746031746031,true
"""(Sen. Robert) Gordon cost us money, exempting the Newark sports arena from paying property taxes and sticking us with the bill.""",5.902439024390244,0.30040622902833497,41,1.0,mostly-false
"""(Strickland) raised taxes last year to the tune of $840 million.""",6.0,0.0,44,1.0,mostly-true
"""(The Tax Policy Center) found that Romney would raise taxes on the average middle class family by $2,000 to pay for $5 trillion in tax cuts for millionaires and billionaires.""",5.870967741935484,0.3379723030529028,62,1.0,half-true
"""...some of those (tax increases) were either court-ordered, or they were voted on by the people and approved by the people for (such) things as roads.""",5.773584905660377,0.42251579096399844,53,1.0,half-true
"""101 utilities cut rates, credit GOP tax cuts.""",4.0,0.0,45,0.0,mostly-true
"""2014 Federal Tax Refunds To Be Delayed Until October 2015.""",2.7837837837837838,0.4173417953838007,37,1.0,pants-fire
"""47 - New provisions ObamaCare charges the IRS with implementing, according to the Government Accountability Office.""",6.0,0.0,43,1.0,true
"""70 percent of the income tax that the state collects happens to come from Westchester, Nassau, Suffolk and New York City""",5.642857142857143,0.48261708906584017,70,0.6428571428571429,true
"""75 percent of the Obamacare tax falls on the middle class.""",3.685185185185185,0.46880313581901156,54,1.0,false
"""80 percent of the (individual mandate) tax falls on those who make $50,000 a year or less.""",3.6551724137931036,0.4794633014853841,58,0.0,mostly-true
"""83% of Trump tax breaks go to the wealthiest 1%.""",5.878787878787879,0.3314339826398085,33,1.0,half-true
"""98 percent of American families"" make ""under $250,000 a year.""",5.509803921568627,0.5048781642974013,51,0.5098039215686274,true
"""98 percent of small businesses make less than $250,000"" and would not see a tax increase under Barack Obama's plan.",6.0,0.0,47,1.0,true
"""A cashier earning $20,000 per year pays the same (Virginia) income tax rate as a hedge fund manager earning $20 million per year.""",4.32,0.47121207149916117,50,1.0,false
"""A construction worker who’s making $50 or $60 grand a year shouldn’t be paying higher tax rates than the guy who’s making $50 million a year. And that’s how it’s working right now.""",5.796610169491525,0.40597524202367025,59,1.0,half-true
"""A far different picture from the prior eight years, which saw 115 increases in taxes and fees.""",5.245283018867925,0.43437224276306924,53,0.24528301886792453,true
"""A grant for $5,000 [from the Governor’s Workforce Board] went to teach an employee at a company that makes ornamental business card holders how to use Facebook and Twitter.""",5.864406779661017,0.3452948324729956,59,1.0,mostly-false
"""A tax on soda and juice drinks would disproportionately increase taxes on low-income families in Philadelphia.""",5.921875,0.27048970875004197,64,1.0,true
"""A trip to Mar-a-Lago costs taxpayers approximately $3.6 million, according to a Government Accountability Office report.""",5.7894736842105265,0.4131549501122744,38,1.0,half-true
"""About 80 percent of (the manufacturing and agriculture) tax credit goes to claimants who are making $1 million or more.""",5.508474576271187,0.5042194840896107,59,0.5084745762711864,true
"""About two-thirds of all consumption is services. . . It was just the opposite"" when the sales tax was enacted in the '30s.",5.0,0.0,46,1.0,mostly-true
"""According to the Tax Foundation, the top 10 percent of earners already pay almost 80 percent of all taxes.""",5.777777777777778,0.4196434545311265,54,1.0,mostly-false
"""According to the nonpartisan Congressional Budget Office, the IRS would need to hire over 16,000 people ... to audit the American people and impose the new taxes and mandates"" of the health care bill.",5.282608695652174,0.45524320622233805,46,1.0,mostly-false
"""After how hard you work and how much you pay in taxes, New York City ends up getting the money. I'm Chris Jacobs. I think it's time we have someone in Albany that's making sure our region gets our fair share""",5.84,0.37032803990902063,50,1.0,false
"""After the 2001 and 2003 Bush tax rate cuts ... there was more money coming into the treasury.""",4.448275862068965,0.5061201788784757,29,1.0,mostly-false
"""Alabama is operating government on the lowest amount of tax revenue of any state in the nation.""",5.627906976744186,0.48908348756353337,43,1.0,mostly-true
"""Almost half of every dollar that we spend on gas, it goes to New York State.""",3.1914893617021276,0.5762811011069702,47,1.0,false
"""America has more people employed as tax preparers (1.2 million) than as police and firefighters.""",5.578947368421052,0.49811675413689877,57,1.0,false
"""America is one of the highest-taxed nations in the world.""",3.0,0.0,40,1.0,mostly-false
"""America's wealthiest 25 percent pay 86 percent of total income taxes. Wealthiest 5 percent pay 60 percent of total income taxes.""",6.0,0.0,46,1.0,true
"""Americans now spend 100 days out of the year working for government before we even start working for ourselves.""",3.925925925925926,0.2643505285727147,54,0.0,mostly-true
"""Americans received the biggest tax cut in history last year.""",4.18,0.38808793449160356,50,1.0,false
"""Americans will pay more in taxes in 2011 than they will spend on groceries, clothing and shelter combined.""",3.2222222222222223,0.4216370213557839,36,0.0,half-true
"""Americans will spend more on taxes in 2014 than they will on food, clothing and housing combined.""",5.844827586206897,0.3652311999283316,58,1.0,half-true
"""Americans will spend more on taxes in 2015 than on food, clothing and housing combined.""",4.377358490566038,0.48936438737248444,53,1.0,half-true
"""America’s tax code hasn’t been updated in 30 years.""",5.914893617021277,0.2820566728469694,47,1.0,mostly-false
"""An amendment, pushed by Lyndon Johnson many years ago, threatens religious institutions with a loss of their tax-exempt status if they openly advocate their political views.""",3.0,0.0,43,0.0,true
"""And delivered more tax relief than the other Republicans combined.""",4.0,0.0,30,0.0,mostly-true
