statement,avg_set_size,std_set_size,num_trials,coverage_rate,true_verdict
"""#Broward elections department has a history of violating the law.""",5.0,0.0,47,1.0,mostly-true
"""'Wrong precinct' rules exacerbate our provisional ballot problems (and) HB 194 does nothing to solve the wrong-precinct problem.""",2.9814814814814814,0.13608276348795434,54,1.0,true
"""(Fritz) Kaegi managed a fund that invested nearly $30 million in private prisons.""",2.1666666666666665,0.3766217885773548,48,0.0,mostly-false
"""(John McCain) was even mentioned as a running mate with John Kerry.""",5.0,0.0,47,1.0,true
"""13,000 Floridians are able to vote -- but their governor won't tell them.""",5.0,0.0,46,1.0,false
"""14 percent of noncitizens are registered to vote.""",4.0,0.0,52,1.0,false
"""2008: Unions Spent $400 Million to Elect Obama.""",5.0,0.0,41,1.0,false
"""21% of 140,000 ballots were found to be in error in GA.”",4.90566037735849,0.2950978288503028,53,1.0,mostly-false
"""5.7 million -- that’s how many illegal immigrants might have voted"" in 2008.",3.0,0.0,48,1.0,false
"""55 percent of the people who cast a provisional ballot (in Florida) in the last presidential election -- their vote did not count.""",6.0,0.0,59,1.0,mostly-true
"""58,000 non-citizens voted in Texas, with 95,000 non-citizens registered to vote.""",3.0,0.0,50,1.0,false
"""70 percent of Americans believe that we are on the wrong path.""",4.0,0.0,44,1.0,mostly-true
"""70 percent of the people who voted"" on June 5, 2012, ""just didn’t feel comfortable with the recall of the governor,"" weakening any idea that Wisconsin is ""fully behind this Walker agenda.""",3.0,0.0,51,1.0,half-true
"""700 jobs (were) lost because Allen Boyd"" voted for the health care bill.",4.9772727272727275,0.15075567228888173,44,1.0,mostly-false
"""75 percent of the town boards in Wisconsin have no women on them at all.""",5.0,0.0,47,1.0,true
"""8 years of the Clintons, major losses for Democrats across the nation.""",5.0,0.0,90,1.0,mostly-true
"""@BernieSanders receives strong support from the conservative & most rural part of Vermont.""",5.0,0.0,42,1.0,true
"""@realDonaldTrump is coming to San Antonio, which is 60% Mexican-AMERICAN.""",5.0,0.0,51,1.0,mostly-true
"""A day AFTER the election, Biden receives a dump of 143,379 votes at 3:42AM (in Wisconsin), when they learned he was losing badly. This is unbelievable!""",4.038461538461538,0.19418390934515434,52,1.0,pants-fire
"""A record number of Hispanics were elected to the U.S House of Representatives...""",2.8,0.40406101782088427,50,1.0,mostly-true
"""A witness will testify against Hillary Clinton.""",5.8076923076923075,0.3979585917202717,52,1.0,false
"""Abolishing the Electoral College would make Los Angeles County stronger than 43 states.""",3.0,0.0,56,1.0,false
"""About 57 percent of registered Democrats in the new (9th Congressional) district come from my old district.""",5.0,0.0,52,1.0,mostly-true
"""About 70 percent of Republicans nationwide ... don't think Donald Trump is the right guy"" to take on Hillary Clinton in November.",5.0,0.0,49,1.0,mostly-true
"""About half of the presidents have been governors; half of them, senators.""",3.0,0.0,48,0.0,false
"""Absent from the news — Dominion lost their lawsuits against Rudy Giuliani and Sidney Powell.""",5.0,0.0,63,1.0,false
"""Across the state the rejection rate for ballots went way down” in the Nov. 3 election.",5.0,0.0,58,1.0,mostly-false
"""After filing a lawsuit in Rhode Island, we reached an agreement with state agencies that resulted in more voters being registered in the first full month after our lawsuit than in the entire previous two-year reporting period.""",2.0,0.0,50,1.0,true
"""After my first year as governor, I was one of the most unpopular governors, maybe the most unpopular governor in the country. ... It changed.""",2.0,0.0,51,1.0,true
"""Alabama state police arrest 3 poll workers in Birmingham.""",2.0,0.0,56,1.0,pants-fire
"""All four on Mount Rushmore, they were all independents at one critical point in their career.""",5.0,0.0,50,1.0,false
"""Amendment 4 will reduce Florida’s economic output by $34 billion annually.""",3.0,0.0,57,1.0,mostly-false
"""America has more governors who’ve worn blackface than black governors.""",5.0,0.0,53,1.0,true
"""An April study found that about 70 percent of ads in this election cycle have been negative [due to SuperPACs], up from only 9 percent through the same period in 2008.""",2.0,0.0,53,1.0,mostly-true
"""An analysis showed that Bernie Sanders would have won the Democratic nomination if it were not for the Super Delegates.""",6.0,0.0,48,1.0,false
"""An overwhelming majority of Republican and Democrat law enforcement leaders have endorsed Brad Schimel.""",4.372093023255814,0.4890834875635335,43,0.37209302325581395,half-true
"""Antifa"" is to blame for storming the U.S. Capitol.",4.288888888888889,0.45836776730155243,45,1.0,pants-fire
"""Any Floridian who has ever requested an absentee ballot henceforth gets one automatically.""",5.0,0.0,48,1.0,false
"""Any Republican that has led for two months and led every state has won the GOP nomination.""",5.0,0.0,50,1.0,half-true
"""Apple and Amazon already operate in many states that require levels of voter ID.""",4.25531914893617,0.44075454602617337,47,1.0,true
"""Arizona officials caught changing ballots, have been arrested.”",3.0,0.0,48,1.0,false
"""As the election tracker FiveThirtyEight has reported, whoever wins Pennsylvania will be our next President.""",6.0,0.0,55,1.0,mostly-false
"""At least three or four of the pieces that are in"" in the Republican lame-duck legislation, Scott Walker ""has vetoed previously.""",3.0,0.0,51,1.0,mostly-true
"""At nearly 19 million people, the population of Florida is larger than all the earlier primary and caucus states combined.""",5.0,0.0,52,1.0,true
"""At the Democratic convention, the Pledge of Allegiance was read with the words 'under God' removed.""",5.0,0.0,39,1.0,mostly-false
"""Atheists are prohibited from holding office in 8 states.”",2.0,0.0,52,0.0,half-true
"""Attention hunters: Voting in North Dakota could cost you your out-of-state hunting licenses.""",6.0,0.0,52,1.0,pants-fire
"""Attorney General Eric Holder is involved in the dismissal of the criminal charges"" against the New Black Panther Party for voter intimidation",5.0,0.0,49,1.0,false
"""Attorney General Eric Holder’s own Justice Department precleared the voting changes in the 2011 law"" about early voting in Florida.",5.0,0.0,48,1.0,half-true
"""Austin is the largest city in the U.S. or Texas with no geographic representation"" on its city council.",5.0,0.0,46,1.0,true
"""BP is setting up claims offices throughout the state.""",2.0,0.0,40,1.0,mostly-true
"""Ballot dumps"" in Pennsylvania, California, North Carolina, Alaska and Wisconsin show election officials are improperly “flipping"" down-ballot seats for Democrats.",2.16,0.3703280399090204,50,0.16,pants-fire
"""Barack Obama said he would debate 'anywhere, anytime' but has rejected joint town hall meetings.""",5.0,0.0,48,1.0,half-true
"""Before the Republican wave in 2010, Democrats had an advantage on the generic ballot in Congress. Even in 1994 with the Gingrich revolution ... Democrats had that advantage.""",2.0,0.0,47,1.0,true
"""Before this law, any group could go out anywhere, register voters, sit on the voter registration forms for unlimited amount of time.""",5.0,0.0,47,1.0,mostly-false
"""Beyonce and Jay Z, I like them, I like them ... I get bigger crowds than they do. It's true. I get far bigger crowds.""",3.0,0.0,47,1.0,false
"""Biden concedes 6 million votes.""",2.0689655172413794,0.25560859370538297,58,1.0,pants-fire
"""Big victory moments ago in the State of Nevada. The all Democrat County Commissioner race, on same ballot as President, just thrown out because of large scale voter discrepancy.""",3.0,0.0,45,1.0,false
"""Black Panthers Just Took Over City (Atlanta) – All Out War On Election Day""",2.0,0.0,42,1.0,pants-fire
"""Black voter turnout in 2012 exceeded the rate of white voter turnout, even in the states with the strictest voter ID laws.""",5.0,0.0,46,1.0,true
"""Brad Schimel said that he wanted to be part of Donald Trump's support network.""",4.0,0.0,57,1.0,mostly-true
"""Breaking: Voters in Tarrant County, Texas are reporting that the voting machines are flipping their votes from Trump to Kamala Harris.""",2.0,0.0,58,1.0,pants-fire
"""Breaking: four million Democrat votes just declared fraudulent.""",2.0,0.0,56,1.0,pants-fire
"""Breaking: woman says she was offered big money by Washington Post to accuse Roy Moore of misconduct.""",5.5,0.6647258571142536,44,1.0,pants-fire
"""Bruce Rauner is of record that he will fully support the Trump candidacy. It's documented. It’s available.""",6.0,0.0,53,1.0,mostly-true
"""Busted: Obama is holding secret meetings to overtake the White House""",2.0,0.0,52,0.0,mostly-false
"""By registration fewer than 20 percent of Florida voters are Independents.""",5.0,0.0,50,1.0,true
"""By the end of Governor Rick Perry's term, he will have drained Texas taxpayers ... of more than $360,000 to pay for the rental mansion he has been living in while the historic Governor's Mansion is repaired.""",5.0,0.0,46,1.0,true
"""CNN reports DemDebate had 2.3 million viewers. Trump rally had 6.7 million last night!""",5.0,0.0,52,1.0,false
"""California Has 1.8M More Registered Voters Than It Should”",4.568181818181818,0.5010559673853123,44,0.0,pants-fire
"""California is home to the largest death row population in the Western Hemisphere.""",2.0,0.0,41,1.0,true
"""California is once again the sixth-largest economy in the world. If you add the GDP’s of Washington and Oregon, California would surpass the United Kingdom to become the fifth-largest economy in the world.""",2.0416666666666665,0.20194093652345876,48,1.0,mostly-true
"""California sends 440,000 ballots to ineligible voters.""",3.851063829787234,0.3598745798587226,47,1.0,false
"""Candidate Slotkin had presented herself as a moderate and as someone who’d be independent-minded, but her time in office was making it increasingly clear that no, she was very partisan, voting 96% of the time with Speaker Pelosi.""",2.0,0.0,48,0.0,mostly-false
"""Candidates for governor routinely disclose"" their spouses’ tax returns.",5.88,0.328260722659316,50,1.0,mostly-true
"""Chicago now has City ID Cards which allow illegal immigrants to vote in local, state & federal elections.""",2.185185185185185,0.585164839671439,54,1.0,false
"""China was behind the interference and the effort to overthrow our government and the election, election fraud.""",3.0,0.0,55,1.0,false
"""Chris Christie has led New Jersey to a record-breaking 9 credit downgrades.""",5.0,0.0,48,1.0,mostly-true
"""Collusion is not a crime.""",6.0,0.0,54,1.0,mostly-false
"""Collusion is not illegal.""",6.0,0.0,57,1.0,mostly-false
"""Corrupt political bosses. Money laundering. Fraud. It’s just another day at the office for Vin Gopal.""",6.0,0.0,56,1.0,pants-fire
"""Could I just point out that ... I seem to get the first question all the time?""",3.6296296296296298,0.4874382900970034,54,1.0,true
"""Cuba has a lung cancer vaccine we in the US had no access to because we sanctioned Cuba.”",5.0,0.0,50,1.0,half-true
"""Dallas County Texas (tells) election workers to (illegally) lie on registration & use a church address to register homeless people to vote!”",2.0,0.0,55,0.0,pants-fire
"""Daniel Webster said he's out. Now he says he's in.""",6.0,0.0,57,1.0,true
"""Dead people always vote Democrat.""",2.0,0.0,44,1.0,false
"""Debate moderators made the false claim to Donald Trump that there is nowhere in the United States where abortion is legal up until birth.""",5.0,0.0,46,1.0,false
"""Democrats and their allies (...) are manufacturing voters.""",3.0,0.0,53,1.0,pants-fire
"""Democrats have forced a special election""",5.035714285714286,0.18725633517970786,56,1.0,false
"""Democrats have now become the party of the [Atlanta] metro area and of blacks.""",5.0,0.0,50,1.0,mostly-true
"""Derrick Van Orden is one of the only members of Congress who participated in the deadly January 6th insurrection. He now serves in the building he tried to burn down.""",5.0,0.0,59,1.0,mostly-false
"""Did you know Wisconsin's AFSCME union has lost 50%+ of its members since no longer requiring membership?""",6.0,0.0,53,1.0,mostly-true
"""Do you know which state has the worst ratio of white voter turnout to African-American voter turnout? Massachusetts. Do you know what has the best, where African-American turnout actually exceeds white turnout? Mississippi.""",2.0,0.0,51,0.0,half-true
"""Docs: Wisconsin Governor Scott Walker took $1 million from a pro-Putin Ukrainian businessman—last election cycle.""",5.0,0.0,55,1.0,mostly-false
"""Donald Trump performed better than any presidential nominee since Gerald Ford.""",5.0,0.0,51,1.0,false
"""Donald Trump's strategy is pretty simple. They have even said in his campaign it's to get women to stay home, get young people to stay home, get people of color to stay home, and get a lot smart, intelligent men to stay home, too.""",5.0,0.0,51,1.0,half-true
"""During the last election, Democrats won over a million votes more than Republicans, but because of the way districts are designed, the Republicans got 33 more members of the House of Representatives than the Democrats did.""",5.0,0.0,52,1.0,mostly-true
