statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"“If I didn’t INSIST on having the National Guard activate and go into Kenosha, Wisconsin, there would be no Kenosha right now.”",pants-fire,false,"['false', 'mostly-false']",2,False
Florida Agriculture Commissioner Nikki Fried “suspended gun rights — no due process — just because she says these people were merely ‘involved’ in January 6.”,mostly-false,mostly-false,"['mostly-false', 'false', 'mostly-true', 'half-true']",4,True
"Leticia Van de Putte ""voted to stop schools from removing teachers convicted of a felony.""",mostly-false,false,"['false', 'mostly-false', 'half-true', 'mostly-true']",4,True
"""To call what happened on January 6 an armed insurrection, I just think is not accurate.""",pants-fire,false,"['false', 'mostly-false']",2,False
"Since the federal Violence Against Women Act was adopted in 1994, ""cases of domestic violence have fallen by 67 percent.""",mostly-true,mostly-true,['mostly-true'],1,True
"Huckabee ""granted 1,033 pardons and commutations . . . more clemencies than the previous three governors combined.""",true,true,['true'],1,True
"""Crime is rising.""",pants-fire,false,"['false', 'mostly-false', 'mostly-true']",3,False
"The “president of Drag Queen Story Hour” was “arrested, charged with child pornography.”",false,false,"['false', 'mostly-false']",2,True
"In the immediate wake of a fire and vandalism at the Madison headquarters of an anti-abortion group, Democrats had not condemned “activists who are engaging in this repugnant illegal activity.”",mostly-false,mostly-false,"['mostly-false', 'false', 'half-true', 'mostly-true']",4,True
Says George Floyd has “hair in one shot but is bald in the shots of him laying on the ground.”,pants-fire,pants-fire,['pants-fire'],1,True
"""Everywhere that we have more citizens carrying guns, crime is less. There's a study showing that where states have open carry or concealed carry, but particularly open carry, the crime is down 25 percent.""",mostly-false,false,"['false', 'mostly-false']",2,True
"California has seen a ""56 percent decline in the gun murder rate"" since the 1990s.",mostly-true,false,"['false', 'mostly-true', 'mostly-false', 'half-true']",4,True
"Human traffickers are putting toxin-laced tissues on gas pumps and door handles, then waiting for potential victims to pass out.",false,false,"['false', 'mostly-false']",2,True
"""DUI arrests dropped significantly in Tampa once Uber began operating here.""",half-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
Crime rises in communities with casinos.,half-true,half-true,['half-true'],1,True
"""Here’s the simple and undeniable fact: The overwhelming majority of violent criminals are Democrats.""",mostly-false,mostly-false,"['mostly-false', 'false', 'half-true']",3,True
"Texas has ""the lowest crime rate in this state since 1968"" because of changes in law regarding nonviolent drug offenders.",half-true,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false']",4,True
“Violent crime rates increased in all but two Wisconsin cities between 2008 and 2017.”,pants-fire,false,"['false', 'mostly-false']",2,False
"Federal agents directly incited people on Jan. 6, 2021, and ""intentionally entrapped"" American citizens.",false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"More ""than 80 percent of sex trafficking victims in America are U.S. citizens.""",half-true,mostly-true,"['mostly-true', 'false', 'mostly-false', 'half-true', 'true']",5,True
"Says 642,000 crimes were committed against Texans by criminal immigrants in a recent seven-year period.",false,false,"['false', 'mostly-false', 'pants-fire']",3,True
“Only one person died on that day” during the Jan. 6 U.S. Capitol riot.,false,false,['false'],1,True
"""In my first year in office, Aurora homicides went down by 40%.""",mostly-false,false,"['false', 'mostly-false', 'mostly-true', 'half-true', 'true']",5,True
"The U.S. House Select Committee that investigated the Jan. 6, 2021, attack on the U.S. Capitol “deleted and destroyed all of the information that they collected over two years.”",false,false,"['false', 'mostly-false']",2,True
Cheri Beasley was “encouraging (riots) all across our state and all across our country in 2020.”,false,false,"['false', 'mostly-false', 'pants-fire']",3,True
Four out of 10 homicides are committed by gun in this city.,true,true,['true'],1,True
"In Milwaukee, ""murder is up an astonishing 57 percent.""",mostly-false,mostly-false,['mostly-false'],1,True
The crime rate in some Atlanta neighborhoods has dropped by 35 to 51 percent.,false,false,['false'],1,True
"Says Donald Trump and Ron Johnson ""oppose a woman's right to choose and Johnson voted against the Violence Against Women Act.""",mostly-true,mostly-true,['mostly-true'],1,True
"“Joe Biden wants to eliminate a regulation that requires school districts to report allegations of teacher on student rape, alleged rape, and sexual assault.”",false,false,"['false', 'mostly-false']",2,True
"""The vast, overwhelming majority of [crimes that occur with a firearm] are committed by people who don’t legally possess that firearm in the first place.""",mostly-true,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false', 'false']",5,True
Says the Obamas are connected to the Varsity Blues college admissions scandal.,false,false,['false'],1,True
"""Phoenix is already one of the kidnapping capitals of the world.""",false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"""Inner-city crime is reaching record levels.""",pants-fire,false,"['false', 'mostly-false']",2,False
"""In New Hampshire, 93 percent of Democrats, 79 percent of Republicans, 82 percent of gun owners and 60 percent of NRA households support background checks.""",mostly-true,mostly-true,"['mostly-true', 'true']",2,True
"In Springfield, Ohio, “murders are up by 81%.”",mostly-false,false,"['false', 'mostly-false', 'mostly-true']",3,True
"If the sequester hits, federal prosecutors will have to ""let criminals go.""",mostly-false,false,"['false', 'mostly-false']",2,True
Says the Obama administration catches and releases nonviolent illegal immigrants.,half-true,mostly-false,"['mostly-false', 'false', 'half-true', 'mostly-true']",4,True
"""In 2008, when Flint had 265 sworn officers on their police force, there were 35 murders and 91 rapes in this city. In 2010, when Flint had only 144 police officers, the murder rate climbed to 65, and rapes … climbed to 229.""",half-true,half-true,"['half-true', 'mostly-true', 'mostly-false', 'false']",4,True
"""Florida's new fingerprint identification system is improving our rate of solving cold cases by 300 percent.""",mostly-false,mostly-false,"['mostly-false', 'false']",2,True
"By clicking on a link from a fake USPS text message, “you are sending your precise location to sex traffickers in your local area” so they can kidnap you.",false,false,['false'],1,True
"About ""1 percent of all the gun sellers are responsible for more than half of the guns that are used in crimes.""",half-true,half-true,"['half-true', 'mostly-true']",2,True
"An ABC News headline said, “Journalist covering the Hunter Biden case dies after being shot 7 times.”",false,false,['false'],1,True
"""Last year, South Carolina spent $21,756 per prison inmate and $11,552 per student.""",mostly-true,true,"['true', 'mostly-true']",2,True
“We’re facing situations these days where you have to have two officers in the evidence room in case there’s an accidental (fentanyl) exposure.”,true,true,"['true', 'mostly-true']",2,True
"""The United States has the highest incarceration rate in the world.""",mostly-true,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false', 'false']",5,True
"Says that like Todd Akin, all Texas Republicans in U.S. House cosponsored a bill ""that attempts to distinguish between ‘forcible rape’ and other sexual assaults.""",half-true,false,"['false', 'mostly-false', 'mostly-true', 'half-true', 'true']",5,True
"""The number of inmates since 2000 on death row dying of natural causes has now surpassed the number of inmates executed.""",true,true,['true'],1,True
"""Florida sheriffs unequivocally support"" the ""stand your ground"" law.",mostly-false,mostly-false,"['mostly-false', 'false', 'half-true', 'mostly-true']",4,True
"""The president has been very clear. All forms of abuse, all forms of battery against women are deplorable and disgusting. ... He’s said that multiple times in the past.""",false,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'false', 'true']",5,True
"""There are more guns in this country than there are people.""",half-true,half-true,"['half-true', 'mostly-true']",2,True
