statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
Says Mitt Romney raised business taxes 20 percent in Massachusetts.,mostly-true,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"Says state schools superintendent candidate Don Pridemore ""voted for the largest cuts to public education in our state history"" and for ""$2.3 billion in tax breaks for corporations and the wealthy.""",half-true,half-true,['half-true'],1,True
"“The Congressional Budget Office says 90% of the revenue generated from the new IRS agents will come from people making less than $200,000 … and the revenue generated will be $300-plus billion.”",false,false,"['mostly-false', 'false']",2,True
"""Some billionaires have a tax rate as low as 1 percent.""",mostly-false,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""I lowered taxes over the last two years.""",mostly-true,mostly-true,['mostly-true'],1,True
"""We have cut taxes more than 40 times in four years.""",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""Even the CBO numbers show now that the entire $1.5 trillion tax cut is virtually paid for by higher revenues and better nominal GDP.""",false,false,"['mostly-false', 'false']",2,True
"A monthly ""police and fire protection fee"" on all Wisconsin phone bills does nothing to support police and fire.",false,false,"['mostly-false', 'false']",2,True
"""I didn't endorse"" the federal stimulus bill.",pants-fire,pants-fire,"['false', 'pants-fire']",2,True
"Says Romney tax plan ""could take away middle-class deductions for child care, mortgages and college tuition.""",mostly-false,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"The United States ""has never been richer, if you look at per capita GDP.""",true,mostly-true,"['true', 'mostly-true', 'half-true', 'false']",4,True
"Says the federal government is earning more tax revenue now ""than any other time.""",mostly-false,false,"['mostly-false', 'false']",2,True
President Joe Biden “cheated on his taxes and got away with it.”,false,false,"['mostly-false', 'false']",2,True
"""Pritzker and Madigan want to change the constitution to allow a permanent jobs tax on middle class families.""",false,mostly-false,"['mostly-false', 'false']",2,True
"Wisconsin is ""guaranteeing Foxconn almost $3 billion, but Foxconn is not contractually guaranteeing how many full-time employees it will hire, for how long and at what pay.""",half-true,half-true,['half-true'],1,True
"Cheri Beasley “backs tax hikes — even on families making under $75,000.”",mostly-false,false,"['mostly-false', 'false']",2,True
Says Texas has “lower taxes and less regulations than anywhere else in the U.S.”,false,false,"['mostly-false', 'false']",2,True
"""Mike Huckabee raised taxes on dog groomers!""",mostly-true,mostly-false,"['half-true', 'mostly-false']",2,False
"Say ""in November 2010, voters overwhelmingly supported the idea of creating a (library) district.""",half-true,half-true,['half-true'],1,True
"The home-mortgage deduction is widely thought to be ""a middle-class benefit. It's not -- 73 percent of it goes to people making a quarter-million dollars or more a year.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Anybody who is familiar with the historical data from the IRS knows that raising income tax rates will likely actually reduce federal revenues.""",false,false,['false'],1,True
"The ""48, 49 percent"" that supports President Barack Obama are ""people who pay no income tax.""",false,false,"['mostly-false', 'false']",2,True
“Joe Biden wants to raise taxes on 82% of all Americans.”,false,false,"['mostly-false', 'false']",2,True
"""If you don't pay income taxes ... you'll have more money"" under the Republican tax plan.",false,false,"['mostly-false', 'false']",2,True
"The Bush tax cuts ""helped to create a substantial part of the deficit.""",true,true,['true'],1,True
"Says opponents of proposed Austin school district bonds say the district’s ""debt load doubles with these new bonds.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Ronald Reagan ""raised taxes in 1982, 1984, 1985, 1986 and 1987.""",true,true,"['true', 'mostly-true']",2,True
"""We will not ask for a tax increase to run city government.""",mostly-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""According to the nonpartisan Congressional Budget Office, the IRS would need to hire over 16,000 people ... to audit the American people and impose the new taxes and mandates"" of the health care bill.",mostly-false,mostly-false,"['mostly-false', 'false']",2,True
"""Prop 56 cheats schools out of at least $600 million.""",mostly-false,false,"['mostly-false', 'false']",2,True
"""Over the next two years, this $1.8 billion deficit will cost individual Wisconsinites $300 each, or $1,200 for families of four.""",false,false,['false'],1,True
"The IRS is ""going to be in charge of our health care.""",false,false,"['mostly-false', 'false']",2,True
"Says Pennsylvania charges a top income tax rate of 3 percent and Delaware ""has no state income tax at all.""",half-true,false,"['mostly-false', 'false']",2,False
"Boston is just 60 minutes away and it’s offering subsidies to developers who can charge higher rent than you can get in Providence while construction costs are more or less equal. As a result, the Boston skyline ""is completely dominated by the cranes.""",true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""There are a thousand billionaires now and you know what their average tax rate is? 8%.""",false,false,['false'],1,True
"Says that when President Bill Clinton raised the top tax rates to levels now proposed by Obama, the country experienced significant job growth.",half-true,half-true,"['mostly-true', 'half-true']",2,True
Says the oil industry subsidies that President Barack Obama is attacking don’t exist,false,false,['false'],1,True
"""A far different picture from the prior eight years, which saw 115 increases in taxes and fees.""",true,true,"['true', 'mostly-true']",2,True
"While in the Illinois Senate, Barack Obama passed ""tax cuts for hard-working families.""",mostly-true,half-true,"['mostly-true', 'half-true']",2,True
The Republican tax and spending bill will provide a “tax cut for Social Security recipients.”,half-true,mostly-false,"['half-true', 'mostly-false', 'false']",3,True
"Says that under his tax plan, ""no matter where you are in the stratosphere, you're going to be getting a tax cut.""",false,false,['false'],1,True
Says U.S. Rep. Tammy Baldwin is backing President Barack Obama’s plan to pass a $1.5 trillion tax increase.,false,false,['false'],1,True
"Says ""roughly two-thirds of (state) corporations didn’t pay any income tax in Virginia.""",mostly-true,mostly-true,"['true', 'mostly-true']",2,True
"California’s proposed tobacco tax ""diverts 82 percent of the new taxes to line the pockets of wealthy special interests like insurance companies who don't have to help even one more patient.""",mostly-false,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
“Republicans on the Joint Finance Committee removed more than $8 billion in spending increases from Gov. Evers' budget proposal.”,mostly-true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
"Says his transportation plan ""would make Virginia the first state in the nation to eliminate the state tax on gasoline.""",true,true,"['true', 'mostly-true', 'half-true', 'false']",4,True
"Under Gov. Scott Walker’s proposals, ""Money is being taken away from workers, and the tax breaks given to major corporations. """,mostly-true,mostly-true,['mostly-true'],1,True
"Says GOP recall challenger Kim Simac ""was delinquent paying her property taxes eight of the last nine years.""",true,true,['true'],1,True
"Says ""the governor is going around the state talking about [how] we should fund an income tax cut"" that benefits higher income earners and not lower income earners",false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Every illegal immigrant ""can be eligible for up to $36,000 to $38,000 in earned income tax credits without paying a dime in.""",false,false,"['mostly-false', 'false']",2,True
"""Gov. Romney's plan would cut taxes for the folks at the very top.""",mostly-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false']",3,True
"David Beckham’s soccer stadium would get a ""special tax deal that lets them off the hook for $2 million in taxes every year for 30 years.""",mostly-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""The proudest accomplishment (of my tenure) was leaving the state with a $1.2 billion surplus, which was the largest we’d ever had, and getting spending under control and a balanced budget.""",mostly-true,mostly-true,"['true', 'mostly-true']",2,True
David Perdue said he’d raise taxes.,half-true,half-true,['half-true'],1,True
"When it comes to transportation funds, Georgians spend more in taxes and on red tape than they get back from the federal government.",half-true,half-true,"['mostly-true', 'half-true']",2,True
"The Democratic health care bill will ""collect higher taxes for 10 years  and provide health care for only six years.""",half-true,half-true,['half-true'],1,True
"As Dane County executive, Kathleen Falk raised property taxes by ""millions of dollars every year"" and approved the second highest increase in the state in 2010.",true,true,"['true', 'mostly-true']",2,True
"Says Wisconsin Democrats during the previous administration adopted ""double-digit tax increases.""",mostly-true,mostly-true,"['mostly-true', 'half-true']",2,True
"""As a U.S. senator with salary and perks, ‪#‎Bernie‬ is in the top 1 percent, but still paid only 13 percent in taxes last year.""",mostly-false,false,"['mostly-false', 'false']",2,True
"Says Scott Walker rejected legislation to make college loan payments tax deductible and the result was ""to raise taxes on students.""",false,false,['false'],1,True
"Said, ""The Seven Years’ War led to near bankruptcy for many countries; Britain’s need to raise taxes fueled the American desire for independence.""",mostly-true,true,"['true', 'mostly-true']",2,True
"The GOP tax plan ""Sabotages the health care of 13 MILLION Americans.""",half-true,mostly-false,"['mostly-true', 'half-true', 'mostly-false']",3,True
"""Congressman (Ron) DeSantis sponsored legislation to increase sales taxes by 23 percent, hurting families, destroying jobs, devastating tourism""",mostly-false,mostly-false,"['mostly-false', 'false']",2,True
“Never in American history has so much been spent at one time. Never in American history will so many taxes be raised and so much borrowing be needed to pay for this reckless spending.”,false,false,"['mostly-false', 'false', 'pants-fire']",3,True
Finance experts estimate that paying in cash for the $2.5 billion in projects funded by the sales tax saved Gwinnett County more than $1 billion in interest payments.,true,true,['true'],1,True
"Says 7,000 millionaires ""gamed the system to pay no income taxes.""",false,false,['false'],1,True
"Says Ohio is one of just 17 states with an estate tax, and it has ""the lowest threshold in the nation.""",true,true,['true'],1,True
"The federal government ""may put 16,500 IRS agents in charge of policing President Obama's health care bill.""",half-true,half-true,['half-true'],1,True
"The richest 400 taxpayers are taxed at a lower rate than a $29,000-a-year worker",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""Mitt Romney is the first major party candidate for president of the United States in modern times not to release at least 12 years of tax returns.""",false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""I said no to higher taxes and fees.""",mostly-false,mostly-false,"['mostly-false', 'false']",2,True
Says New Hampshire has the third-highest property tax in the country.,true,mostly-true,"['true', 'mostly-true']",2,True
"""The entire state of Florida led the nation last year with the most prison inmates committing tax fraud.""",true,true,['true'],1,True
"""I have fought for our shared values without being an ideologue or a partisan""",mostly-false,mostly-true,"['mostly-true', 'half-true']",2,False
"Tax increases could ""come into play"" as a result of the debt ceiling deal.",mostly-true,mostly-true,['mostly-true'],1,True
"Says Scott Walker's plan to replace Obamacare ""is a new entitlement"" program for ""every single American human being from the time they are born right up until they grow old and become eligible for Medicare.""",half-true,half-true,['half-true'],1,True
