statement,avg_set_size,std_set_size,num_trials,coverage_rate,true_verdict
"""$500 billion of the extension of the Bush tax cuts for the wealthy goes to 120,000 families.""",4.571428571428571,0.5008703226778093,42,1.0,mostly-true
"""(Assembly Democrats) wanted to raise the gas tax by $2.4 billion. We said no to that....They’re down on the ground. They’re sweating. They’re twitching. It’s ugly, ‘cause I keep saying no.""",4.957446808510638,0.20402970888857874,47,1.0,mostly-false
"""(Romney's) record was that he raised taxes by $730-million.""",5.071428571428571,0.26066118021500667,42,1.0,half-true
"""(Ronald Reagan) raised taxes a billion dollars in his first year as governor of California.""",4.672727272727273,0.47354242074224373,55,1.0,true
"""(Sen. Robert) Gordon cost us money, exempting the Newark sports arena from paying property taxes and sticking us with the bill.""",4.883720930232558,0.3243530062242882,43,1.0,mostly-false
"""(Strickland) raised taxes last year to the tune of $840 million.""",4.52,0.5046720495044484,50,1.0,mostly-true
"""(The Tax Policy Center) found that Romney would raise taxes on the average middle class family by $2,000 to pay for $5 trillion in tax cuts for millionaires and billionaires.""",4.6923076923076925,0.4660413824283705,52,0.6923076923076923,half-true
"""...some of those (tax increases) were either court-ordered, or they were voted on by the people and approved by the people for (such) things as roads.""",3.1538461538461537,0.3643213074786545,52,1.0,half-true
"""101 utilities cut rates, credit GOP tax cuts.""",5.130434782608695,0.34050261230349943,46,1.0,mostly-true
"""2014 Federal Tax Refunds To Be Delayed Until October 2015.""",1.8837209302325582,0.3243530062242882,43,0.8837209302325582,pants-fire
"""47 - New provisions ObamaCare charges the IRS with implementing, according to the Government Accountability Office.""",4.136363636363637,0.3471417571787744,44,1.0,true
"""70 percent of the income tax that the state collects happens to come from Westchester, Nassau, Suffolk and New York City""",4.5423728813559325,0.5024777880939233,59,1.0,true
"""75 percent of the Obamacare tax falls on the middle class.""",5.288461538461538,0.4574669584784759,52,1.0,false
"""80 percent of the (individual mandate) tax falls on those who make $50,000 a year or less.""",4.754385964912281,0.4342769752451425,57,1.0,mostly-true
"""83% of Trump tax breaks go to the wealthiest 1%.""",4.82,0.38808793449160356,50,1.0,half-true
"""98 percent of American families"" make ""under $250,000 a year.""",4.74,0.44308749769345224,50,1.0,true
"""98 percent of small businesses make less than $250,000"" and would not see a tax increase under Barack Obama's plan.",4.98,0.24660966430902936,50,1.0,true
"""A cashier earning $20,000 per year pays the same (Virginia) income tax rate as a hedge fund manager earning $20 million per year.""",4.452830188679245,0.5025334943237828,53,1.0,false
"""A construction worker who’s making $50 or $60 grand a year shouldn’t be paying higher tax rates than the guy who’s making $50 million a year. And that’s how it’s working right now.""",3.877551020408163,0.33120066055341796,49,1.0,half-true
"""A far different picture from the prior eight years, which saw 115 increases in taxes and fees.""",4.76595744680851,0.42797632794384327,47,1.0,true
"""A grant for $5,000 [from the Governor’s Workforce Board] went to teach an employee at a company that makes ornamental business card holders how to use Facebook and Twitter.""",5.098039215686274,0.36082693695367685,51,1.0,mostly-false
"""A tax on soda and juice drinks would disproportionately increase taxes on low-income families in Philadelphia.""",3.911111111111111,0.28779903201415186,45,1.0,true
"""A trip to Mar-a-Lago costs taxpayers approximately $3.6 million, according to a Government Accountability Office report.""",4.318181818181818,0.4711552981879444,44,0.3181818181818182,half-true
"""About 80 percent of (the manufacturing and agriculture) tax credit goes to claimants who are making $1 million or more.""",4.758620689655173,0.4316571425184985,58,1.0,true
"""About two-thirds of all consumption is services. . . It was just the opposite"" when the sales tax was enacted in the '30s.",4.384615384615385,0.49125075078907476,52,1.0,mostly-true
"""According to the Tax Foundation, the top 10 percent of earners already pay almost 80 percent of all taxes.""",2.6808510638297873,0.4711864293980076,47,0.0,mostly-false
"""According to the nonpartisan Congressional Budget Office, the IRS would need to hire over 16,000 people ... to audit the American people and impose the new taxes and mandates"" of the health care bill.",4.933333333333334,0.2522624895547565,45,0.9333333333333333,mostly-false
"""After how hard you work and how much you pay in taxes, New York City ends up getting the money. I'm Chris Jacobs. I think it's time we have someone in Albany that's making sure our region gets our fair share""",4.456521739130435,0.5036101551853347,46,1.0,false
"""After the 2001 and 2003 Bush tax rate cuts ... there was more money coming into the treasury.""",4.723404255319149,0.45215078571752704,47,1.0,mostly-false
"""Alabama is operating government on the lowest amount of tax revenue of any state in the nation.""",4.895833333333333,0.3087092781885837,48,1.0,mostly-true
"""Almost half of every dollar that we spend on gas, it goes to New York State.""",4.711538461538462,0.45746695847847574,52,1.0,false
"""America has more people employed as tax preparers (1.2 million) than as police and firefighters.""",4.441860465116279,0.5024855165595915,43,1.0,false
"""America is one of the highest-taxed nations in the world.""",4.767857142857143,0.42602054703207276,56,1.0,mostly-false
"""America's wealthiest 25 percent pay 86 percent of total income taxes. Wealthiest 5 percent pay 60 percent of total income taxes.""",4.465116279069767,0.5046845884077512,43,1.0,true
"""Americans now spend 100 days out of the year working for government before we even start working for ourselves.""",5.2075471698113205,0.40943162132389443,53,1.0,mostly-true
"""Americans received the biggest tax cut in history last year.""",4.923076923076923,0.2690691175985249,52,1.0,false
"""Americans will pay more in taxes in 2011 than they will spend on groceries, clothing and shelter combined.""",5.160714285714286,0.37059096364814703,56,0.16071428571428573,half-true
"""Americans will spend more on taxes in 2014 than they will on food, clothing and housing combined.""",5.127659574468085,0.33731814917823866,47,1.0,half-true
"""Americans will spend more on taxes in 2015 than on food, clothing and housing combined.""",5.269230769230769,0.4478876178801743,52,0.2692307692307692,half-true
"""America’s tax code hasn’t been updated in 30 years.""",4.795454545454546,0.40803245735839216,44,0.7954545454545454,mostly-false
"""An amendment, pushed by Lyndon Johnson many years ago, threatens religious institutions with a loss of their tax-exempt status if they openly advocate their political views.""",5.0,0.22086305214969293,42,0.9761904761904762,true
"""And delivered more tax relief than the other Republicans combined.""",5.116279069767442,0.32435300622428814,43,1.0,mostly-true
"""Anybody who is familiar with the historical data from the IRS knows that raising income tax rates will likely actually reduce federal revenues.""",4.6875,0.46841743521886675,48,1.0,false
