statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"""If you look at the jobs lost in the private sector as opposed to the job gains in the public sector, it's out of whack. The government's growing and the private economy's shrinking.""",half-true,half-true,['half-true'],1,True
"About New York state: ""We have the highest debt per capita.""",true,true,"['true', 'mostly-true']",2,True
"""Just in our first six months in office, Missouri moved up the rankings nine places ... of the best states to do business.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
"""The only time government employment has gone down during a recession has been under me.""",false,false,['false'],1,True
"""More Texans have new jobs today than the entire population of Fort Worth.""",true,true,['true'],1,True
"""One out of 10 minimum-wage workers in the U.S. live in Texas.""",true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""The richest 80 people in the world own more wealth than the bottom half of the global population.""",mostly-true,true,['true'],1,False
"Says the United States is in ""the worst recovery from an economic recession since World War II.""",half-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false']",3,True
"""More Texans have jobs today than ever before in the history of our state.""",mostly-true,mostly-true,"['true', 'mostly-true']",2,True
"""For every dollar we put in unemployment, it pays back about $1.60.""",half-true,half-true,['half-true'],1,True
Ninety million Americans either aren’t working or aren’t looking for work.,mostly-false,mostly-false,"['half-true', 'mostly-false', 'false']",3,True
"""The Texas unemployment rate is now the lowest it’s been in 40 years & Texas led the nation last month in new job creation.""",false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,False
"""For every $10,000 invested in business incubators, up to nearly 70 local jobs are generated.""",true,true,['true'],1,True
"Says the federal agency in charge of Medicare and Medicaid will disburse $803 billion in benefits this year, making ""it larger than all but 15 of the world's economies.""",half-true,half-true,['half-true'],1,True
"Says ""by reducing chronic health care costs in the State of Georgia, we can reduce the $32.8 billion lost each year due to lack of productivity and economic costs.""",mostly-true,mostly-true,['mostly-true'],1,True
"Says her campaign platform includes the ""biggest investment in new, good-paying jobs since World War II.""",half-true,mostly-true,"['mostly-true', 'half-true']",2,True
"""We have the lowest percentage of Americans working today of any year since 1977.""",mostly-true,half-true,"['mostly-true', 'half-true', 'mostly-false']",3,True
"Says President Joe Biden ""is trying to send taxpayer dollars to manufacturers overseas that do not abide by the same (carbon emission) standards we do at home.""",half-true,mostly-false,"['mostly-false', 'false']",2,False
"""Over the last several years, 40 percent (of) the jobs created in Texas were created for illegal aliens.""",half-true,mostly-false,"['half-true', 'mostly-false', 'false']",3,True
"""When I was your governor, we reduced insurance rates by 10%.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"Says Donald Trump’s ""only economic agenda is imposing massive taxes on the American people with a 40 percent tax hike of a giant tariff.""",half-true,mostly-false,"['mostly-false', 'false']",2,False
"""The (economic stimulus) legislation could open billions of taxpayer dollars to left-wing groups like the Association of Community Organizations for Reform Now (ACORN).""",mostly-false,false,"['mostly-false', 'false']",2,True
"""Among the developed nations, we are the least economically and socially mobile country in the world.""",true,true,"['true', 'mostly-true']",2,True
"""The pension fund in the city of Providence is only 30 percent funded, about the same level as when he [Taveras] took office.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
"Lumber, gas, wheat, coal and corn cost more in April 2021 ""in Joe Biden's America"" than they did a year earlier.",half-true,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""I have little doubt that we've moved into recession at this point.""",mostly-false,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"“Bidenomics is costing the typical American household over $11,400 more a year to buy the basics.”",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
Joe Biden’s tweet is proof that a helicopter crash that killed six Nigerian billionaires was planned by Biden.,pants-fire,false,"['false', 'pants-fire']",2,True
"“Less than half of Americans have $1,000 in savings.”",mostly-false,mostly-false,"['half-true', 'mostly-false', 'false']",3,True
"""Under conservative leadership, Congress has reduced the federal deficit by 60 percent – nearly $800 billion.""",mostly-false,mostly-false,['mostly-false'],1,True
"Says Donald Trump promised ""to take care of everybody (through government-run healthcare and) the government's going to pay for it.""",false,false,"['mostly-false', 'false']",2,True
"H-1B guest workers are “being employed as dog trainers, massage therapists, cooks, and English teachers.”",mostly-false,mostly-false,"['half-true', 'mostly-false', 'false']",3,True
"“Donald Trump added more to the national debt than any other president, ever.”",half-true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
"“With your Democrat governor, you have some of the highest electricity prices and highest energy costs. It’s just about at the top in Wisconsin.”",false,false,"['mostly-false', 'false']",2,True
"""The Florida Legislature raised taxes and fees by almost $2 billion"" in the 2009 session.",true,true,['true'],1,True
Welfare programs caused more long-term damage to Detroit than the atomic bomb caused to Hiroshima,pants-fire,pants-fire,['pants-fire'],1,True
