statement,avg_set_size,std_set_size,num_trials,coverage_rate,true_verdict
"""(After the auto bailout) General Motors is back on top as the world’s No. 1 automaker.""",4.622222222222222,0.49031014715590027,45,1.0,half-true
"""(M)ore Georgians have jobs than at any other time since October 2008.""",3.6956521739130435,0.5107539184552491,46,1.0,true
"""(Mary) Burke was a senior member of the Doyle administration that left Wisconsin with 130,000 fewer jobs.""",4.906976744186046,0.29390259873217933,43,1.0,mostly-false
"""(President Barack Obama gave) half a billion in taxpayer money to help his friends at Solyndra, a business the White House knew was on the path to bankruptcy.""",5.590909090909091,0.4973502728147656,44,1.0,mostly-false
"""1.53 million jobs are at risk (from potential defense cuts).""",4.957446808510638,0.2917299829957891,47,1.0,mostly-true
"""170,000 of the jobs"" created in Texas under Gov. Rick Perry ""were government jobs.""",5.388888888888889,0.4944132324730442,36,1.0,half-true
"""2.1 million jobs have been created in the last six or seven years"" in California",3.891304347826087,0.3787852437325999,46,1.0,true
"""25,000 businesses have been created since (Scott) Walker took office.""",4.7924528301886795,0.40943162132389443,53,1.0,mostly-false
"""42 percent of (Walmart’s) associates are black.""",4.431372549019608,0.500196039999691,51,1.0,false
"""6,400 Ohioans ... lost manufacturing jobs in the month of September.""",4.086956521739131,0.28488492464476783,46,1.0,mostly-true
"""60 percent of the jobs lost in the 2008 recession were living-wage jobs. Of the jobs we’ve gotten back, only 40 percent are living-wage.""",3.066666666666667,0.3302891295379083,45,1.0,true
"""70 million Americans have a criminal record — that’s one in three adults.""",3.9791666666666665,0.32548381881755156,48,1.0,half-true
"""75 percent of the jobs created in the state of Ohio are created in small business. They are not created by huge corporations and those who are very wealthy.""",4.203389830508475,0.4059752420236703,59,1.0,mostly-true
"""80 percent of the American people haven’t gotten a pay raise since the crash.""",4.68,0.4712120714991613,50,1.0,mostly-true
"""832,000 people lost their job while (Charlie Crist was) governor.""",4.864406779661017,0.3452948324729957,59,0.864406779661017,half-true
"""92 million Americans aren't working.""",5.333333333333333,0.47639306734033077,48,1.0,mostly-false
"""92 percent of the jobs lost during Barack Obama’s first term belonged to women.""",5.416666666666667,0.4971671160112441,60,1.0,false
"""95 percent of job creators say Wisconsin is headed in the right direction.""",4.285714285714286,0.4558423058385517,56,0.2857142857142857,half-true
"""95 percent of the income gains in the last few years have gone to the top 1 percent.""",3.5,0.5046949386828399,54,1.0,mostly-true
"""A case before Washington’s Supreme Court seeks to effectively end public labor unions.""",4.857142857142857,0.3535533905932736,49,0.8571428571428571,false
"""A hundred percent of all the jobs lost during the recession have been reclaimed in Texas … while the nation is at about 36 percent.""",4.672727272727273,0.4735424207422439,55,1.0,mostly-true
"""A quarter of our workers make $18,000 per year.""",4.434782608695652,0.5012062743707415,46,1.0,half-true
"""A report just came out that if we continue with President Obama's policies, we're looking at over 9 percent unemployment next year in the fourth quarter.""",4.631578947368421,0.48885152952935135,38,1.0,false
"""A study by the National Economics Research Association showed that the (Paris climate) deal could cost 2.7 million lost jobs in the U.S. by 2025 should our country adhere to the commitments made by the Obama Administration.""",5.122448979591836,0.33120066055341824,49,1.0,false
"""A white family is likely to have about six times as much wealth than a black or Hispanic family coming out of the recession.""",4.536585365853658,0.5048544827774512,41,1.0,true
"""A woman working full-time is paid 79 to 80 cents for every dollar a man is paid, and it's even less for women of color, and on average $11,000 per year is lost simply because she isn't a man.""",2.8653846153846154,0.3446422500840349,52,1.0,mostly-true
"""About 47 percent of able-bodied people in the state of Maine don’t work.""",4.846153846153846,0.3643213074786546,52,1.0,pants-fire
"""About 80 percent of (the manufacturing and agriculture) tax credit goes to claimants who are making $1 million or more.""",4.8,0.40406101782088427,50,1.0,true
"""According to 2009 estimates, an agreement with Panama could result in almost 1,900 Florida jobs in the first year – and about 15,000 jobs after five years.""",4.555555555555555,0.5025189076296059,45,1.0,mostly-true
"""According to independent analysis, unfair trade deals have resulted in the loss of over 64,000 jobs in Wisconsin ... But Ron Johnson favors those deals.""",4.6415094339622645,0.48414633923422806,53,1.0,half-true
"""According to one study, the minimum wage today is worth $2 less than in 1968.""",4.574468085106383,0.4997686791456115,47,1.0,mostly-true
"""African American unemployment is the lowest ever recorded in our country. The Hispanic unemployment rate dropped a full point in the last year and is close to the lowest in recorded history. Dems did nothing for you but get your vote!""",4.84,0.3703280399090206,50,1.0,mostly-true
"""African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.""",4.769230769230769,0.42543562981151706,52,1.0,half-true
"""After a decade of decline, this country created over half a million manufacturing jobs in the last two and a half years.""",3.4,0.49613893835683387,40,1.0,true
"""After four years of a celebrity president … 85% (of recent college grads are) moving back in with their parents.""",5.137931034482759,0.34783923802698263,58,1.0,false
"""After shedding jobs for more than 10 years, our manufacturers have added about 500,000 jobs over the past three.""",3.588235294117647,0.49705012174770846,51,1.0,true
"""After the last administration nearly killed the US auto industry, I saved the U.S. auto industry ... We brought you a lot of car plants… (and Japan) “announced five car companies are coming to Michigan.”",4.944444444444445,0.3019850469037484,54,1.0,false
