statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"""In 1960, we spent more than 3 percent of our GDP on infrastructure projects like the Interstate Highway. Today we spend less than 1 percent of our GDP on these vital investments.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"Says Joe Biden “had 308,000 military people dying because you couldn’t provide them proper healthcare in the military.”",false,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
“TEA is allowing online learning with attendance stipulations but will not fund school districts if they do not open their schools...If schools do not open and are not funded there will be no more teachers or school at all.”,half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""EPA wants to regulate … the family BBQ.""",false,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"Congress gave an unelected board ""the power to deny care to seniors.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""Wikileaks also shows how John Podesta rigged the polls by oversampling Democrats, a voter suppression technique.""",pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""When Josh Mandel claims to have accepted three debates with Sen. Sherrod Brown, he is lying. He has accepted ZERO proposed debates.""",pants-fire,true,"['true', 'mostly-true', 'mostly-false', 'false']",4,False
"President Obama ""funneled"" $716 billion out of Medicare ""at the expense of the elderly.""",mostly-false,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"An ""abortion procedure is actually safer than a vasectomy.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""When President Obama was running for re-election … Senator Sanders was trying to find someone to primary him.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""America has lost over 50,000 manufacturing factories on other trade deals.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says state Sens. Greg Evers, Nancy Detert and Charles Dean ""got a failing grade from conservatives.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""The voting public had no say"" in the Atlanta region’s proposed transportation project list.",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says the ""bones of children"" were found on Jeffrey Epstein’s island.",false,false,"['mostly-true', 'mostly-false', 'false', 'pants-fire']",4,True
“Jamie Foxx is on Life Support in ICU at this hour … Family is preparing for the worst.”,false,false,"['false', 'pants-fire']",2,True
“CO2 is not a pollutant.”,false,false,"['false', 'pants-fire']",2,True
"Says Oak Grove is ""one of the largest cities in Oregon"" and is ""the biggest city in Clackamas County and it's not a city.""",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
“Corona virus: Florida man arrested for robbery using cough as a weapon.”,pants-fire,pants-fire,"['false', 'pants-fire']",2,True
"Independent analysts ""found that Trump's tax plan, given to the wealthy and big corporations, would rack up $30 trillion in debt.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"The new Illinois school funding formula ""created a tax shelter for the wealthy and a voucher program…""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"Says ""combined doses of vaccines"" have never been tested.",pants-fire,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"“The NFL agreed to give the domestic terror group, BLM, 250 million dollars.”",false,false,"['false', 'pants-fire']",2,True
"""I said no to these big bank bailouts.""",true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""The administration (has) passed a new bill to help Americans with $15,000+ in credit card debt to write off their balance by 50%.""",false,false,"['mostly-false', 'false']",2,True
"If Obama's economic plan creates 600,000 new government jobs, ""that's about the size of the post office work force.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Twenty-six men named William have been elected to statewide office and only seven women have had the honor.""",mostly-true,true,"['true', 'mostly-true', 'false']",3,True
"""In Florida, they're already talking about how the Ryan-Romney plan will end Medicare and replace it with a voucher.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
