statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"""Across the board, violent crime in jurisdictions that recognize the Right to Carry is lower than in areas that prevent it.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""In light of the leak of my financial disclosure info which is a felony I will be contacting @FBI and the @TheJusticeDept""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
Four out of 10 homicides are committed by gun in this city.,true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Animal abuse is often an indicative trait of future acts of violence against humans.""",true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""An elderly British politician has been savagely beaten to a bloody pulp by a gang of anti-Trump protestors because he ‘welcomed’ the U.S. president to the United Kingdom.""",mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"Says handing over arrested undocumented youth to ICE ""was an unintended consequence"" of a 2008 San Francisco policy that she supported.",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
“Violent crime is near a record 50-year low.”,true,true,['true'],1,True
"Boston Marathon bombing suspect Tamerlan Tsarnaev is buried ""not far"" from President Kennedy’s grave.",pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""More lives have been lost because of the war with the drug cartels in Juarez alone, just a few blocks from the United States of America, than have been lost in the war in Afghanistan.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"Says according to the FBI, more people are killed each year with hammers and clubs than rifles.",true,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,False
"Says of MS-13 gang members, ""We are getting them out of our country by the thousands.""",mostly-false,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""Florida leads the nation in elected officials charged with crimes.""",half-true,half-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"Says House Republicans ""tried to change the definition of rape.""",mostly-false,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"Democrats ""want virtual immunity for illegal aliens who have created horrible crimes and murder.""",false,false,"['mostly-false', 'false']",2,True
