statement,avg_set_size,std_set_size,num_trials,coverage_rate,true_verdict
"""$500 billion of the extension of the Bush tax cuts for the wealthy goes to 120,000 families.""",1.0,0.0,45,1.0,mostly-true
"""(Assembly Democrats) wanted to raise the gas tax by $2.4 billion. We said no to that....They’re down on the ground. They’re sweating. They’re twitching. It’s ugly, ‘cause I keep saying no.""",2.0,0.0,43,1.0,mostly-false
"""(Romney's) record was that he raised taxes by $730-million.""",1.0,0.0,50,1.0,half-true
"""(Ronald Reagan) raised taxes a billion dollars in his first year as governor of California.""",1.0,0.0,52,1.0,true
"""(Sen. Robert) Gordon cost us money, exempting the Newark sports arena from paying property taxes and sticking us with the bill.""",3.0,0.0,51,1.0,mostly-false
"""(Strickland) raised taxes last year to the tune of $840 million.""",1.4736842105263157,0.5037453706946007,57,1.0,mostly-true
"""(The Tax Policy Center) found that Romney would raise taxes on the average middle class family by $2,000 to pay for $5 trillion in tax cuts for millionaires and billionaires.""",2.056603773584906,0.2332953179343761,53,1.0,half-true
"""...some of those (tax increases) were either court-ordered, or they were voted on by the people and approved by the people for (such) things as roads.""",1.0,0.0,57,1.0,half-true
"""101 utilities cut rates, credit GOP tax cuts.""",4.0,0.0,46,1.0,mostly-true
"""2014 Federal Tax Refunds To Be Delayed Until October 2015.""",1.0,0.0,43,0.0,pants-fire
"""47 - New provisions ObamaCare charges the IRS with implementing, according to the Government Accountability Office.""",1.0,0.0,44,1.0,true
"""70 percent of the income tax that the state collects happens to come from Westchester, Nassau, Suffolk and New York City""",2.0,0.0,59,1.0,true
"""75 percent of the Obamacare tax falls on the middle class.""",2.92,0.2740475156178697,50,1.0,false
"""80 percent of the (individual mandate) tax falls on those who make $50,000 a year or less.""",3.1052631578947367,0.3096201893516237,57,0.10526315789473684,mostly-true
"""83% of Trump tax breaks go to the wealthiest 1%.""",2.0,0.0,50,1.0,half-true
"""98 percent of American families"" make ""under $250,000 a year.""",1.0,0.0,54,1.0,true
"""98 percent of small businesses make less than $250,000"" and would not see a tax increase under Barack Obama's plan.",1.0,0.0,50,1.0,true
"""A cashier earning $20,000 per year pays the same (Virginia) income tax rate as a hedge fund manager earning $20 million per year.""",1.0,0.0,48,1.0,false
"""A construction worker who’s making $50 or $60 grand a year shouldn’t be paying higher tax rates than the guy who’s making $50 million a year. And that’s how it’s working right now.""",3.0869565217391304,0.28488492464476783,46,1.0,half-true
"""A far different picture from the prior eight years, which saw 115 increases in taxes and fees.""",2.0,0.0,41,1.0,true
"""A grant for $5,000 [from the Governor’s Workforce Board] went to teach an employee at a company that makes ornamental business card holders how to use Facebook and Twitter.""",2.8823529411764706,0.32539568672798425,51,0.0,mostly-false
"""A tax on soda and juice drinks would disproportionately increase taxes on low-income families in Philadelphia.""",3.0,0.0,45,1.0,true
"""A trip to Mar-a-Lago costs taxpayers approximately $3.6 million, according to a Government Accountability Office report.""",4.0,0.0,44,1.0,half-true
"""About 80 percent of (the manufacturing and agriculture) tax credit goes to claimants who are making $1 million or more.""",1.0,0.0,58,1.0,true
"""About two-thirds of all consumption is services. . . It was just the opposite"" when the sales tax was enacted in the '30s.",1.0,0.0,53,1.0,mostly-true
"""According to the Tax Foundation, the top 10 percent of earners already pay almost 80 percent of all taxes.""",2.0,0.0,47,1.0,mostly-false
"""According to the nonpartisan Congressional Budget Office, the IRS would need to hire over 16,000 people ... to audit the American people and impose the new taxes and mandates"" of the health care bill.",2.0,0.0,48,1.0,mostly-false
"""After how hard you work and how much you pay in taxes, New York City ends up getting the money. I'm Chris Jacobs. I think it's time we have someone in Albany that's making sure our region gets our fair share""",2.0,0.0,46,1.0,false
"""After the 2001 and 2003 Bush tax rate cuts ... there was more money coming into the treasury.""",3.0638297872340425,0.24709224814516534,47,1.0,mostly-false
"""Alabama is operating government on the lowest amount of tax revenue of any state in the nation.""",1.0,0.0,48,0.0,mostly-true
"""Almost half of every dollar that we spend on gas, it goes to New York State.""",2.019230769230769,0.13867504905630734,52,1.0,false
"""America has more people employed as tax preparers (1.2 million) than as police and firefighters.""",1.0,0.0,44,1.0,false
"""America is one of the highest-taxed nations in the world.""",1.0,0.0,56,1.0,mostly-false
"""America's wealthiest 25 percent pay 86 percent of total income taxes. Wealthiest 5 percent pay 60 percent of total income taxes.""",1.0,0.0,46,1.0,true
"""Americans now spend 100 days out of the year working for government before we even start working for ourselves.""",1.0,0.0,55,1.0,mostly-true
"""Americans received the biggest tax cut in history last year.""",2.0,0.0,52,1.0,false
"""Americans will pay more in taxes in 2011 than they will spend on groceries, clothing and shelter combined.""",1.0,0.0,54,1.0,half-true
"""Americans will spend more on taxes in 2014 than they will on food, clothing and housing combined.""",2.0,0.0,47,0.0,half-true
"""Americans will spend more on taxes in 2015 than on food, clothing and housing combined.""",1.0,0.0,52,1.0,half-true
"""America’s tax code hasn’t been updated in 30 years.""",1.0,0.0,44,1.0,mostly-false
"""An amendment, pushed by Lyndon Johnson many years ago, threatens religious institutions with a loss of their tax-exempt status if they openly advocate their political views.""",3.0,0.0,42,0.0,true
"""And delivered more tax relief than the other Republicans combined.""",1.0,0.0,46,1.0,mostly-true
"""Anybody who is familiar with the historical data from the IRS knows that raising income tax rates will likely actually reduce federal revenues.""",1.0,0.0,50,1.0,false
"""Apple has just announced it plans to invest a total of $350 billion in America, and hire another 20,000 workers.""",2.8727272727272726,0.33634998607300864,55,0.8727272727272727,half-true
"""As Governor, Wolf has already proposed more than $8B in tax increases.""",4.0,0.0,54,1.0,half-true
"""As a U.S. senator with salary and perks, ‪#‎Bernie‬ is in the top 1 percent, but still paid only 13 percent in taxes last year.""",2.0,0.0,48,1.0,mostly-false
"""As chairman of the City Colleges, I cut millions in waste and we cut property taxes.""",3.0,0.0,43,1.0,half-true
"""As governor of Arkansas, I cut taxes and fees almost 100 times, saving the taxpayers almost $380-million. I left a surplus of nearly $850-million.""",1.0,0.0,50,1.0,half-true
"""As governor, Kasich delivered the largest tax cut in the nation.""",2.0,0.0,50,1.0,mostly-false
"""As governor, Mike Huckabee supported higher income taxes, sales taxes, gas taxes, grocery taxes, tobacco taxes, beer taxes, Internet taxes, nursing home bed taxes.""",1.0,0.0,47,1.0,half-true
"""As mayor, [Allan Fung] raised taxes three times.""",2.0,0.0,57,1.0,mostly-true
"""As mayor, every year I was in office I did reduce taxes.""",1.0,0.0,54,1.0,half-true
"""As soon as Chris Christie was governor, he gave tax cuts to millionaires.""",1.0,0.0,56,1.0,half-true
"""A middle-class family donates $1 to charity, they get 15 cents off their income tax. Bill Gates donates $1 to charity, he takes 35 cents off his income tax.""",1.0,0.0,41,1.0,true
"""Barack Obama and Hillary Clinton have left us with $19 trillion in debt.""",1.0,0.0,52,1.0,mostly-false
"""Barbara Buono by the numbers: As a Trenton politician, she voted to raise taxes 154 times. Under her, property taxes up 70 percent. Backed a 16 percent sales tax increase. Utilities, nursing homes, cell phones, parking lots, lottery wins, gyms – She taxed them all. Architect of Corzine’s budget, she drove New Jersey $2 billion into debt. Barbara Buono by the numbers: taking New Jersey backwards.""",4.0,0.0,58,1.0,mostly-true
"""Because of #TaxReform, 4 million American workers have received raises and bonuses, and 90% of Americans are seeing bigger paychecks this month.""",3.0,0.0,47,1.0,mostly-true
"""Ben Franklin once quipped that only two things in life were certain: death and taxes. I think even he didn't envision that the tax man would visit on the day of your death.""",3.0454545454545454,0.7138023130194253,44,1.0,false
"""Between the first and second quarters of 2018 — after the tax cuts were enacted — real wages fell by 1.8 percent.""",2.6779661016949152,0.5065324296423368,59,1.0,mostly-false
"""Biden is adding more IRS agents to investigate your taxes than we have detectives investigating every crime in the country.”",2.0,0.0,42,1.0,false
"""Biden's plan is a 14% tax hike on middle class families.""",1.0,0.0,46,1.0,false
"""Big soda has a lot of money. They make a lot of profit off their product and they market in neighborhoods that suffer from these very things that we’re trying to cure.""",2.0,0.0,44,1.0,true
"""Bill Howell has been the consistent force behind every major tax increase in Virginia in the last decade.""",4.155555555555556,0.36652889973838954,45,1.0,mostly-true
"""Bill McCollum said tax cuts don't work.""",4.0,0.0,53,1.0,mostly-false
"""Bill McCollum voted for higher taxes and fees 42 times while he was in Congress.""",3.122448979591837,0.3312006605534181,49,1.0,mostly-false
"""Bill Nelson actually voted in favor of higher taxes 272 times.""",3.0,0.0,37,1.0,false
"""Bill Nelson voted for higher taxes 150 times.""",2.25,0.43723731609760313,52,1.0,false
"""Bob Menendez actually voted in favor of higher taxes more than 70 times!""",3.0,0.0,47,1.0,mostly-false
"""Both the state and federal governments make more per gallon in gas taxes than the oil companies make themselves for doing all the work.""",1.0,0.0,44,1.0,half-true
"""Buono voted 154 times to raise our taxes -- like the sales tax, the income tax, health care taxes, even small business taxes.""",2.0,0.0,47,1.0,true
"""By the end of this budget I'm in right now, taxes will have been cut $4.7 billion in my state.""",1.0,0.0,47,1.0,true
"""California's Attorney General, Xavier Becerra is putting together plans to raise property tax revenue by eliminating the only thing keeping some people's property tax from sky rocketing, Prop 13.""",1.8653846153846154,0.3446422500840349,52,1.0,false
"""Check out the record of #jobs created by #TaxCuts 7.8 million new jobs after Bush’s 2003 tax cuts 12 million new jobs after Kennedy's 1964 tax cuts 14.8 MILLION new jobs after Ronald Reagan’s tax cuts in 1981.""",3.979591836734694,0.14285714285714285,49,1.0,mostly-false
"""Chrysler is leaving Mexico and moving back to Michigan.""",2.0,0.0,44,0.0,half-true
"""Clayton County offers the lowest operating millage rate in Metro Atlanta.""",1.0,0.0,45,1.0,false
"""Close to half of the voters in America, the only tax they pay is the payroll tax.""",2.0,0.0,49,1.0,half-true
"""Colorado raked in $60 million in marijuana taxes and licensing fees in the past year.""",1.0,0.0,56,1.0,true
"""Come February (2018), Americans will see their paychecks grow at the tune of saving $1,000 or more a year.""",1.0,0.0,47,1.0,half-true
"""Congressman (Ron) DeSantis sponsored legislation to increase sales taxes by 23 percent, hurting families, destroying jobs, devastating tourism""",2.0,0.0,53,1.0,mostly-false
"""Congressman Bill Young voted to cut taxes for millionaires and end your Medicare.""",4.04,0.19794866372215744,50,1.0,mostly-false
"""Contrary to media reports, Georgia’s gas tax change led to no price increase at the pump.""",4.588235294117647,0.4970501217477086,51,1.0,half-true
"""Corporate entities are paying a lot less taxes this year than they have in the past. Part of that is from a loophole in a bill that was passed in 2015.""",2.0,0.0,59,1.0,mostly-true
"""Corporate taxes will soon be the highest in the industrialized world.""",2.0,0.0,44,1.0,mostly-true
"""Crime has been getting worse since Jerry Brown was elected governor.""",1.0,0.0,54,1.0,mostly-false
"""Currently we have some 40-45% of Americans who are not paying any taxes.""",2.0588235294117645,0.23763541031440177,51,1.0,mostly-false
"""Democrats are kind of falling over each other seeing who can raise taxes faster. It looks like they're going to raise taxes anywhere between 20 to 30 percent.""",3.0384615384615383,0.19418390934515428,52,1.0,half-true
"""Democrats are poised now to cause this largest tax increase in U.S. history.""",1.0,0.0,52,1.0,pants-fire
"""Do you know that New York State pays out way more than they ever get back?""",2.48,0.5046720495044484,50,1.0,true
"""Do you know those former Soviet Bloc countries have all moved to flat taxes?""",1.0,0.0,44,1.0,half-true
"""Donna Campbell has called for ending all federal funding for education""",1.8653846153846154,0.3446422500840349,52,1.0,mostly-true
"""Due to ... tax cuts and lower (property) values, 2009 property taxes were almost $3 billion below 2007 property taxes.""",2.0,0.0,48,1.0,true
"""During my tenure as governor, Wisconsin’s overall tax burden went DOWN.""",1.0,0.0,36,1.0,mostly-true
"""During the Bush administration, liberal groups were targeted"" by the IRS, similar to recent targeting.",3.0,0.0,43,1.0,mostly-false
"""During the Strickland-Cordray era, taxes were raised by $800 million and Ohio lost 400,000 jobs.""",4.0,0.0,43,1.0,mostly-false
"""Each [Corbett administration] budget finished in the black.""",4.0,0.0,52,1.0,half-true
"""Eighty percent of the American people support an approach (to federal budget problems) that includes revenues and includes cuts.""",1.0,0.0,53,1.0,mostly-true
"""Eleven individuals who make over $30 million each got $22 million credit"" from Wisconsin's manufacturing and agriculture tax credit.",1.0,0.0,60,1.0,mostly-true
"""Estimates say individuals who escaped these high tax states have taken with them around $2 trillion in adjusted gross income.""",4.0,0.0,44,1.0,mostly-false
"""Even Richard Nixon released his tax returns to the public when he was running for president ...""",1.0,0.0,52,0.0,mostly-false
"""Even the CBO numbers show now that the entire $1.5 trillion tax cut is virtually paid for by higher revenues and better nominal GDP.""",2.0,0.0,48,1.0,false
"""Even with a permanent income tax increase... the budget is more than $1 billion out of balance…""",4.018518518518518,0.1360827634879543,54,1.0,mostly-true
"""Every Republican nominee since Richard Nixon, who at one time was under an audit, has released their tax returns.""",4.804347826086956,0.40108548367821956,46,1.0,mostly-true
"""Every city that has a commuter tax — look at Detroit, Philadelphia — they are actually stagnating in terms of their economy. It’s been a job-killer.""",3.0,0.0,43,1.0,mostly-false
"""Every day in the United States, we are losing 15 factories.""",1.0,0.0,55,1.0,true
"""Every dropout costs us $72,000 for the life of that person.""",4.0,0.0,51,1.0,half-true
"""Every state that has put in a graduated income tax, the middle class always pays more.""",2.0,0.0,49,1.0,false
"""Every taxpayer, their taxes are going down, except rich people in Manhattan and San Francisco. Some of them, their taxes may go up.""",4.0,0.0,48,1.0,half-true
"""Every time we've cut taxes, revenues have gone up, the economy has grown.""",1.0,0.0,56,1.0,false
"""Every time we've cut the capital gains tax, the economy has grown. Whenever we raise the capital gains tax, it's been damaged.""",1.0,0.0,44,1.0,false
"""Every worker pays 15.3 percent payroll tax.""",4.555555555555555,0.5008952558646073,63,1.0,mostly-false
"""Every year we spend roughly $500 billion on tax compliance. That is roughly the budget of our entire military, entirely wasted on tax compliance.""",3.8048780487804876,0.4012176588288426,41,0.8048780487804879,false
"""Fifty percent of Speaker Gingrich’s tax plan goes to the top 1 percent.""",4.0,0.0,48,1.0,mostly-true
"""Fifty-one percent -- that is, a majority of American households -- paid no income tax in 2009. Zero. Zip. Nada.""",1.0,0.0,55,1.0,true
"""Fifty-two counties have average taxes of above the SALT $10,000 cap.""",4.0,0.0,51,1.0,mostly-false
"""Five percent of Americans pay over half the income taxes in this country. Forty percent of Americans pay no income taxes at all.""",1.0,0.0,50,1.0,true
"""Florida is now the only state in the nation to tax commercial leases.""",4.674418604651163,0.4741373235154429,43,0.6744186046511628,true
"""Florida sends $135 billion and D.C. returns $150 billion.""",3.8392857142857144,0.37059096364814725,56,0.8392857142857143,mostly-true
"""For Social Security, which is projected to remain solvent through 2033, Whitehouse has cosponsored [a bill that] . . . would extend the life of the program by an additional 75 years.""",3.0,0.0,54,1.0,mostly-true
"""For decades before I was elected, governors tried and failed to get Minnesota out of the top 10 highest-taxed states in the country. I actually did it.""",1.0,0.0,47,1.0,half-true
"""For decades, Madigan kept property taxes high and made a fortune helping cronies like Pritzker dodge them.""",2.0,0.0,51,1.0,mostly-false
"""For decades, the state’s gas tax has been among the highest in the nation.""",1.0,0.0,53,1.0,true
"""For the last 10 years, our economy has grown at less than 2 percent on average every single year for 10 years. We have not had a decade like that in a century in America.""",3.0,0.0,50,1.0,half-true
"""For years, they have not been able to get tax cuts -- many, many years, since Reagan.""",1.0,0.0,49,1.0,pants-fire
"""Forty-seven percent of Americans pay no income tax.""",1.9245283018867925,0.26667876121581074,53,1.0,true
"""Forty-six cents of every dollar"" Ohio could get for Medicaid expansion ""is going to come from China or some other country that doesn’t like us very much.""",1.0,0.0,48,1.0,false
"""Four balanced budgets in a row, with no new taxes for anyone. The best job growth in 12 years. Nearly 130,000 new private-sector jobs. Merit pay to reward New Jersey’s best teachers, and the most education funding ever.""",1.1136363636363635,0.32103822064055043,44,1.0,mostly-true
"""Foxconn tax break could exceed $1 million per job.""",1.0,0.0,50,1.0,half-true
"""From 1980 to 1990, the top 1 percent saw their income go up by roughly 80 percent"" while ""the median wage in the country over (the same) 10 years went up 3 percent.""",1.0,0.0,49,1.0,mostly-true
"""From 2013-2015, the richest 14 Americans increased their net wealth by more than $157 billion, yet the Republican budget would not require these Americans to contribute one penny to deficit reduction.""",3.641025641025641,0.48597051498058946,39,1.0,half-true
"""From a standpoint of the county government, neither school system has received an increase in funding over the past six years.""",4.0,0.0,50,0.0,true
"""From the ‘Do As I Say Not As I Do’ department: federal employees owe $3.3 billion in back taxes.""",1.0,0.0,55,0.0,mostly-true
"""Fully half the people — our research is showing half the people — in (California) want to leave.""",4.0,0.0,55,1.0,half-true
"""GDP is booming. Let’s spread the prosperity to the middle class with big #TaxCuts. Our #TaxReform package doubles standard deduction, brings $$$ back home, and reduces rates for ALL taxpayers. We will #MAGA.""",2.0,0.0,49,1.0,mostly-false
"""George LeMieux voted against the majority of Republicans and joined with Democrats to create a 'Task Force For Responsible Fiscal Action' that looks strikingly similar to the 'Super Committee' now being set up in Washington to justify massive tax hikes.""",3.0,0.0,59,1.0,half-true
"""Glenn Hegar promised to eliminate the property tax.""",3.9464285714285716,0.227207782928703,56,1.0,false
"""Gov. (Scott) Walker has yet to create a job, he gives away millions to his friends, and he raises taxes on working people.""",3.0,0.0,53,1.0,mostly-false
"""Gov. Kasich and the Republican-dominated legislature have foregone the popular option of closing tax loopholes that amount to $7 billion annually in this state.""",1.0,0.0,52,1.0,mostly-true
"""Gov. Kay Ivey gave nearly $1 million of taxpayers’ money to a liberal activist organization that promotes alternative lifestyles and transgenderism.""",2.0,0.0,54,1.0,mostly-false
"""Gov. Romney's plan would cut taxes for the folks at the very top.""",3.0,0.0,51,1.0,mostly-true
"""Gov. Scott Walker and the Republican-controlled state legislature have added over $140 million in new special interest spending""",1.0444444444444445,0.20840907713999274,45,1.0,pants-fire
"""Governor Christie, his idea of jumpstarting the economy is to propose a trickle-down income tax cut last year and in his budget address this year, he stated his support for it again.""",3.1914893617021276,0.39772712255364373,47,1.0,mostly-false
