statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"""I voted to defund sanctuary cities.""",half-true,false,"['false', 'true', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire']",6,True
"""Thousands of Americans have been killed by illegal immigrants.""",half-true,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true']",5,True
"Florida election officials’ requests to some residents to submit proof of citizenship is a ""backdoor poll tax.""",half-true,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true', 'true']",6,True
"""Last month, we saw a 64 percent reduction in illegal immigration on our southern border.""",half-true,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true']",5,True
"In 2005 or 2006 U.S. Sen. Chuck Schumer ""voted for the wall.""",half-true,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'true', 'mostly-true']",6,True
"“There have now been 16 straight months of OVER 150,000 illegal border crossings.”",mostly-true,false,"['false', 'true', 'mostly-false', 'half-true', 'pants-fire']",5,False
"“Approximately 60,000 Canadians currently live undocumented in the USA.”",mostly-true,half-true,"['half-true', 'false', 'mostly-true', 'mostly-false', 'true', 'pants-fire']",6,True
"""Finally, I will continue to fight against Republicans like Martina White, who like Trump, wants to deport all of our hard working immigrant brothers and sisters and white wash America.""",pants-fire,false,"['false', 'mostly-false', 'pants-fire', 'half-true']",4,True
"The Kerr County, Texas, sheriff “said he would apply for a green card for the Mexican rescue team that saved his family.”",false,false,"['false', 'pants-fire', 'mostly-false']",3,True
"""The overall fact about illegal immigration is that it's not actually getting worse.""",true,true,"['true', 'mostly-true', 'half-true', 'false', 'mostly-false', 'pants-fire']",6,True
"Ron Klein ""repeatedly voted in favor of amnesty for illegal immigrants.""",pants-fire,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true']",5,True
"""It has been the law since the beginning of the country that the children of American citizens born ... abroad are American citizens by birth.""",mostly-true,true,"['true', 'false', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire']",6,True
"""The director of the FBI said that we cannot figure out who (Syrian refugees) are, what their intentions are, because we have no information on them, because we don’t have any contact with the Syrian government or any people on the ground to be able to determine that.""",half-true,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true', 'true']",6,True
"""President Barack Obama has deported more people in his first year in office than George W. Bush in his last year in office.""",mostly-true,mostly-true,"['mostly-true', 'false', 'half-true', 'mostly-false', 'true', 'pants-fire']",6,True
"It is estimated that Arizona ""has lost more than $100 million in hospitality industry revenues since passage of the Arizona immigration laws.""",half-true,half-true,"['half-true', 'mostly-true', 'false', 'mostly-false', 'true']",5,True
"Says an illegal immigrant fraudulently claimed children who actually lived in Mexico on income tax forms to collect more than $29,000.",mostly-true,false,"['false', 'mostly-false', 'mostly-true', 'half-true', 'pants-fire', 'true']",6,True
President Donald Trump signed an executive order for “a total border shutdown with no set reopening date” on July 1.,false,false,"['false', 'pants-fire', 'mostly-false', 'true']",4,True
"“For the first time in American history, if you're seeking asylum ... you can't do it from the United States. … You’ve got to seek asylum from abroad.”",mostly-false,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'true']",5,True
Only immigrants in the country illegally are eligible for an interest-free California housing loan program.,false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"""In the first full month of my administration following the issuance of my executive orders, illegal immigration on our southern border fell by an unprecedented 40 percent.""",mostly-true,half-true,"['half-true', 'false', 'mostly-true', 'mostly-false', 'true', 'pants-fire']",6,True
"""Bill Clinton passed a law in 1996 that separated children from adults illegally entering America.""",false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"""Our law enforcement agencies have found bodies in the desert, either buried or just lying out there, that have been beheaded.""",pants-fire,false,"['false', 'pants-fire', 'mostly-false']",3,True
“No state in the country verifies United States citizenship as a condition for voting in federal elections.”,mostly-false,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true']",5,True
“Every single Senate Democrat voted against hiring more border agents. They voted against deporting felons. And they voted against ending catch and release.”,mostly-false,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'mostly-true', 'true']",6,True
"President Barack Obama ""wants to take in 250,000 (people) from Syria.""",pants-fire,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true']",5,True
"""We’ve had about 3,000 murders"" in connection with lax border security.",pants-fire,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true']",5,True
"""Our men and women of the Guard have been forced to contact food banks to feed themselves.""",false,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true', 'true']",6,True
"""Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief.""",false,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true']",5,True
"""We spend $18 billion a year on making sure that the federal government has immigrant enforcement agents. That's more than DEA and the ATF and the FBI and all the other enforcement (agencies) combined.""",half-true,true,"['true', 'false', 'half-true', 'mostly-false']",4,True
"""Congress quietly repealed the McCarran Warner Act of 1952 forbidding Muslims from holding office.""",false,false,"['false', 'pants-fire', 'mostly-false']",3,True
Democrats don’t deport undocumented migrants “because every illegal is a highly likely vote at some point.”,false,false,"['false', 'pants-fire', 'mostly-false', 'true']",4,True
"""The Mexican government forces many bad people into our country.""",pants-fire,false,"['false', 'pants-fire', 'mostly-false']",3,True
"Speaking of immigration cases, says, ""We have thousands of judges.""",false,false,"['false', 'mostly-false', 'pants-fire']",3,True
Second lady Usha Vance “will have her citizenship revoked if (President Donald) Trump signs his executive order banning birthright citizenship.”,false,false,"['false', 'mostly-false', 'pants-fire', 'half-true']",4,True
The border surge is “challenging” because the immigration system that had been in place for decades “was dismantled in its entirety by the Trump administration.”,half-true,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire', 'true']",6,True
