statement,avg_set_size,std_set_size,num_trials,coverage_rate,true_verdict
"""$53 million a week is coming across the border in drugs.""",5.3,0.4629100498862758,50,1.0,mostly-true
"""(Jeff) Atwater's busy helping his friends and wasting our tax dollars -- $48 million for a government building so lavish it's dubbed the 'Taj Mahal,' $100,000 for a golf musuem, and $110 million to build a private prison to help a big contributor.""",4.808510638297872,0.3977271225536436,47,0.8085106382978723,false
"""... study after study has shown that the death penalty deters murders.""",4.208333333333333,0.41041407908605754,48,1.0,half-true
"""100 percent of the crime is committed, in estimate, by about 15 percent of the population.""",4.769230769230769,0.425435629811517,52,0.0,pants-fire
"""134,000 (criminal) aliens have been released by the (Obama) administration in just the past two years.""",5.411764705882353,0.4970501217477083,51,0.4117647058823529,half-true
"""194,000 criminal aliens booked into Texas jails from 2011-2019 were charged with more than 299,000 criminal offenses.""",3.519230769230769,0.5045045954972343,52,1.0,mostly-true
"""25% of human trafficking victims are located in Texas.""",4.6923076923076925,0.46604138242837023,52,0.0,pants-fire
"""3 American women are murdered every day by their husband or boyfriend.""",3.0,0.3611575592573076,47,1.0,mostly-true
"""48-Hour waiting periods limit crimes of passion and keep our communities safe.”",4.3478260869565215,0.4815434123430768,46,1.0,half-true
"""50 percent of murders in Texas have been linked to illegal aliens.""",4.125,0.3342186823915959,48,1.0,false
"""50% of the DUIs on Interstate 35 are from illegals. Ninety percent of the 50% have absolutely no identification.""",4.5813953488372094,0.4991687442297914,43,1.0,pants-fire
"""58,000 non-citizens voted in Texas, with 95,000 non-citizens registered to vote.""",3.84,0.3703280399090204,50,1.0,false
"""82-year-old who killed a Muslim in self-defense gets the death penalty.""",3.9464285714285716,0.22720778292870292,56,1.0,pants-fire
"""90% of Americans want national background checks that close loopholes.""",4.808510638297872,0.3977271225536437,47,1.0,true
"""97% of murders occur with handguns.""",4.75,0.4372373160976031,52,1.0,mostly-false
"""A Trump fan was just charged with trying to murder Maxine Waters on same day Trump threatened her.""",5.277777777777778,0.45210896443586523,54,1.0,false
"""A [bank] surveillance camera capturing a criminal’s face and other identifiable traits would certainly discourage robbery attempts and serve as a deterrent to robbers.""",4.148148148148148,0.358582503198747,54,0.14814814814814814,false
