statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"Of minimum wage workers in Rhode Island ""only 14 percent serve as sole income earner for their family.""",true,mostly-true,"['mostly-true', 'half-true', 'mostly-false']",3,False
"""In 2006, Donald Trump was hoping for a real estate crash.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""The Obama-Clinton war on coal has cost Michigan over 50,000 jobs.""",false,false,"['mostly-false', 'false']",2,True
"Says more than 1 million Texans are jobless, the state has its highest unemployment rate in more than 20 years and joblessness doubled on Rick Perry’s watch.",half-true,half-true,['half-true'],1,True
"""Ted Strickland destroyed Ohio jobs when he busted the budget.""",false,false,['false'],1,True
Sixteen million jobs were created under Ronald Reagan's presidency.,true,true,['true'],1,True
"""Owen in MA vs. Owen in RI … Advantage:Rhode Island.""",true,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,False
"A statewide poll showing 76 percent support and other surveys are a ""strong indicator"" of  broad public support in Milwaukee County for a $10.10 minimum wage",half-true,half-true,"['mostly-true', 'half-true']",2,True
"If the U.S. didn't borrow $1.2 trillion every year ""to fund government operations,"" that money would be available ""for entrepreneurs and business people to put to work creating jobs and building and expanding their businesses.""",false,false,['false'],1,True
“The average American worker has already seen a $500 wage increase this year.”,half-true,mostly-false,"['mostly-false', 'false']",2,False
"“West Virginia University just came out with a study that showed that there will be almost 20,000 jobs created in clean energy in West Virginia if (President Joe Biden’s) agenda is passed.”",half-true,mostly-true,"['mostly-true', 'half-true']",2,True
"Says Gov. Scott Walker said ""no to equal pay for equal work for women.""",false,false,['false'],1,True
"""African American unemployment is the lowest ever recorded in our country. The Hispanic unemployment rate dropped a full point in the last year and is close to the lowest in recorded history. Dems did nothing for you but get your vote!""",mostly-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false']",3,True
"""Only 12% of legal immigrants are selected based on skill or based on merit. In countries like Canada, Australia and New Zealand, and others, that number is closer to 60, and even 70 and 75% in some cases.""",mostly-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false']",3,True
"""Romneycare has … killed 18,000 Massachusetts jobs.""",mostly-false,mostly-false,"['half-true', 'mostly-false', 'false']",3,True
"Says ""over 50 percent of U.S. job growth in June came"" from Wisconsin.",false,false,['false'],1,True
The state budget will include scholarship money for minority students as a concession to Senate Democrats for supporting the GOP-initiated transportation bill.,true,true,['true'],1,True
"Under Barack Obama, ""the fewest number of adults are working since Jimmy Carter’s presidency.""",false,false,"['mostly-false', 'false']",2,True
"""Ohio, Michigan, and Pennsylvania actually in the latest jobs data have lost jobs, not gained them.""",false,false,"['mostly-false', 'false']",2,True
"""More than 125 jobs have been created"" at the Milwaukee Job Corps Center.",mostly-true,mostly-true,['mostly-true'],1,True
"The unemployment rate may be as high as ""42 percent.""",pants-fire,pants-fire,"['false', 'pants-fire']",2,True
"The GOP budget plan ""would cut nearly a million jobs.""",half-true,half-true,['half-true'],1,True
"""The only reason the unemployment rate is going down is because … twice as many people dropped out of the employment pool as the number of jobs were created.""",mostly-false,mostly-false,"['half-true', 'mostly-false', 'false']",3,True
"Congressional Budget Office ""says 8 (percent) unemployment till 2014!""",true,true,['true'],1,True
"Says during George W. Bush’s administration ""we were losing millions of jobs per month,"" while under Barack Obama we have ""three years of gaining hundreds of thousands of jobs per month.""",false,mostly-false,"['mostly-false', 'false']",2,True
"Says Gov. Scott Walker ""has caused Wisconsin to lose more jobs than any other state in the country.""",half-true,half-true,['half-true'],1,True
"""A woman working full-time is paid 79 to 80 cents for every dollar a man is paid, and it's even less for women of color, and on average $11,000 per year is lost simply because she isn't a man.""",mostly-true,mostly-true,"['true', 'mostly-true']",2,True
"""Hitler didn't want unions. Stalin didn't want unions. Mubarak didn't want independent unions. These autocrats in history don't want independent unions.""",true,true,['true'],1,True
"Says Ron Johnson ""voted five times for tax breaks that help companies ship Wisconsin jobs overseas.""",false,false,['false'],1,True
"Says her actions as Wisconsin commerce secretary brought the state ""84,000 more Wisconsin jobs than we have today.""",half-true,half-true,['half-true'],1,True
"""The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.""",mostly-false,mostly-false,"['half-true', 'mostly-false']",2,True
"""Wisconsin now ranks among the top 10 states for out-migration.""",mostly-false,mostly-false,['mostly-false'],1,True
"""Over the past eight years, black youth unemployment is up.""",mostly-false,false,"['mostly-false', 'false']",2,True
"""Our businesses have created nearly twice as many jobs in this recovery as they had at the same point in the last recovery, when there was no Obamacare.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
"The largest low-wage employer ""is not McDonalds or Walmart but the U.S. government.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true']",3,False
"Obamacare medical device tax ""has led to the loss of thousands of jobs"" in U.S.",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""We have the lowest percentage of Americans actually holding a job in 40 years.""",mostly-true,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""The tax on job creating businesses is 35 percent in the United States, second worst in the entire world.""",mostly-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false']",3,True
"The Texas leg of the Keystone pipeline ""has already created 4,800 jobs in just the year it's been up and running.""",false,false,"['half-true', 'mostly-false', 'false']",3,True
"The Dolphins stadium renovation will ""create more than 4,000 new local jobs.""",half-true,false,"['half-true', 'mostly-false', 'false']",3,True
"Says new figures he released showing Wisconsin job gains for 2011 are ""the final job numbers.""",false,false,['false'],1,True
"Says Democrats raised taxes over 115 times in the past 10 years, ""making New Jersey increasingly unaffordable and chasing jobs to neighboring states.""",half-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false']",3,True
"""The latest unemployment numbers have shown that nearly 315,000 Americans have simply given up hope when it comes to finding a job.""",false,false,['false'],1,True
“Democrats have accomplished a lot in just 2 months ... 1 Million energy jobs destroyed.”,pants-fire,false,"['mostly-false', 'false']",2,False
Property tax exemptions can be granted to small businesses that move into Milwaukee County.,false,false,['false'],1,True
"""The last quarter, it was just announced, our gross domestic product … was below zero. Who ever heard of this? It's never below zero.""",pants-fire,false,"['mostly-false', 'false']",2,False
"""Senate Bill 5 makes it harder for nurses to give the patients the quality care they need.""",mostly-false,mostly-false,"['mostly-false', 'false']",2,True
