statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"The Senate GOP plan does not raise taxes for Americans earning less than $70,000.",half-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""Ben Franklin once quipped that only two things in life were certain: death and taxes. I think even he didn't envision that the tax man would visit on the day of your death.""",false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
“Paying taxes is optional!!”,pants-fire,false,['false'],1,False
"The Republicans and President Donald Trump ""passed a tax bill that gave 80 percent of its benefits to the top 1 percent.""",half-true,false,"['half-true', 'mostly-false', 'false']",3,True
"A proposed revenue smart cap ""gives Floridians a voice, requiring a 60 percent vote by citizens in order to impose a new tax, fee, license, fine, charge or assessment.""",false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True
"""The missiles that were launched at American forces in Iraq from Iran, were funded by Barack Obama, with American tax dollars.""",false,false,['false'],1,True
"Repealing the sales tax on boats in Rhode Island has spawned 2,000 companies, 7,000 jobs and close to $2 billion a year in sales activity.",half-true,half-true,"['mostly-true', 'half-true']",2,True
"""We have one of the most expensive General Assemblies, per capita, in the entire country.""",true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
Sen. Ron Johnson has been “rewarding companies that outsource to China.”,false,false,"['half-true', 'mostly-false', 'false']",3,True
"For ""the average middle-class family, your taxes today are lower than when I took office.""",true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""Jon Corzine, elected governor. Teams up with Barbara Buono. $1.2  billion sales tax increase? Passed. Most spending in state history? Passed. After Buono named budget chair, taxes and fees increase 23 times in just two years. State debt? Up $13.4 billion. Unemployment? Doubled.""",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"Says he ""balanced the budget without raising taxes.""",mostly-false,false,"['half-true', 'mostly-false', 'false']",3,True
"Says Beto O'Rourke ""voted in favor of a $10 a barrel tax on every barrel of oil produced in the state of Texas.""",mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"The state constitution ""clearly says there’s not to be a state income tax in Tennessee.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""Richmond was one of the only cities in the state that did not (increase) their real estate tax to those pre-recession rates.""",mostly-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""You don’t see Norway losing population, and its taxes are astronomical.""",mostly-true,false,"['mostly-false', 'false', 'pants-fire']",3,False
"Says state schools superintendent candidate Don Pridemore ""voted for the largest cuts to public education in our state history"" and for ""$2.3 billion in tax breaks for corporations and the wealthy.""",half-true,half-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""In 67 different ways, Governor McCrory has raised taxes on middle income families.""",half-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Pritzker and Madigan want to change the constitution to allow a permanent jobs tax on middle class families.""",false,false,"['half-true', 'mostly-false', 'false']",3,True
