statement,avg_set_size,std_set_size,num_trials,coverage_rate,true_verdict
"""(After the auto bailout) General Motors is back on top as the world’s No. 1 automaker.""",5.0,0.0,45,1.0,half-true
"""(M)ore Georgians have jobs than at any other time since October 2008.""",2.0,0.0,46,1.0,true
"""(Mary) Burke was a senior member of the Doyle administration that left Wisconsin with 130,000 fewer jobs.""",5.0,0.0,43,1.0,mostly-false
"""(President Barack Obama gave) half a billion in taxpayer money to help his friends at Solyndra, a business the White House knew was on the path to bankruptcy.""",6.0,0.0,44,1.0,mostly-false
"""1.53 million jobs are at risk (from potential defense cuts).""",5.0,0.0,47,1.0,mostly-true
"""170,000 of the jobs"" created in Texas under Gov. Rick Perry ""were government jobs.""",6.0,0.0,36,1.0,half-true
"""2.1 million jobs have been created in the last six or seven years"" in California",3.260869565217391,0.49147318718299043,46,1.0,true
"""25,000 businesses have been created since (Scott) Walker took office.""",5.0,0.0,53,1.0,mostly-false
"""42 percent of (Walmart’s) associates are black.""",5.0,0.0,51,1.0,false
"""6,400 Ohioans ... lost manufacturing jobs in the month of September.""",2.3043478260869565,0.4652151338606118,46,1.0,mostly-true
"""60 percent of the jobs lost in the 2008 recession were living-wage jobs. Of the jobs we’ve gotten back, only 40 percent are living-wage.""",3.0,0.0,45,1.0,true
"""70 million Americans have a criminal record — that’s one in three adults.""",3.0,0.0,48,1.0,half-true
"""75 percent of the jobs created in the state of Ohio are created in small business. They are not created by huge corporations and those who are very wealthy.""",4.237288135593221,0.4290720962988925,59,1.0,mostly-true
"""80 percent of the American people haven’t gotten a pay raise since the crash.""",5.0,0.0,50,1.0,mostly-true
"""832,000 people lost their job while (Charlie Crist was) governor.""",5.0,0.0,59,1.0,half-true
"""92 million Americans aren't working.""",6.0,0.0,48,1.0,mostly-false
"""92 percent of the jobs lost during Barack Obama’s first term belonged to women.""",5.883333333333334,0.32373177151309335,60,1.0,false
"""95 percent of job creators say Wisconsin is headed in the right direction.""",4.0,0.0,56,0.0,half-true
"""95 percent of the income gains in the last few years have gone to the top 1 percent.""",3.0,0.0,54,1.0,mostly-true
"""A case before Washington’s Supreme Court seeks to effectively end public labor unions.""",5.0,0.0,49,1.0,false
"""A hundred percent of all the jobs lost during the recession have been reclaimed in Texas … while the nation is at about 36 percent.""",4.963636363636364,0.18891859540615824,55,1.0,mostly-true
"""A quarter of our workers make $18,000 per year.""",4.282608695652174,0.45524320622233827,46,1.0,half-true
"""A report just came out that if we continue with President Obama's policies, we're looking at over 9 percent unemployment next year in the fourth quarter.""",5.0,0.0,38,1.0,false
"""A study by the National Economics Research Association showed that the (Paris climate) deal could cost 2.7 million lost jobs in the U.S. by 2025 should our country adhere to the commitments made by the Obama Administration.""",4.877551020408164,0.331200660553418,49,1.0,false
"""A white family is likely to have about six times as much wealth than a black or Hispanic family coming out of the recession.""",5.0,0.0,41,1.0,true
"""A woman working full-time is paid 79 to 80 cents for every dollar a man is paid, and it's even less for women of color, and on average $11,000 per year is lost simply because she isn't a man.""",2.9423076923076925,0.23543547789870944,52,1.0,mostly-true
"""About 47 percent of able-bodied people in the state of Maine don’t work.""",5.0,0.0,52,1.0,pants-fire
"""About 80 percent of (the manufacturing and agriculture) tax credit goes to claimants who are making $1 million or more.""",5.0,0.0,50,1.0,true
"""According to 2009 estimates, an agreement with Panama could result in almost 1,900 Florida jobs in the first year – and about 15,000 jobs after five years.""",4.977777777777778,0.1490711984999859,45,1.0,mostly-true
"""According to independent analysis, unfair trade deals have resulted in the loss of over 64,000 jobs in Wisconsin ... But Ron Johnson favors those deals.""",5.0,0.0,53,1.0,half-true
"""According to one study, the minimum wage today is worth $2 less than in 1968.""",5.0,0.0,47,1.0,mostly-true
"""African American unemployment is the lowest ever recorded in our country. The Hispanic unemployment rate dropped a full point in the last year and is close to the lowest in recorded history. Dems did nothing for you but get your vote!""",4.0,0.0,50,1.0,mostly-true
"""African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.""",5.0,0.0,52,1.0,half-true
"""After a decade of decline, this country created over half a million manufacturing jobs in the last two and a half years.""",2.375,0.4902903378454601,40,1.0,true
"""After four years of a celebrity president … 85% (of recent college grads are) moving back in with their parents.""",5.482758620689655,0.5040669445356467,58,1.0,false
"""After shedding jobs for more than 10 years, our manufacturers have added about 500,000 jobs over the past three.""",2.0392156862745097,0.19603921176392136,51,1.0,true
"""After the last administration nearly killed the US auto industry, I saved the U.S. auto industry ... We brought you a lot of car plants… (and Japan) “announced five car companies are coming to Michigan.”",4.018518518518518,0.13608276348795426,54,1.0,false
"""America has lost over 50,000 manufacturing factories on other trade deals.""",5.0,0.0,52,1.0,half-true
"""Americans haven’t had a raise in 15 years.""",5.0,0.0,50,1.0,mostly-true
"""Americans work way more than an average of industrialized countries around the world.""",4.0,0.0,51,1.0,mostly-true
"""And over the last six years, Chicago’s economy has grown faster than the economies of New York City, Washington, D.C., or the national average.""",5.0,0.0,41,1.0,mostly-false
"""And, as of today, New Jersey state government has less employees than when Christie Whitman left office in 2001.""",6.0,0.0,49,1.0,true
"""Apple has just announced it plans to invest a total of $350 billion in America, and hire another 20,000 workers.""",2.0,0.0,48,0.0,half-true
"""As Bernie Sanders said, Hillary Clinton ‘voted for virtually every trade agreement that has cost the workers of this country millions, millions of jobs.’ """,5.0,0.0,39,1.0,half-true
"""As Jim Doyle’s Commerce secretary, Mary Burke spent $12.5 million dollars to buy a vacant lot for a company that said it had no plans to create jobs in Wisconsin"" and had laid off 800 workers.",5.0,0.0,51,1.0,mostly-true
"""As Ohio treasurer, Josh Mandel loaned your money to Chinese business interests, and Mandel opposed a bill holding Communist China accountable when they cheated and stole American jobs.""",5.0,0.0,46,1.0,mostly-false
"""As Virginia lost over 65,000 jobs, (Tim) Kaine put partisan ambitions first"" by serving as DNC chairman during the last year of his governorship.",5.0,0.0,52,1.0,half-true
"""As a result of Obamacare, we are becoming something of a part-time employment country.""",5.0,0.0,50,1.0,false
"""As we've seen that federal support for states diminish, you've seen the biggest job losses in the public sector -- teachers, police officers, firefighters losing their jobs.""",3.0,0.0,59,1.0,mostly-true
"""At my first ‘Let’s Get to Work Day’ … we sold out;"" more than 240 dozen doughnuts by 8:30 a.m.",4.978260869565218,0.14744195615489702,46,1.0,mostly-false
"""A Gallup report recently said that nearly 50 percent of small business owners aren't hiring because of what they call ‘regulatory uncertainty.’""",5.0,0.0,51,1.0,half-true
"""Back in the Great Recession, when millions of  jobs across America hung in the balance, Donald Trump said rescuing the auto industry didn’t really matter very much. He said, and I quote again, ‘Let it go.’ """,4.625,0.6399800528806397,48,0.0,pants-fire
"""Bank of America could create 878,300 jobs with benefits if they spent their 2010 bonuses on job creation.""",5.372549019607843,0.48829435031445895,51,1.0,pants-fire
