statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"Public education has been permanently cut ""by $1.6 billion through changes in the Standards of Quality funding formula.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"A national study of 2,500 charter schools shows that ""maybe 20 percent do better than the community public schools, 40 percent or so do worse and the rest are not having any significant difference.""",true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"Says Tennessee’s higher education funding model ""is 100 percent outcomes-based"" and ""we are already seeing this model changing the way our postsecondary institutions do business.""",true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Nearly a quarter of all adults in this state have some college credit without a degree.""",mostly-true,mostly-true,"['true', 'mostly-true']",2,True
"""In Chicago, school is never canceled"" because of winter weather.",mostly-true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""There are almost 60,000 North Carolina children on waiting lists to access a school that works best for them.""",mostly-true,mostly-true,"['true', 'mostly-true']",2,True
"Says ""Did you know that if you accepted the District's proposal today you would have NO pay increase for 4 years? Seven years of frozen wages = Disrespect.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says Texas schools are ranked ""43rd in the nation.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Graduation and third-grade reading scores are up in the state since I took office.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
“Eliminate school choice” is on Susan Crawford’s agenda.,false,false,"['true', 'mostly-true', 'mostly-false', 'false']",4,True
"Says Rick Scott cut education by over a billion dollars, meaning thousands of teachers ""lost their jobs"" and ""class sizes went up.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
“Colorado school forces students to wear hijabs.”,false,false,"['mostly-false', 'false']",2,True
The New York state budget covers 96% of eligible preschoolers,mostly-true,true,"['true', 'mostly-true']",2,True
"""(Newt Gingrich) voted in favor of establishing the Department of Education, and yet he gets in a debate and says we should get rid of the Department of Education and send all the education issues back to the states.""",half-true,true,"['true', 'mostly-true', 'half-true']",3,True
"The Obama administration's policies ""have reduced minority dropout rate by 25 percent.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""I’ve lived"" in Milwaukee ""all 61 years of my life.""",mostly-false,true,"['true', 'mostly-true', 'mostly-false', 'false']",4,True
"""In Texas, schools do not even have to teach sex education.""",true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"The GOP's ""Pledge to America"" includes ""a 20 percent cut ... for education. ... Eight million kids would have their college aid slashed under this budget.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
Says Texas public school funding grew three times the rate of enrollment from 2002 to 2012.,false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Glen Sturtevant is ""against smaller class sizes.""",false,false,"['true', 'mostly-true', 'mostly-false', 'false']",4,True
"""The budget I managed at the Department of Education was more than $60 million.""",mostly-true,true,"['true', 'mostly-true', 'mostly-false', 'false']",4,True
"Says a ""court has ordered North Carolina to step up significantly its funding for education.""",mostly-true,true,"['true', 'mostly-true', 'mostly-false', 'false']",4,True
"""Some of our state's educational administrators joined the feds in seeking to mandate Arabic classes for Texas children.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"Terry McAuliffe ""wants to raise your taxes $1,700 to pay for his infinite promises.""",false,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"""I did not oppose busing in America. What I opposed is busing ordered by the Department of Education.""",mostly-false,true,"['true', 'mostly-true', 'half-true']",3,False
"Says there are ""concrete examples"" of University of Texas job applicants or prospective applicants and students as well as invited speakers changing their minds because of handguns being allowed in campus buildings and classrooms.",true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
West Virginia University has “increased the amount of unfunded institutional aid provided to students and expects this amount to exceed $134 million in 2024.”,half-true,true,"['true', 'mostly-true']",2,False
"""The United States death rate is two-and-a-half times higher for those who do not have a high school education.""",true,mostly-true,"['true', 'mostly-true']",2,True
"""In K-12 education, our kids are scoring at the bottom of science and mathematics right now in the industrialized world -- at the bottom.""",false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says ""$1,100 of the tuition paid by every Oregon university student annually goes just to pay the costs of PERS.""",mostly-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
Salaries for Virginia’s teachers are below the national average.,true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says ""every school will be negatively impacted"" if Education Stability Fund is not tapped.",true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Per-student K-12 state funding for Portland Public Schools has dipped from $6,036 in the 2007-2008 school year to $5,644 in the 2010-2011 school year",half-true,mostly-true,"['true', 'mostly-true']",2,False
Says one in three Texas children drop out of high school.,half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
Says public education will get more money in 2012-13 though lawmakers cut $15 billion in overall spending.,half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""There is great disparity, tremendous disparity, in the (capital) funding on a per-student basis between our traditional public schools and our charter public schools.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
"Says Hillary Clinton is ""proposing to print instant work permits for millions of illegal immigrants to come in and take everybody's jobs, including low-income African-Americans.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"Common Core is ""education through Washington D.C.""",false,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"Four years after Gov. Andrew Cuomo promised universal pre-K, ""79 percent of 4-year olds outside New York City lack full-day pre-K.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
"A post comparing two construction workers — “Joe legal” and “Jose illegal” — says “Jose” pays no taxes yet gets free medical care, food stamps, welfare, and 'head of the class' priority for his children in applying for college.",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""In Florida children are required to take their first standardized test within 30 days of beginning kindergarten and Gov. DeSantis wants to extend that requirement to preschoolers.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Georgia ""spends in the top 10 nationally on education, yet, most of our education metrics hover in the bottom five.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"With federal stimulus money for schools, “no distinctions are being made between Wisconsin schools that remain closed to in-person learning, and those that have been re-opened for months.”",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"“The facility (NextGen Precision Health Institute) construction alone will bring 3,400 jobs and $472 million in revenue to Missouri.”",mostly-true,mostly-true,"['true', 'mostly-true']",2,True
"""Mayor Fung wants to punish our children's education by removing 12 million dollars from current funding to pay for his private charter school. Your taxes would increase by between 6 and 8 percent per year.""",pants-fire,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"UW-Madison ""spent down reserves"" as it was told to do two years ago and, facing new state budget cuts, has ""no more reserves to spend down.""",half-true,true,"['true', 'mostly-true']",2,False
Says NC bill would change the grading scale.,false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""North Carolina spends $855 less per student than it did before the Great Recession, and we have one of the lowest per pupil spending levels in the nation.""",mostly-true,mostly-true,"['true', 'mostly-true']",2,True
Says Texas lawmakers in 2011 ordered school districts to test every student on their respiratory system and weight.,mostly-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
“I brought back Big Ten football.”,mostly-false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""[W]hen adjusted for cost of living, Georgia ranks first nationally in teacher salary and benefits.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""CPS students are learning and growing faster than 96 percent of students in the United States.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says Congress gave Wall Street ""trillions of dollars of zero interest loans.""",half-true,true,"['true', 'mostly-true']",2,False
"Education Week says Obama 'hasn't made a significant mark on education,' is 'elusive' on accountability, and a 'staunch defender of the existing public school monopoly.'",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
We are seeing “the Justice Department treat American parents as domestic terrorists” under the Patriot Act.,false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
“There's not been a single book banned in the state of Florida.”,false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""Parents that go to school board meetings"" and question the curriculum are being ""flagged by the Department of Justice and the FBI for attending a meeting.""",false,false,"['mostly-true', 'mostly-false', 'false', 'pants-fire']",4,True
"Says GOP U.S. Senate candidate Darryl Glenn ""wants to eliminate the Department of Education"" and jeopardize college funding for 320,000 Coloradans.",true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says legislative cuts mean Texas is ""spending on average $500 less per student.""",true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Graduation rates of players at major football colleges ""are still twenty points below their male campus peers and worsened in the past three years.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""We have the highest graduation rate of basketball players in the history of the NCAA. We have the highest graduation rate of African-American basketball players in the history of the NCAA in basketball.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'false']",4,False
"In Florida ""we have 75,000 on (a) waiting list for child care and 23,000 on waiting lists"" for community care for the elderly.",mostly-true,mostly-true,"['true', 'mostly-true']",2,True
"""Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""We had an amendment in the health care law that said the federal government is going to take over education.""",false,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"Says Democratic gubernatorial candidate Mary Burke ""has proven on the Madison Board of Education"" that she supports raising taxes and spending.",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
The plus in LGBTQ+ includes pedophilia.,pants-fire,false,"['false', 'pants-fire']",2,True
Says Florida Gov. Rick Scott’s cuts to education are the same as his proposed corporate income tax rate reduction.,mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
“The percentage of students that are going to college (in West Virginia) has been declining for five years.”,mostly-true,mostly-true,"['true', 'mostly-true', 'mostly-false', 'false']",4,True
"Says all North Carolina teachers do not currently get a ""duty free lunch break.""",true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Dallas ""African-American and Hispanic students pass AP exams at a higher rate than any other place in America.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""By law, Democrats gave the superintendent of public instruction, back in 2009, the ability to take over failing schools … The current superintendent has failed to do that.""",false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says Scott Walker ""has cut more from public education than he's put back in, obviously. He took $1.6 billion and some change away and then puts back $630 million and he's calling that progress.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true']",3,False
"""In 31 states, decent child care costs more than college tuition.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
"""The Health Care  and Education Reconciliation Act is the largest-ever investment in  higher education.""",mostly-false,true,"['true', 'mostly-true']",2,False
"""Since 2001, higher education in the state has been cut or allowed to erode ... by 35 or 40 percent.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""We’re spending tremendous amounts of money to educate our kids. In the world, we're No. 1 per pupil by a factor of four.""",mostly-false,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"Says Rick Scott ""cut education by $1.3 billion"" in his first year, then ""in his second year he decreases funding by $300 million to our state universities.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""Last year, I proposed directing more of the education budget to teacher salaries, a move that would have resulted in an average $10,000 raise for teachers.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
