statement,avg_set_size,std_set_size,num_trials,coverage_rate,true_verdict
"""$53 million a week is coming across the border in drugs.""",4.025,0.15811388300841886,40,1.0,mostly-true
"""'Caravan' Migrant Army Paint Swastika on American Flag, Burn It in the Street.""",3.0,0.0,42,1.0,false
"""(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.""",4.867924528301887,0.3418128057789596,53,1.0,mostly-true
"""100% of heroin/fentanyl epidemic is because we don't have a WALL.""",3.0,0.0,48,1.0,pants-fire
"""134,000 (criminal) aliens have been released by the (Obama) administration in just the past two years.""",6.0,0.0,55,1.0,half-true
"""15,000 troops will not see their families for #Thanksgiving because of @realDonaldTrump’s Scaravan Stunt. Oh yeah, it’s also costing you 200 million dollars.""",5.0,0.0,42,1.0,half-true
"""17,000 individuals with criminal records were apprehended trying to cross the border"" in 2018.",5.0,0.0,58,1.0,half-true
"""18 million illegal immigrants got their government checks this month"" while federal workers remain unpaid.",4.02,0.14142135623730953,50,1.0,pants-fire
"""22 times Barack Obama said he did not have the authority to implement this type of"" anti-deportation ""measure. And then the day after he signed this into law, he said, quote, ‘I just changed the law.’""",4.9772727272727275,0.15075567228888176,44,1.0,mostly-true
"""25 percent of federal inmates are noncitizens.""",5.0,0.0,47,1.0,mostly-true
"""5.7 million -- that’s how many illegal immigrants might have voted"" in 2008.",3.0,0.0,38,1.0,false
"""50 percent of murders in Texas have been linked to illegal aliens.""",3.0,0.0,50,1.0,false
"""8 Syrians caught at Texas border in Laredo.""",4.023809523809524,0.1543033499620919,42,1.0,mostly-false
"""89,000 children were separated from their parents under Obama"" and ""only 1,900 children have been separated under Trump.""",5.0,0.0,48,1.0,false
"""91 percent of Latinos support the DREAM Act, which allows undocumented youth to attend college,"" but Marco Rubio opposes it.",3.44,0.5014265364224069,50,1.0,true
"""@realDonaldTrump is coming to San Antonio, which is 60% Mexican-AMERICAN.""",5.0,0.0,62,1.0,mostly-true
"""A lot of these migrants that are coming, we have no way to screen their backgrounds for either health or for security.""",5.0,0.0,47,1.0,false
"""A majority of the candidates on this stage have supported amnesty ... I have never supported amnesty.""",5.0,0.0,48,1.0,mostly-true
"""A million people a year come into the U.S. legally. No other country even comes close to that figure.""",5.0,0.0,48,1.0,true
"""A single immigrant can bring in unlimited numbers of distant relatives.""",3.0784313725490198,0.33723210137245013,51,1.0,mostly-false
"""About three-quarters of (Syrian refugees) are women and children. A full third of them are kids under 12 years old.""",2.0,0.0,45,1.0,true
"""According to Pew Research, 99 percent of the people in Afghanistan support oppressive Sharia law.""",2.0232558139534884,0.15249857033260467,43,0.0,mostly-true
"""According to a recent study from the University of California Riverside, (sanctuary) cities with these policies have more violent crime on average than those that don’t.""",4.8604651162790695,0.350604603563426,43,1.0,mostly-false
"""According to data provided by the Department of Justice, the vast majority of individuals convicted of terrorism and terrorism-related offenses since 9/11 came here from outside of our country.""",5.0,0.0,52,1.0,mostly-false
