statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"""We have 41,000 people right now on the waitlist for financial-based assistance for our tech colleges and universities,"" most of them for tech schools.",mostly-true,mostly-true,['mostly-true'],1,True
"Austin school district ""teachers are the lowest paid of any urban"" Texas district and the ""lowest paid of any surrounding school district.""",half-true,mostly-true,"['mostly-true', 'half-true', 'true', 'mostly-false', 'false']",5,True
"Says Gov. Scott Walker dropped out or was kicked out of college short of a degree ""not long after"" he was ""kicked out of student elections at Marquette University.""",false,false,"['false', 'true', 'mostly-false', 'mostly-true', 'pants-fire']",5,True
Half of Oregon university students are on Pell Grants.,mostly-true,mostly-true,"['mostly-true', 'half-true']",2,True
High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if they’ve appeared in court.,mostly-true,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false']",4,True
"Says Charlie Crist ""implemented Jeb Bush’s A+ Plan.""",true,true,"['true', 'mostly-true', 'false', 'half-true', 'mostly-false']",5,True
“Biden to teachers: ‘They're not somebody else's children. They're yours when you're in the classroom.’”,false,false,"['false', 'mostly-false', 'pants-fire', 'half-true']",4,True
"""Greg Abbott said it would be a ‘waste’ to expand pre-k to all Texas children.""",mostly-false,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says administrator salaries were increased, ""but other school employees were left behind.""",half-true,mostly-true,"['mostly-true', 'half-true', 'true', 'mostly-false', 'false']",5,True
"Says Rick Scott cut education by over a billion dollars, meaning thousands of teachers ""lost their jobs"" and ""class sizes went up.""",mostly-false,mostly-false,"['mostly-false', 'half-true', 'mostly-true', 'false', 'true']",5,True
Says Obama doubled funding for the Pell Grant.,mostly-true,true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"In West Virginia, ""our students enter in at fourth grade the first time they’re tested, 37th or 38th in the nation—which is not good, but it’s not horrible. By the time they’re in the 8th grade, they’re 46th or 47th, and then upon 11th grade testing they’re near last.""",mostly-true,mostly-true,"['mostly-true', 'half-true', 'true', 'mostly-false']",4,True
"Ninety-six percent of failing schools are spending above $8,400, the average annual per student expenditure, and 26 percent spend considerably more than that.",half-true,half-true,"['half-true', 'mostly-true']",2,True
"""Faculty salaries at UW System institutions have now fallen more than 18 percent below the national average.""",true,true,"['true', 'mostly-true']",2,True
"Says the state auditor found that 37 percent of the 428,000 students receiving free and reduced-price lunches are ineligible.",false,half-true,"['half-true', 'false', 'mostly-false', 'mostly-true', 'true']",5,True
"Huckabee supported ""a tuition break to the children of illegals that are here illegally when citizens are having to pay a higher rate.""",half-true,half-true,"['half-true', 'mostly-false', 'mostly-true']",3,True
Says state’s mandated tests come from an English company.,mostly-true,false,"['false', 'mostly-false', 'true', 'mostly-true', 'half-true']",5,True
"""Just in the past 10 years, college tuition has increased 28 percent.""",mostly-true,mostly-true,"['mostly-true', 'false', 'mostly-false', 'true', 'half-true']",5,True
Texas' public high school graduation rate is at 90% overall.,true,true,"['true', 'mostly-true']",2,True
"Under Republican-backed state budget, the state education agency estimates expansion of Wisconsin’s school voucher program ""could cost nearly $2 billion annually""",pants-fire,pants-fire,"['pants-fire', 'false']",2,True
