statement,avg_set_size,std_set_size,num_trials,coverage_rate,true_verdict
"""#GradInsurance debacle is a DIRECT result of #ObamaCare. #MIZZOU has to break the law to do the right thing.""",6.0,0.0,43,1.0,half-true
"""$3 billion over the next five years will be taken out of our public schools and be put into vouchers.""",6.0,0.0,50,1.0,mostly-false
"""(Charter schools in Missouri) are actually failing in a greater capacity than the public school systems.""",6.0,0.0,50,1.0,mostly-false
"""(Newt Gingrich) voted in favor of establishing the Department of Education, and yet he gets in a debate and says we should get rid of the Department of Education and send all the education issues back to the states.""",5.0,0.0,48,1.0,half-true
"""(The Opportunity Scholarship Act) would be funded directly from public school budgets. So it would absolutely take money out of the public school system to transfer to private and religious schools.""",5.0,0.0,52,1.0,mostly-true
"""(The) top issue for college students is the economy.""",5.0,0.0,48,1.0,true
"""...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat.""",5.6,0.4944132324730442,55,1.0,mostly-true
"""1/3 of our kids drop out (of high school), cannot go to college or start a career.""",5.0,0.0,52,1.0,mostly-false
"""200,000 students attempt suicide every year on college campuses.""",6.0,0.0,57,1.0,half-true
"""3,000 teachers lost their jobs when (Crist) was governor.""",5.895833333333333,0.3087092781885837,48,1.0,mostly-false
"""40% of the folks who have student loans do not have a college diploma, four-year diploma. These are people who are truck drivers and who are nail technicians and nurses’ aides.”",4.909090909090909,0.29012942659282975,55,1.0,true
"""50% of Hispanic students count on Pell Grants to pay for college.""",5.0,0.0,47,1.0,true
"""60 percent of Texas 8th graders are not proficient in math. Only 26% have a teacher with a undergraduate major in math.""",6.0,0.0,50,1.0,mostly-true
"""70,000 three-year-olds and four-year-olds across America will lose access to the preschool Head Start program. ... 2,000 in the state of Florida alone.""",5.0212765957446805,0.14586499149789453,47,1.0,half-true
"""700 jobs (were) lost because Allen Boyd"" voted for the health care bill.",6.0,0.0,51,1.0,mostly-false
"""90% of rural women and 55% of all women are illiterate"" in Morocco.",6.0,0.0,50,1.0,false
