statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"""Under my predecessor, they cut funding for education, but they didn't give them anything in return to make up for that,"" leading to ""less money"" for school districts",half-true,half-true,['half-true'],1,True
"In the 1950s,  ""A lot of people got rich — and they had to pay a top tax rate of 90 percent.""",mostly-true,mostly-true,['mostly-true'],1,True
"Geithner's failure to pay self-employment taxes while working for the IMF ""is a mistake that is commonly made for people who are working internationally or for international institutions.""",mostly-true,mostly-true,"['mostly-true', 'half-true']",2,True
"""About 80 percent of (the manufacturing and agriculture) tax credit goes to claimants who are making $1 million or more.""",true,true,['true'],1,True
"“While serving as Town Supervisor, Nate McMurray voted to raise taxes on homeowners.”",true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
"As state Commerce secretary, Mary Burke drafted, sponsored and promoted ""budgets that raised taxes by billions, created high structural deficits and raided funds to finance huge spending hikes.""",mostly-false,mostly-false,"['mostly-true', 'half-true', 'mostly-false']",3,True
"""Last week Senator Obama's running mate said, get this, 'Raising taxes is patriotic.' """,mostly-false,mostly-false,['mostly-false'],1,True
"Says that under his tax plan, seniors making less than $50,000 per year won't pay any income taxes.",true,true,['true'],1,True
"""In almost every state with an income tax, wealthy people pay a higher tax rate than the middle class.""",mostly-false,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"Says LeBron James ""stops paying his Social Security taxes at the beginning of the second quarter of the first game of the season.""",mostly-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"The Senate bill ""hands enormous tax cuts to the rich and to the drug and insurance industries, paid for by cutting health care for everybody else.""",mostly-true,mostly-true,"['mostly-true', 'half-true']",2,True
"Harry Reid has voted ""to give special tax breaks to illegal aliens.""",false,false,['false'],1,True
"Says Gov. Scott Walker’s budget ""includes tax breaks for corporations and the rich that will cost the state of Wisconsin taxpayers $2.3 billion over the next decade.""",half-true,half-true,['half-true'],1,True
Says families now pay out 40 percent of their income to taxes.,mostly-false,mostly-false,"['mostly-false', 'false']",2,True
"Dan Gecker voted to ""double vehicle registration fees, costing (Chesterfield) county residents over $6 million annually.""",false,false,"['half-true', 'mostly-false', 'false']",3,True
