statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"Says a 2007 immigration bill “was opposed by (the League of United Latin American Citizens), the largest Latino organization in America. The Southern Poverty Law Center called its guest-worker programs akin to slavery. … And you know who voted with me on that one, Joe? Barack Obama.”",half-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""It’s possible that non-citizen voters were responsible for Obama’s 2008 victory in North Carolina.""",pants-fire,false,"['false', 'mostly-false', 'pants-fire']",3,True
"Congressman Jeff Denham ""has agreed all illegal immigrants should be detained, arrested and deported.""",mostly-false,false,"['false', 'mostly-false', 'half-true', 'mostly-true']",4,True
Says Joe Biden has driven the current coronavirus surge because he “imported more virus from around the world by having a wide open southern border.”,false,false,"['false', 'mostly-false']",2,True
"Says Sen. Bob Casey, D-Pa., “is trying to change the outcome of the election by counting NON-CITIZEN votes.”",false,false,"['false', 'pants-fire', 'mostly-false']",3,True
Says drug cartels are using social media to offer rebates so more children from Central America get smuggled to the United States.,mostly-false,mostly-false,"['mostly-false', 'false', 'mostly-true']",3,True
"""Nobody knows about it, nobody talks about it, but under Obama, millions of people have been moved out of this country, they've been deported.""",half-true,half-true,"['half-true', 'mostly-true', 'mostly-false', 'false', 'true']",5,True
"""Many of the countries in question (in Trump’s travel ban) don't even have a U.S. embassy there to help us vet.""",true,true,"['true', 'mostly-true', 'half-true']",3,True
"""As of 2014, illegal aliens made up roughly 3.5 percent of our population, and committed over 10 percent of all murders.""",mostly-false,false,"['false', 'mostly-false', 'mostly-true']",3,True
"Says Joe Biden “has effectively ordered a shutdown of ICE, halting virtually all deportations, everyone, murderers, everybody, no more.”",false,false,"['false', 'mostly-false']",2,True
"Martha’s Vineyard ""used the military to deport every last illegal migrant from their island.”",false,false,"['false', 'mostly-false']",2,True
"""Phoenix, Arizona, is the No. 2 kidnapping capital of the world.""",false,false,['false'],1,True
"""Apprehension rates at the southern border have plummeted since the 1980s, and apprehensions of Mexicans specifically have reached their lowest point in nearly half a century.""",mostly-true,mostly-true,"['mostly-true', 'true']",2,True
"""Close to half of the folks in this country illegally entered legally (but) overstayed (their ) visas.""",mostly-true,mostly-true,"['mostly-true', 'true']",2,True
"Miami’s immigration courts have the “largest backlog of any court in this country with 10% of the overall immigration cases,” and “more than 90%” of people lose their asylum claims.",half-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'true']",4,True
"Says comprehensive immigration reform ""will add $700 billion to our economy.""",half-true,false,"['false', 'mostly-false', 'mostly-true']",3,False
Says Sen. Lindsey Graham said a newly elected Donald Trump “will round up and deport LEGAL immigrants.”,false,false,['false'],1,True
"""Our university campuses by federal law do not check the immigration status of their students just as our public schools don’t.""",mostly-false,true,"['true', 'mostly-true', 'false', 'mostly-false']",4,True
"Wealthy foreigners can obtain visas through a special program, but only a small number ""invest in true high-unemployment areas. Almost every other EB-5 project uses gerrymandering to qualify as distressed.""",mostly-true,mostly-true,"['mostly-true', 'true']",2,True
"Says ""72% of refugees admitted into U.S. (2/3 -2/11) during COURT BREAKDOWN are from 7 countries: SYRIA, IRAQ, SOMALIA, IRAN, SUDAN, LIBYA & YEMEN.""",mostly-true,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false', 'false']",5,True
"""Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.""",pants-fire,false,"['false', 'mostly-false']",2,False
"""We've had Muslims in America since George Washington.""",true,true,['true'],1,True
