statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"""97% of murders occur with handguns.""",mostly-false,false,"['mostly-false', 'false']",2,True
"Under Mayor Tom Barrett, the number of Milwaukee police officers ""has not increased.""",true,false,"['true', 'mostly-false', 'false']",3,True
"""In Florida felonies can be things like buying weed, tampering with an odometer or disturbing a lobster trap. So basically spring break.""",mostly-true,true,"['true', 'half-true', 'false']",3,False
"Says Donald Trump ""thinks stop-and-frisk is fine.""",true,true,"['true', 'false']",2,True
"Boston Marathon bombing suspect Tamerlan Tsarnaev is buried ""not far"" from President Kennedy’s grave.",pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True
"In 2016, Dallas, Texas, has fewer ""police officer-related shootings than any large city in America.""",half-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""The Obama administration has used the Espionage Act to go after whistleblowers who leaked to journalists ... more than all previous administrations combined.""",true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"In Wisconsin, ""we have a bill that would allow hidden, deadly weapons -- every single person to carry one -- no training, no background check, even around schools.""",mostly-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
“Violent crime in South Bend doubled during Mayor Pete’s tenure.”,mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""At a minimum, 40 percent of those who view child pornography end up molesting children as a result.""",mostly-false,false,"['half-true', 'mostly-false', 'false']",3,True
"""You're more likely to be the victim of a violent crime in Milwaukee than in 96 percent of the country.""",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"""There are so many data that demonstrate that poor people, surprisingly, are less likely to use drugs than people with means.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""A sitting sheriff cannot be charged except by a warrant issued by a Superior Court judge.""",half-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""There are more guns in this country than there are people.""",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"Says a study indicates up to $8.5 billion in lost GDP and up to 185,000 lost jobs if Texas lawmakers approve a measure limiting transgender bathroom choices.",mostly-false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"“Maxine Waters just introduced a bill to re-name Memorial Day — George Floyd Day.""",pants-fire,false,"['false', 'pants-fire']",2,True
“Leftist justice reform” is the reason that the NYC subway shooting suspect wasn’t in jail at the time of the attack.,false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True
A test last month at the MAX station at 162nd Avenue and East Burnside saw crime down 41 percent compared with December 2009,mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
Says carbon monoxide is still employed to euthanize dogs and cats in 29 Texas animal shelters.,true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
“Cal Cunningham has been silent on this on defunding the police; I assume his silence is consent.”,false,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"""Look at what’s happening last night in Sweden. Sweden, who would believe this? Sweden. They took in large numbers. They’re having problems like they never thought possible.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""You’ve got almost twice as many cops in New York City as you do on our entire border. That’s nuts.""",half-true,half-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"Says Mark Kirk ""called for the mass arrest of 18,000 African Americans"" and ""was apparently fine with Trump’s #StillTooRacist call for mass deportation.""",false,false,"['true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
Says his Texas election fraud investigations have resulted in 50 convictions.,half-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Over 39% of violent criminals return to prison following their release.""",mostly-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""The majority of Georgians incarcerated in local jails have never been convicted of crime. They are simply too poor to pay their bail.""",half-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"“There was no violence on the Senate side, in terms of the chamber.”",mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""50 percent of murders in Texas have been linked to illegal aliens.""",false,false,"['false', 'pants-fire']",2,True
"""Human trafficking is the third-biggest criminal enterprise in the world.""",mostly-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"Kamala Harris ""let in the 13,099 convicted murderers and opposes all efforts to find them and to remove them.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"David Dewhurst is ""the first lieutenant governor in history to have a personal security detail.""",mostly-true,false,"['true', 'mostly-false', 'false', 'pants-fire']",4,False
"""There have not been any public safety issues"" in cities that allow transgender people to use the bathroom of the gender they identify as.",mostly-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""An elderly British politician has been savagely beaten to a bloody pulp by a gang of anti-Trump protestors because he ‘welcomed’ the U.S. president to the United Kingdom.""",mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"As a mayor, ""John Fetterman chased down an innocent, unarmed Black man,"" wielded a shotgun and ""falsely accused the man, triggering a confrontation with police.""",mostly-true,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,False
"Greg Abbott did ""nothing"" to pursue reports of the sexual abuse of boys at a West Texas state-run school.",mostly-false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""DUI arrests dropped significantly in Tampa once Uber began operating here.""",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"Russia’s interference in the 2016 election amounted to ""a couple of Facebook ads.""",pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True
Four out of 10 homicides are committed by gun in this city.,true,true,"['true', 'false']",2,True
"“So far, out of 175 arrested in Kenosha, 102 were not from Kenosha. Rioting has become its own industry.”",mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True
