statement,avg_set_size,std_set_size,num_trials,coverage_rate,true_verdict
""" ‘Obamacare’ puts the federal government between you and your doctor.""",5.0,0.0,51,1.0,false
"""#GradInsurance debacle is a DIRECT result of #ObamaCare. #MIZZOU has to break the law to do the right thing.""",5.0,0.0,48,1.0,half-true
"""$21T in Pentagon accounting errors. Medicare for All costs ~$32T. That means 66% of Medicare for All could have been funded already by the Pentagon.""",3.0,0.0,50,0.0,false
"""$700 billion was robbed (from Medicare) to pay for Obamacare.""",5.9818181818181815,0.13483997249264845,55,1.0,half-true
"""(Brendan) Doherty wants to raise the eligibility age for Social Security benefits for anyone born after 1960, with no regard for the challenges it would cause for people working in physically demanding occupations.""",5.0,0.0,55,1.0,false
"""(For) white working-class America, death rates among white men are up 20 percent.""",5.0,0.0,50,1.0,mostly-false
"""(Obamacare) is a bill which has never once had a majority of Americans favor it.""",6.0,0.0,40,1.0,mostly-true
"""(U.S. Rep. Jack Kingston) voted to fund (Obamacare).""",4.0,0.0,57,0.0,mostly-false
"""1 in 4 Rhode Islanders under the age of 65 does not have health insurance.""",2.036363636363636,0.2696799449852969,55,0.01818181818181818,half-true
"""13 percent of Americans, the lowest ever, are without health care.""",5.0,0.0,46,1.0,half-true
"""14,000 Americans . . . lose their health insurance every single day.""",2.473684210526316,0.5037453706946005,57,1.0,mostly-true
"""15 years ago, cancer drugs cost an average of $10,000 a year. Now it’s $10,000 a month.""",6.0,0.0,51,1.0,mostly-true
"""160 million people like their private insurance.""",5.0,0.0,53,1.0,half-true
"""2.4 million people in Wisconsin have pre-existing conditions"" and Leah Vukmir supports letting insurance companies ""deny coverage to people with pre-existing conditions.""",4.962962962962963,0.1906258770929863,54,1.0,half-true
"""20 million people could lose their current coverage"" … ""including our senior citizens who are on Medicare.""",5.0,0.0,58,0.0,pants-fire
"""20,000 Kansans lost their health insurance because of (Obamacare).""",5.0,0.0,50,1.0,false
"""200,000 students attempt suicide every year on college campuses.""",5.0,0.0,50,1.0,half-true
"""2009-2010, let's remember, hundreds of Republican amendments were adopted in the ACA.""",5.0,0.0,56,1.0,half-true
"""25 percent of all drug-related fatal vehicle accidents in the U.S. involve marijuana.""",5.0,0.0,49,1.0,half-true
"""28.2 million Americans are still waiting under Obamacare and remain uninsured!""",5.0,0.0,41,1.0,half-true
"""30,000 Americans a year die waiting for health care because of the cost.""",4.018518518518518,0.13608276348795434,54,1.0,half-true
"""30,000 Arizonans may have no choice"" on Affordable Care Act coverage.",5.0,0.0,61,1.0,mostly-true
"""300,000 Floridians have lost their health insurance"" as a result of Obamacare.",5.0,0.0,42,1.0,false
"""300,000 Floridians will lose their current health plans"" because of Obamacare, a plan Alex Sink supports.",3.963636363636364,0.18891859540615813,55,0.0,half-true
"""4.7 million people have lost their insurance in 32 states"" due to Obamacare.",6.0,0.0,55,1.0,mostly-false
"""400,000 Oregonians have gained access to health care"" through the Affordable Care Act.",2.0,0.0,58,0.0,half-true
"""43,000 people are going to be kicked out of nursing homes or denied nursing home entrance"" if the Texas House version of the state budget passes into law.",5.0,0.0,56,1.0,mostly-false
"""47 - New provisions ObamaCare charges the IRS with implementing, according to the Government Accountability Office.""",4.0,0.0,52,1.0,true
"""500,000 people have signed up for #Obamacare.""",2.0,0.0,53,0.0,half-true
"""53 percent of Americans cut back on their health care in the last year because of costs.""",5.0,0.0,48,1.0,half-true
"""60 percent of all Americans do not want to see Planned Parenthood defunded.""",5.0,0.0,45,1.0,true
"""7 million more Americans are uninsured now than when President Trump was elected.""",4.612244897959184,0.4922874554317935,49,1.0,half-true
"""70 percent of Americans believe in improved and expanded Medicare for All.""",5.0,0.0,54,1.0,half-true
"""700 jobs (were) lost because Allen Boyd"" voted for the health care bill.",5.0,0.0,50,1.0,mostly-false
"""74 percent of Republicans support the Affordable Care Act.""",6.0,0.0,50,1.0,false
"""75 percent of the Obamacare tax falls on the middle class.""",5.927272727272728,0.2620817977022989,55,1.0,false
"""8.5 million Americans have gotten rebate checks because their insurance companies were spending too much money on executive bonuses and administrative costs and not enough on health care.""",4.103448275862069,0.30720329701800014,58,1.0,mostly-true
"""80 percent of the (individual mandate) tax falls on those who make $50,000 a year or less.""",5.0,0.0,51,1.0,mostly-true
"""80% of children born in developing countries die of cancer each year.""",2.0,0.0,45,0.0,mostly-false
"""83% of doctors have considered leaving the profession because of #Obamacare.""",4.0,0.0,51,1.0,false
"""95% of over-the-counter pharmaceuticals"" in the U.S. come from China.",4.0,0.0,52,1.0,false
"""A California health care CEO is promising to reduce our prescription drug costs.""",5.295454545454546,0.4615215208036401,44,1.0,mostly-false
"""A Florida judge ruled parts of Obamacare unconstitutional.""",5.0,0.0,48,1.0,mostly-true
"""A black woman in New York City is 12 times more likely to die in childbirth than a white woman.""",2.0,0.0,47,1.0,mostly-true
"""A clause hidden in the Obamacare bill, which is now law, gives Obama the right to form a private army.""",2.0,0.0,46,1.0,pants-fire
"""A clear majority of Americans support removing the cost-sharing requirement for prescription contraceptive coverage.""",4.0,0.0,50,1.0,mostly-true
"""A couple of debates ago, (Donald Trump) said if you don’t support socialized health care, you’re heartless.""",5.0,0.0,55,0.0,pants-fire
"""A family of four can make up to $88,000 a year and still get a subsidy for health insurance"" under the new federal health care law.",5.26,0.44308749769345196,50,1.0,true
