statement,avg_set_size,std_set_size,num_trials,coverage_rate,true_verdict
""" ‘Obamacare’ puts the federal government between you and your doctor.""",6.0,0.0,51,1.0,false
"""#GradInsurance debacle is a DIRECT result of #ObamaCare. #MIZZOU has to break the law to do the right thing.""",6.0,0.0,48,1.0,half-true
"""$21T in Pentagon accounting errors. Medicare for All costs ~$32T. That means 66% of Medicare for All could have been funded already by the Pentagon.""",5.0,0.0,50,1.0,false
"""$700 billion was robbed (from Medicare) to pay for Obamacare.""",6.0,0.0,55,1.0,half-true
"""(Brendan) Doherty wants to raise the eligibility age for Social Security benefits for anyone born after 1960, with no regard for the challenges it would cause for people working in physically demanding occupations.""",5.909090909090909,0.29012942659282975,55,1.0,false
"""(For) white working-class America, death rates among white men are up 20 percent.""",5.44,0.5014265364224069,50,1.0,mostly-false
"""(Obamacare) is a bill which has never once had a majority of Americans favor it.""",6.0,0.0,40,1.0,mostly-true
"""(U.S. Rep. Jack Kingston) voted to fund (Obamacare).""",5.0,0.0,57,1.0,mostly-false
"""1 in 4 Rhode Islanders under the age of 65 does not have health insurance.""",5.0,0.0,55,1.0,half-true
"""13 percent of Americans, the lowest ever, are without health care.""",6.0,0.0,46,1.0,half-true
"""14,000 Americans . . . lose their health insurance every single day.""",5.0,0.0,57,1.0,mostly-true
"""15 years ago, cancer drugs cost an average of $10,000 a year. Now it’s $10,000 a month.""",6.0,0.0,51,1.0,mostly-true
"""160 million people like their private insurance.""",6.0,0.0,53,1.0,half-true
"""2.4 million people in Wisconsin have pre-existing conditions"" and Leah Vukmir supports letting insurance companies ""deny coverage to people with pre-existing conditions.""",5.0,0.0,54,1.0,half-true
"""20 million people could lose their current coverage"" … ""including our senior citizens who are on Medicare.""",6.0,0.0,58,1.0,pants-fire
"""20,000 Kansans lost their health insurance because of (Obamacare).""",6.0,0.0,50,1.0,false
"""200,000 students attempt suicide every year on college campuses.""",6.0,0.0,50,1.0,half-true
"""2009-2010, let's remember, hundreds of Republican amendments were adopted in the ACA.""",6.0,0.0,56,1.0,half-true
