statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
Fox News reported California Gov. Gavin Newsom “will withhold” California’s federal income tax.,false,false,"['mostly-false', 'false']",2,True
"New York has ""among the highest tax burdens of any state in the nation""",true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
"""A tax on soda and juice drinks would disproportionately increase taxes on low-income families in Philadelphia.""",true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"Jim Justice “broke his pledge, raised the gas tax.”",false,true,"['true', 'mostly-true', 'mostly-false', 'false']",4,True
"""A construction worker who’s making $50 or $60 grand a year shouldn’t be paying higher tax rates than the guy who’s making $50 million a year. And that’s how it’s working right now.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
"Says Gov. Tony Evers ""tried to make us pay even more at the pump by hiking the gas tax.""",half-true,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""Apple has just announced it plans to invest a total of $350 billion in America, and hire another 20,000 workers.""",half-true,true,"['true', 'mostly-true']",2,False
Florida has “the second lowest tax burden per capita in the United States.”,mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""More than a million Wisconsinites have voted to raise their own property taxes because Republicans have failed to fully fund our public schools for the past eight years.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Most people below $50,000 don’t pay any income tax. The top 1 percent in our country pay 40%.""",mostly-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"“If you’re a low-wage worker and you’re single and don’t have children, we’re literally taxing you into poverty.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says the Treasury Department ""says 41 percent of all business income reported on individual returns would be hit by the [millionaires’] surtax"" that ""would harm small businessmen and women, the very people we are counting on to create new jobs.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""Property taxes had increased 70 percent in the previous 10 years.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"A bill backed by Sean Duffy and other House Republicans ""could actually require the Internal Revenue Service to conduct audits of rape victims"" who get an abortion.",false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Gov. Ron DeSantis raised ""taxes on the middle class by more than $1.5 billion while giving away $624 million to big corporations.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
The new Atlanta Braves stadium will require no tax increase for homeowners and provide $3 million annually for Cobb County schools.,half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""One man (New Castle, Del., County Executive, Chris Coons) thought property taxes should be hiked almost 50 percent.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says Adam Hasner ""gives the wealthy tax breaks worth $250,000 a year but hikes middle class taxes $2,000.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""We spend in tax loopholes annually $1.1 trillion. That's more than we spend on our defense budget in a year, on Medicare or Medicaid in a year.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""Wisconsin Republicans have passed multiple billion dollar middle-class tax cuts this year, but each time we have, Governor Tony Evers has vetoed the relief.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""We are giving almost $2 billion of taxpayer money to the junk food and fast food industries every year to make the (childhood obesity) epidemic worse.""",false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,False
"Says she ""would bring 186,740 new jobs to Wisconsin"" and ""Donald Trump would cost Wisconsin 61,050 jobs.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""There are parts of I-80 near Joliet that school buses are not allowed to cross because of the fragile nature of a bridge.""",mostly-false,true,"['true', 'mostly-true', 'mostly-false']",3,True
"""I never supported"" a state income tax for Texas.",pants-fire,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,False
"""The proudest accomplishment (of my tenure) was leaving the state with a $1.2 billion surplus, which was the largest we’d ever had, and getting spending under control and a balanced budget.""",mostly-true,mostly-true,"['true', 'mostly-true']",2,True
"""When Nancy Nusbaum was Brown County executive, spending went up nearly 50 percent.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
The accuracy of the Obama tax calculator,half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""Hillary [Clinton] wants to raise taxes by over a trillion dollars.""",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"President Obama’s health care law says ""when you sell your house now you have to pay a 3.8 percent tax.""",pants-fire,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
Tax increases under Michigan Gov. Jennifer Granholm led to state unemployment going from 6.8 percent to 15.3 percent.,mostly-false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"Says Marco Rubio is proposing a new $1 trillion ""welfare program"" in tax credits and ""$1 trillion in new military spending.""",mostly-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"California will have the ""highest gas tax in the nation"" once its 12 cent gas tax hike goes into effect.",false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says allowing the payroll tax holiday to expire would end up ""costing another estimated 900,000 jobs in 2012.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says Alex Sink supported ""higher property taxes.""",mostly-false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
