statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered,trial
"Planned Parenthood is ""the only health care that a significant number of women get. About 30 percent of women, that's their health care.""",pants-fire,false,"['mostly-false', 'false']",2,False,1
"Says if the AHCA replaces Obamacare it will ""significantly reduce insurance premiums in"" North Carolina.",half-true,false,"['mostly-false', 'false', 'pants-fire']",3,False,1
"Republicans “have shown themselves willing to cut millions off their health insurance and eliminate preexisting condition protections for millions more, even in the middle of this public health crisis.""",true,true,"['true', 'mostly-false', 'false']",3,True,1
"""Every county in the state of Texas has a veterans court.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
"""You’re in danger” because the American Red Cross doesn’t label blood donations from donors vaccinated against COVID-19.",false,false,['false'],1,True,1
"John McCain and George Bush have ""absolutely no plan for universal health care.""",true,false,"['true', 'false']",2,True,1
"Parasite cleanses ""kill herpes by starving the parasites in the stomach.""",pants-fire,false,['false'],1,False,1
"Florida’s proposed Health Care Freedom Act ""will allow Floridians to opt out of Obama’s govt. takeover of healthcare!""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
"The health care law ""imposes the largest tax increase in history on the middle class.""",pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
"An independent payment advisory board created by the health care reform law ""can ration care and deny certain Medicare treatments.""",pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
"""43,000 people are going to be kicked out of nursing homes or denied nursing home entrance"" if the Texas House version of the state budget passes into law.",mostly-false,false,"['mostly-false', 'false']",2,True,1
"""We're losing thousands of (veterans) waiting on line"" because they can't get speedy health care from the Veterans Administration.",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True,1
"If the sequester hits, ""hundreds of thousands of Americans will lose access to primary care and preventive care like flu vaccinations and cancer screenings.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True,1
The Trump administration has had “zero unfulfilled equipment and supply requests from state governors.”,false,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
"Says Milwaukee blacks have 55 percent male unemployment, 60 percent truancy, a 50 percent graduation rate, the ""worst"" reading scores and ""lead"" in infant mortality.",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
"Says Mitch McConnell voted to raise Medicare costs for a current Kentucky senior by $6,000.",false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True,1
Says six of the state’s 58 family planning centers had to close because of Gov. Chris Christie’s budget cuts.,true,true,"['true', 'false']",2,True,1
"Says the paperback edition of Mitt Romney's book deleted line that Massachusetts' individual mandate ""should be the model for the country""",mostly-false,false,"['true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True,1
"""We made parity between mental health and physical health. It was a fundamental breakthrough in how we thought about how things should work.""",mostly-true,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
"""We end the $100 billion a year that the health care industry makes.""",true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True,1
Says a federal plan to expand Medicaid would cost Florida taxpayers $26 billion over 10 years.,false,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
"Research shows the employer mandate in the House health reform bill would ""place millions 'at substantial risk of unemployment' — with minority workers losing their jobs at twice the rate of their white counterparts.""",half-true,half-true,"['mostly-true', 'half-true', 'false']",3,True,1
The U.S. Court of Appeals for the Fourth Circuit compared the health care law to buying a pepperoni and ham pizza from Domino's or Pizza Hut.,mostly-true,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,False,1
"Because of Obamacare ""people’s premiums ... are going up 35, 45, 55 percent.""",half-true,false,"['mostly-false', 'false', 'pants-fire']",3,False,1
"Paul Ryan’s budget ""keeps the Obamacare taxes and spending cuts that paid for Obamacare, but then cuts all of the benefits.""",mostly-true,false,"['half-true', 'mostly-false', 'false']",3,False,1
"“In 2018, the providers the state paid through the ACO reduced the amount of money spent on healthcare services by $7.7 million.”",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True,1
"The federal health care law is ""probably the biggest tax increase ever in the history of our country.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
“Everybody can get” the COVID-19 vaccine.,mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
"Greg Abbott was ""charged with overseeing the state cancer research fund. But he let his wealthiest donors take tens of millions of taxpayer dollars without proper oversight. They showered Abbott with gifts and free vacations.""",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True,1
"""Study proves children’s hearts destroyed by COVID vaccine.""",false,false,"['false', 'pants-fire']",2,True,1
“Drug overdose deaths decreased in 2018 for the first time in 30 years.”,mostly-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True,1
"Says the American public ""overwhelmingly opposed"" Democratic-steered health care plan.",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
"""Current projections indicate that Medicare will go bankrupt by 2017, while Social Security will bottom out by 2037.""",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
"Says his ""Act 10 reforms"" have ""saved the taxpayers some $3 billion.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True,1
Nick Freitas “supports a plan letting insurance companies deny coverage for preexisting conditions like asthma or diabetes.”,true,false,"['mostly-false', 'false', 'pants-fire']",3,False,1
"New tax increases that went into effect on Jan. 1, 2015, ""all passed under the Affordable Care Act, aka Obamacare.""",pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
“Free health allowance is available at no cost.”,false,false,"['false', 'pants-fire']",2,True,1
Says the Affordable Care Act “took money out of the Medicare trust fund.”,half-true,false,"['half-true', 'mostly-false', 'false']",3,True,1
"Oregon Health Plan rations ""covered procedures under certain circumstances""",half-true,half-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True,1
"""(Brendan) Doherty wants to raise the eligibility age for Social Security benefits for anyone born after 1960, with no regard for the challenges it would cause for people working in physically demanding occupations.""",false,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True,1
"Says she voted against the Medicare Part D prescription drug program ""because it was unfunded.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
"""Private insurance companies in this country spend between 12 and 18 percent on administration costs. The cost of administering the Medicare program, a very popular program that works well for our seniors, is 2 percent. We can save approximately $500 billion a year just in administration costs.""",half-true,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True,1
The Inflation Reduction Act expanded free health insurance to Americans under 65.,false,false,"['false', 'pants-fire']",2,True,1
"A Medicaid provision added to the Senate health care reform bill ""is not a special deal for Nebraska.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
"""Now it’s official: FDA announced that vaccines are causing autism.""",pants-fire,false,"['false', 'pants-fire']",2,True,1
There are “absolutely no patients” at Los Angeles hospital considered the center of region's COVID-19 surge.,pants-fire,false,"['false', 'pants-fire']",2,True,1
"""Under (Obamacare), you can’t reward a person for better behavior. You can’t have incentives to be healthier.""",half-true,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True,1
"""One of the most recent polls said 75 percent of the American people have said either don't do anything or start over (on health care reform).""",mostly-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
"""Our new (health care) plans are up to 60% less expensive and better"" than Obamacare.",mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
"The Democrats' health care bill ""gives a new Health Choices Commissioner the right to look at an individual's tax return to determine what medical benefits or subsidies that person qualifies for.""",half-true,half-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
"Says he ""led the effort to build a new (University of Wisconsin-Milwaukee) engineering campus in Wauwatosa.""",false,false,"['mostly-false', 'false']",2,True,1
"Says ""Donald Trump is a guy who has called for privatization"" of the Veterans Administration.",mostly-false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True,1
"""A single parent with a couple kids can easily get $35,000 a year"" in public assistance in Wisconsin.",mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
Insurance companies and Washington bureaucrats “are working together to swipe $500 billion from Medicare to pay for Pelosi and Schumer’s out-of-control spending spree.”,false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True,1
"""More people, almost twice as many, pay the penalty or take the waiver than signed up for (Obamacare).""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
"""Idaho was the only Republican-led state in the nation that chose to partner with President Obama"" by creating a state-based marketplace under the Affordable Care Act.",false,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
"""I've always voted for keeping the government open. I’ve never cast a vote to shut down the government.""",mostly-false,false,"['half-true', 'mostly-false', 'false']",3,True,1
"Says Mitt Romney wants to ""get rid of Planned Parenthood.""",mostly-false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True,1
"Milwaukee County government employees pay ""much more"" for their health care than City of Milwaukee or State of Wisconsin employees.",half-true,half-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
"Barack Obama and the Democrats have ""proposed a tax for not having health insurance.""",true,false,"['true', 'false']",2,True,1
Florida will be the “hardest hit” state in the country if enhanced Affordable Care Act subsidies expire.,mostly-true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True,1
