statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"The “president of Drag Queen Story Hour” was “arrested, charged with child pornography.”",false,false,"['mostly-false', 'false']",2,True
"""There are approximately 18,000 (police) departments in the United States.""",mostly-true,true,"['true', 'mostly-true']",2,True
Says his Texas election fraud investigations have resulted in 50 convictions.,half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"Says El Paso was named America’s ""Safest Large City"" a year after San Antonio, Houston and Dallas had the nation’s highest crime rates.",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true']",3,False
"""No one on my staff has ever been charged with a crime.""",false,false,['false'],1,True
"Says ""we brought crime rate down by 30 percent"" when he was mayor of Dallas.",mostly-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"In Lancaster, Pa., “We caught them with 2,600 votes. We caught them cold, 2,600 votes. ... And every vote was written by the same person.""",false,false,"['false', 'pants-fire']",2,True
“A proposal in Syracuse would pay gang members $100-$200 per week to stay out of trouble.”,mostly-true,true,"['true', 'mostly-true']",2,True
Clicking on this link in a text message lets sex traffickers track you.,false,false,['false'],1,True
"""We’ve already started (the border wall). We started it in San Diego.""",mostly-false,false,"['half-true', 'mostly-false', 'false']",3,True
"""In 2004, George W. Bush lifted the ban on those (AR-15 type) rifles, and since then, the number of massacres has increased 183%. During the ban, there were 12 incidents. Since he lifted the ban, there were 34 incidents.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""(Jeff) Atwater's busy helping his friends and wasting our tax dollars -- $48 million for a government building so lavish it's dubbed the 'Taj Mahal,' $100,000 for a golf musuem, and $110 million to build a private prison to help a big contributor.""",false,false,['false'],1,True
"""The two worst counties for (Medicaid) fraud in the country -- not state -- are Dade and Broward county.""",mostly-true,mostly-true,['mostly-true'],1,True
"Says Peter Kilmartin voted ""in favor of expanding the 'good behavior' statute to sex offenders.""",false,false,['false'],1,True
"In Milwaukee County, juveniles arrested for car theft ""get sent immediately home, because under the point system in juvenile court"" on holding suspects, ""a stolen car gets zero points.""",mostly-false,mostly-false,"['mostly-false', 'false']",2,True
"""While many urban areas across the country saw a sharp increase in crime over the last year, the Philadelphia Police Department successfully lowered part one crimes.""",mostly-true,mostly-true,"['true', 'mostly-true']",2,True
"""Greg Abbott and his surrogates have referred to women who have been the victims of rape or incest as though somehow what they are confronting is a minor issue.""",pants-fire,true,"['true', 'mostly-true']",2,False
"""Washington has incentivized the militarization of local police precincts.""",true,true,"['true', 'mostly-true']",2,True
"""Al-Qaida operatives, have said, 'Hey, we want you to use this loophole (for purchasing guns despite being on a watch list) to attack and kill Americans.'""",mostly-true,true,"['true', 'mostly-true', 'half-true']",3,True
"""FBI crime statistics have found that labeled ‘sanctuary’ cities experience lower rates of all crime types, including homicides.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
"""An organized crime syndicate was extorting money from his (Tom Ganley’s) business, threatening his family, but he fought back and won the FBI's highest civilian award""",true,true,['true'],1,True
"""Ohioans want an end to pay-to-play politics.""",false,false,['false'],1,True
“A $7.20 an hour McDonalds employee … now gets a cool 1/2 million dollar reward” for helping police find the suspected UnitedHealthcare CEO shooter.,false,false,"['mostly-false', 'false']",2,True
"Says Andrew Gillum ""oversaw a 52 percent increase in murder.""",mostly-false,false,"['mostly-false', 'false']",2,True
“BLM rioters just burned down a black church in a black community with a BLM sign out front.”,false,false,['false'],1,True
“More cops are killed responding to domestic violence calls than anything else.”,false,false,"['half-true', 'mostly-false', 'false']",3,True
"Says George Floyd’s criminal history includes “23 arrests,” “3 car thefts” and many violent crimes.",false,false,"['mostly-false', 'false']",2,True
"Before April 22, ""we have restored the rights of more than 18,000 individuals, which is more than the past seven governors combined in their four-year terms.""",true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"The Rhode Island Parole Board ""never received an objection from the attorney general"" to the parole of  convicted murder Alfred Brissette.",true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
