statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"More than 10 years of free trade ""has brought a $2 billion per day trade deficit.""",mostly-true,mostly-true,"['mostly-true', 'half-true', 'true', 'mostly-false']",4,True
"""Since the beginning of the year we've created a net increase of 45,000 jobs.""",mostly-false,mostly-true,"['mostly-true', 'mostly-false', 'half-true', 'false']",4,True
"A bill to cap carbon emissions ""could cost Ohio 100,000 jobs.""",mostly-false,mostly-false,"['mostly-false', 'false', 'half-true', 'mostly-true']",4,True
"Says the federal government is earning more tax revenue now ""than any other time.""",mostly-false,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'true', 'pants-fire']",6,True
"""My opponent... lost 43,000 jobs in Houston since he took over; we are losing jobs.""",false,false,['false'],1,True
"""When I was campaigning, I was talking about 18 and 20 years (when) wages effectively went down. Now, for the first time in a long time, they're starting to go up for people.""",false,false,"['false', 'mostly-false', 'half-true', 'mostly-true']",4,True
"""Since the president became the president, we have lost 3.3 million jobs in the private sector. But you know who's done OK and who's not complaining today? The public sector. We've gained 590,000 public sector jobs.""",half-true,half-true,"['half-true', 'mostly-true']",2,True
"Says ""Hillary Clinton has pledged amnesty in her first 100 days, and her plan will provide Obamacare, Social Security, and Medicare for illegal immigrants, breaking the federal budget.""",mostly-false,mostly-false,"['mostly-false', 'false', 'half-true', 'pants-fire', 'mostly-true']",5,True
"""We got [the Quonset Business Park] for free and we’re getting zero dollars out of it into the state coffers … other than the fact that it produces the jobs.""",half-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'true', 'false']",5,True
"""The (federal) debt is growing by more than $4 billion a day.""",true,true,"['true', 'mostly-true']",2,True
Says Panasonic stayed in New Jersey because of the Business Retention and Relocation Assistance Grant (BRRAG) program.,false,false,"['false', 'mostly-false', 'pants-fire', 'true']",4,True
"""Put simply, less government spending equals more private sector jobs.""",half-true,half-true,"['half-true', 'mostly-true']",2,True
"Says that in his first two years, ""Wisconsin has seen its best two-year job growth in a decade.""",false,false,['false'],1,True
"Says since he and President Trump took office, their policies ""led to an unemployment rate of 3.1% in Wisconsin and 61,000 Wisconsin jobs, including 15,000 manufacturing jobs.""",false,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'mostly-true']",5,True
"Says Mitt Romney told university students in Ohio that to start a business, they should ""borrow money if you have to from your parents.""",true,half-true,"['half-true', 'mostly-true', 'false', 'mostly-false', 'true']",5,True
"“Since Donald Trump's inauguration, we have seen an 11% decline in the value of the dollar, the steepest decline in more than a half a century.”",mostly-true,mostly-true,"['mostly-true', 'true', 'half-true', 'false', 'mostly-false', 'pants-fire']",6,True
"John Boehner said the jobs of ""teachers and nurses and police officers and firefighters"" are ""'government jobs' that weren't worth saving.""",mostly-false,mostly-false,"['mostly-false', 'mostly-true', 'half-true', 'false', 'true']",5,True
"""We have the most productive workers in the world.""",mostly-true,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire']",5,True
"""Household income in America has gone down for families an average of $4,000 in the last four years"" while it "" went up $5,000"" under Mitt Romney when he was governor of Massachusetts",false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"Since President Obama took office, ""2 million jobs. Gone.""",mostly-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false']",3,True
"Says that as Massachusetts governor, Mitt Romney ""condemned coal-fired plants, saying they kill people.""",mostly-true,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false']",4,True
"Over the last 10 years, incomes for the top 1 percent ""have grown."" Meanwhile, the bottom half of the country, ""they've seen their wages stagnate.""",true,true,"['true', 'mostly-true']",2,True
"""(M)ore Georgians have jobs than at any other time since October 2008.""",true,true,"['true', 'mostly-true']",2,True
"""More businesses are closing than opening in Virginia today.""",false,false,"['false', 'mostly-true', 'mostly-false', 'half-true', 'true', 'pants-fire']",6,True
"“A lot of people can get an additional $2,400” from the CARES Act “and they can do it every month!”",mostly-false,mostly-false,"['mostly-false', 'false', 'mostly-true']",3,True
"Says 
""With nearly 75 percent of Americans supportive of the construction of the pipeline, Schrader needs to explain to Oregon families why he voted against this needed project.""",mostly-true,half-true,"['half-true', 'mostly-true', 'mostly-false', 'false', 'pants-fire']",5,True
“There are now 56 cargo freighters anchored off the coast of California from Oakland to Long Beach in what can only be considered a manufactured supply-chain halt.”,mostly-false,false,"['false', 'mostly-false', 'mostly-true', 'half-true', 'true', 'pants-fire']",6,True
"""I created a flat tax in the state of Utah. It took that state to the number-one position in terms of job creation.""",half-true,mostly-true,"['mostly-true', 'false', 'mostly-false', 'half-true', 'true', 'pants-fire']",6,True
"""As Virginia lost over 65,000 jobs, (Tim) Kaine put partisan ambitions first"" by serving as DNC chairman during the last year of his governorship.",half-true,mostly-true,"['mostly-true', 'true', 'mostly-false', 'false', 'half-true']",5,True
"""Last year, we had zero percent growth in GDP in Virginia ...The only states that did worse than us were Alaska and Mississippi.""",true,true,"['true', 'mostly-true', 'half-true', 'false', 'mostly-false']",5,True
"""The largest number of bankruptcies in our country are really as a result of health care.""",half-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'false', 'true', 'pants-fire']",6,True
"""Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible.""",false,mostly-false,"['mostly-false', 'false', 'pants-fire', 'half-true', 'mostly-true']",5,True
"""Ohio’s electricity rates are 10 percent below the national average.""",mostly-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false']",3,True
"""Minnesota has passed and Indiana has passed"" right to work laws making union membership and dues optional",half-true,half-true,"['half-true', 'mostly-true', 'mostly-false']",3,True
"California’s Central Valley and Inland Empire ""are experiencing tremendous job growth.""",mostly-true,true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"Says Rob Portman ""said the auto rescue was a lousy deal for Ohio.""",mostly-true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Two million more Latinos are in poverty today than when President Obama took his oath of office less than eight years ago.""",half-true,mostly-false,"['mostly-false', 'false', 'half-true', 'mostly-true', 'true']",5,True
"Says the CBO estimates that fully extending the Bush tax cuts would add 600,000-1.4 million jobs in 2011 and 900,000-2.7 million jobs in 2012.",half-true,half-true,['half-true'],1,True
"""95 percent of the world’s customers are … beyond our shores.""",half-true,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false', 'false']",5,True
"Since Rep. John Boccieri’s election, ""Ohio has lost 600,000 jobs"" and his district’s ""unemployment has doubled.""",pants-fire,pants-fire,"['pants-fire', 'false']",2,True
"Says Donald Trump is ""against minimum wage.""",mostly-false,mostly-true,"['mostly-true', 'mostly-false', 'half-true', 'true', 'false']",5,True
