statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"The health care reform bill ""is the largest tax increase in U.S. history.""",false,mostly-true,"['mostly-true', 'false', 'true', 'mostly-false', 'half-true', 'pants-fire']",6,True
"The Senate GOP plan does not raise taxes for Americans earning less than $70,000.",half-true,false,"['false', 'mostly-true', 'mostly-false', 'true', 'half-true', 'pants-fire']",6,True
"""What happens is people like Warren Buffett — and he says this himself...pay 15 percent on the millions of dollars that they earn from wealth income... while their secretary is paying a higher rate on her work income. It's not right.""",true,mostly-true,"['mostly-true', 'true', 'half-true', 'false', 'mostly-false']",5,True
Says he has never voted for raising taxes.,true,false,"['false', 'mostly-false', 'mostly-true', 'half-true', 'true', 'pants-fire']",6,True
"“The Congressional Budget Office says 90% of the revenue generated from the new IRS agents will come from people making less than $200,000 … and the revenue generated will be $300-plus billion.”",false,mostly-true,"['mostly-true', 'false', 'true', 'mostly-false', 'half-true', 'pants-fire']",6,True
"John McCain offers ""billions in tax breaks for oil and drug companies, but almost nothing for families like yours.""",mostly-false,mostly-true,"['mostly-true', 'mostly-false', 'half-true', 'false', 'true', 'pants-fire']",6,True
"""The tax burden on Virginia families was lower under Tim Kaine than under George Allen.""",mostly-false,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false', 'false']",5,True
"""We have cut taxes more than 40 times in four years.""",half-true,mostly-true,"['mostly-true', 'true', 'mostly-false', 'false', 'half-true', 'pants-fire']",6,True
"""Even the CBO numbers show now that the entire $1.5 trillion tax cut is virtually paid for by higher revenues and better nominal GDP.""",false,mostly-true,"['mostly-true', 'false', 'mostly-false', 'half-true', 'true', 'pants-fire']",6,True
"Rhode Island ""didn't ratify the 13th Amendment to the Constitution to pay federal income taxes. So Rhode Island doesn't even have to pay federal income taxes.""",pants-fire,false,"['false', 'true', 'mostly-false', 'mostly-true', 'half-true', 'pants-fire']",6,True
"""I didn't endorse"" the federal stimulus bill.",pants-fire,true,"['true', 'mostly-true', 'false', 'mostly-false', 'half-true', 'pants-fire']",6,True
"""From the ‘Do As I Say Not As I Do’ department: federal employees owe $3.3 billion in back taxes.""",mostly-true,true,"['true', 'mostly-true', 'false', 'half-true', 'mostly-false']",5,True
