statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"""There are no earmarks"" in the stimulus bill.",false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"""Our bold reforms have Wisconsin’s unemployment rate down to an all-time LOW of 2.9 percent, and the number of people working at an all-time HIGH!""",half-true,mostly-true,"['mostly-true', 'half-true', 'false', 'mostly-false', 'true']",5,True
"""In Rhode Island today, 25 percent of our households either don't have a bank account at all, or they have a bank account and they're still relying on high-cost financial services like payday loans, pawn shop check cashing and so on.""",true,true,['true'],1,True
"""In the ‘old days’ if you were president and you had a good economy, you were basically immune from criticism.""",pants-fire,false,"['false', 'mostly-false']",2,False
"""Since 1973, the income of the bottom 90 percent, so pretty much all of us, didn’t budge, or even retreated a little bit.""",half-true,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire']",5,True
"""Over the past eight years, black youth unemployment is up.""",mostly-false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"Says West Virginia is ""down to around 50 percent of the adult workers who are actually working now because of addiction or conviction.""",half-true,mostly-false,"['mostly-false', 'half-true', 'false', 'mostly-true', 'pants-fire']",5,True
"The president's budget ""would take ... non-defense spending to its lowest level ... as a percentage of the economy since JFK.""",mostly-true,mostly-true,"['mostly-true', 'true', 'half-true', 'false', 'mostly-false']",5,True
"""Social Security was advocated … in the 1930s as a way of getting people to quit working, because they thought we were confined to a permanent scarcity of jobs in this country.""",mostly-false,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true']",5,True
"""We now have historic low unemployment in America among all groups of people.""",half-true,false,"['false', 'mostly-false', 'half-true']",3,True
"The ""highest economic growth decade was the 1960s. Income tax rates were 90 percent.""",mostly-true,false,"['false', 'mostly-false', 'half-true', 'true', 'mostly-true']",5,True
"""Thirty percent of [Sheldon Whitehouse' campaign] money is coming from special interests.""",mostly-true,false,"['false', 'mostly-false', 'pants-fire']",3,False
"""Social Security didn’t cause the debt crisis. Social Security had nothing to do with the debt crisis.""",mostly-true,false,"['false', 'mostly-false', 'half-true', 'true', 'mostly-true']",5,True
"""In Rhode Island, a recent study showed that among a group of people who had been homeless for a year or more, Medicaid costs averaged about $60,000 per person.""",false,false,"['false', 'mostly-false', 'half-true', 'pants-fire']",4,True
"Rhode Island has invested less in tourism, economic development and economic development personnel than four nearby states.",mostly-false,true,"['true', 'false', 'half-true', 'mostly-true', 'mostly-false']",5,True
"(Since 1990) ""every continent has seen substantial gains, with individual incomes growing by more than a third in every region of the developing world.""",mostly-true,true,"['true', 'false']",2,False
"""We will have the highest general revenue in state history next year. Conservative pro-growth policies work in our state.""",mostly-false,true,"['true', 'mostly-true', 'false']",3,False
"The 2011 Rebuild America Jobs Act ""would have cost the average American family $1,000 a year while making no significant impact to fix our infrastructure and roads.""",false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"""Business spirit is the highest it's ever been, according to polls.""",mostly-false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"""We have the lowest percentage of Americans actually holding a job in 40 years.""",mostly-true,false,"['false', 'mostly-false', 'pants-fire', 'half-true']",4,False
"""Over the last several years, 40 percent (of) the jobs created in Texas were created for illegal aliens.""",half-true,false,"['false', 'mostly-false', 'half-true', 'pants-fire']",4,True
"""Independent analysts say (Donald Trump) would add $30 trillion to the national debt.""",half-true,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire']",5,True
"""Most Texans aren't millionaires.""",true,false,"['false', 'true', 'mostly-false', 'mostly-true', 'half-true']",5,True
"“We used to rank No. 1 in the world in research and development, now we rank No. 9. China used to rank No. 8, now it ranks No. 2.”",mostly-false,mostly-false,"['mostly-false', 'false', 'half-true', 'mostly-true', 'true']",5,True
Kamala Harris voted in favor of passing a law in 2022 to tax tips.,false,false,"['false', 'mostly-false', 'pants-fire', 'half-true']",4,True
"""It’s gotten to a point where the average federal worker makes twice as much as the average private sector worker.""",false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"Says Missouri families’ ""earning power is about $5,000 less today than it was at the turn of the century.""",mostly-true,true,"['true', 'false', 'mostly-false', 'half-true', 'mostly-true']",5,True
"Says that in the last five years, Texas ""created more jobs than all other states combined.""",half-true,half-true,"['half-true', 'true', 'false', 'mostly-true', 'mostly-false']",5,True
"""A grant for $5,000 [from the Governor’s Workforce Board] went to teach an employee at a company that makes ornamental business card holders how to use Facebook and Twitter.""",mostly-false,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true']",5,True
"""Since passage of the Tax Cuts and Jobs Act, Walmart 'increased their starting wage to $11/hr & has given about $400 million in bonuses.'""",true,true,"['true', 'mostly-true', 'false']",3,True
"Under Gov. Mitt Romney, Massachusetts ranked ""47th in job creation.""",half-true,false,"['false', 'half-true', 'mostly-false', 'mostly-true']",4,True
"""Our rainy day fund has gone from 89 cents to $240 million.""",true,true,"['true', 'false']",2,True
"""Since February 2009, the private sector has lost millions of jobs while the federal government has grown by hundreds of thousands of workers.""",half-true,half-true,"['half-true', 'mostly-true', 'false']",3,True
"Right-to-work states ""have higher rates of income growth.""",half-true,half-true,"['half-true', 'false', 'mostly-true', 'mostly-false']",4,True
"""Hunters contribute more than $500 million"" to West Virginia.",mostly-true,false,"['false', 'half-true', 'mostly-true', 'true', 'mostly-false']",5,True
"“Because wages are rising, this Thanksgiving dinner is the fourth-cheapest ever as a percentage of average earnings.”",mostly-true,true,"['true', 'mostly-true', 'half-true', 'false']",4,True
"""Minnesota has passed and Indiana has passed"" right to work laws making union membership and dues optional",half-true,false,"['false', 'half-true', 'mostly-false', 'mostly-true']",4,True
"""Two million more Latinos are in poverty today than when President Obama took his oath of office less than eight years ago.""",half-true,false,"['false', 'mostly-false', 'half-true', 'pants-fire']",4,True
"Says Marilinda Garcia supports ""$150 billion in new taxes.""",pants-fire,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire']",5,True
Says Texas economy is about 30 percent larger than Australia’s.,false,false,"['false', 'mostly-false', 'pants-fire']",3,True
