statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered,trial
“They removed your ability to go buy firearms the day of election.”,false,false,"['mostly-false', 'false']",2,True,1
"Five Wisconsin cities received money for the 2020 election from Mark Zuckerberg, which amounted to ""a wave of massive election bribery.""",pants-fire,pants-fire,['pants-fire'],1,True,1
"If Joe Biden steps down, Nancy Pelosi will become vice president.",false,false,['false'],1,True,1
"In voting by mail, “hundreds of thousands of ballots have been rejected for defects and millions more end up missing or in landfills.”",mostly-false,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
“Every single Senate Democrat voted against hiring more border agents. They voted against deporting felons. And they voted against ending catch and release.”,mostly-false,false,"['mostly-false', 'false']",2,True,1
“No governor in Virginia has ever won when...he or she is the same party as the sitting president.”,false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True,1
"States with voter ID laws have seen ""zero decrease"" in participation. ""Most have seen an increase.""",mostly-false,mostly-false,"['mostly-false', 'false']",2,True,1
"""In December of 2017, the Prince William board of supervisors had a meeting ... (Corey Stewart) skipped that meeting to go campaign in Alabama for Roy Moore to be a U.S. senator … You haven't disavowed Roy Moore's name yet.""",true,true,"['true', 'mostly-true']",2,True,1
"""Legally, it doesn't make any difference"" which state district you live in when running for Congress.",true,true,['true'],1,True,1
"“If you count the legal votes, I easily win. If you count the illegal votes, they can try to steal the election from us.”",pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
“The New York City ballot form is a scam” because “mayoral candidates appear twice.”,false,false,"['mostly-false', 'false']",2,True,1
"""Chris Christie has led New Jersey to a record-breaking 9 credit downgrades.""",mostly-true,true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True,1
"""Since 2015, Scott Walker has not done a public event where you don't have to pay admission or be on an approved list.""",half-true,half-true,"['mostly-true', 'half-true']",2,True,1
"“Electronic voting machines didn't allow people to vote” in Maricopa County, Arizona.",false,false,"['mostly-false', 'false']",2,True,1
"“You’ve probably heard that Taylor Swift is endorsing Joe B.""",false,false,['false'],1,True,1
“The FBI tapped my phone” and those of other senators.,mostly-false,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
"“This month alone, more than 16,000 non-citizens have been removed from the voter rolls in 3 states.”",half-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
"""@realDonaldTrump is coming to San Antonio, which is 60% Mexican-AMERICAN.""",mostly-true,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
"CNN coverage has evidence of the “single most egregious, real-time example of electronic vote fraud.”",pants-fire,false,"['mostly-false', 'false']",2,False,1
“Prices are up because these corporations are scheming to drive them up.”,mostly-false,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
"Says Sen. Bob Casey, D-Pa., “is trying to change the outcome of the election by counting NON-CITIZEN votes.”",false,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
Pens provided by Maricopa County are part of a plot to rig the Arizona primary.,false,false,"['mostly-false', 'false']",2,True,1
Former President Donald Trump “cut overtime benefits for millions of workers.”,mostly-false,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
An “anti-Black Lives Matter” flag replaced the American flag behind President Trump during a Waukesha campaign rally.,mostly-true,false,"['mostly-false', 'false']",2,False,1
"Voting for ""any Democrat"" gets you ""socialism ... undefended open borders ... immediate tax increases ... 100 percent government-run health care ...""",pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
"Says he ""fought Obama twice and won to stop illegal immigrants from voting.""",false,false,"['mostly-false', 'false']",2,True,1
"I received ""more votes from young people — black, white, Latino, Asian American and Native American — than Donald Trump and Hillary Clinton combined.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True,1
An election worker in Georgia threw away a ballot.,false,false,"['mostly-false', 'false']",2,True,1
Ted Cruz is in negotiations to be Donald Trump’s running mate.,false,false,"['mostly-false', 'false']",2,True,1
"Sen. Kay Bailey Hutchison's  ""concession speech came with less than 20 percent of the precincts  having been counted.""",mostly-true,mostly-true,['mostly-true'],1,True,1
"McCain ""hired some of the biggest lobbyists in Washington to run his campaign.""",true,true,['true'],1,True,1
"""21% of 140,000 ballots were found to be in error in GA.”",mostly-false,false,"['mostly-false', 'false']",2,True,1
"Says Sen. Mitch McConnell's delay in seating Alabama Sen.-elect Doug Jones ""is a flagrant violation of Senate policy, which requires Jones assume office the instant one of them wins the election.""",false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True,1
“Voter fraud investigations are being banned by Michigan lawmakers!”,false,false,"['mostly-false', 'false']",2,True,1
"Judge Jeff Davis ""spent years defending a convicted cop killer"" and ""tried to get him off the hook.""",half-true,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
"""The president came in and campaigned against me 12 times.""",mostly-false,mostly-false,['mostly-false'],1,True,1
"The 2020 election could not have been fair because “Los Angeles County agreed, during litigation, that there were 1.2 million ineligible voters after the election.”",false,false,"['mostly-false', 'false']",2,True,1
Says Joe Biden said “dozens of police were killed” during the Jan. 6 attack on the U.S. Capitol but “exactly zero people” died that day.,pants-fire,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,False,1
"""Barack Obama said he would debate 'anywhere, anytime' but has rejected joint town hall meetings.""",half-true,half-true,"['mostly-true', 'half-true', 'mostly-false']",3,True,1
"The audit of the 2020 presidential election in Maricopa County, Ariz., “cost the taxpayers $6 million.”",mostly-false,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
"""In Cuyahoga County ... 56 percent of weekend voters in 2008 were African American while adult African Americans comprise 28 percent of the county population.""",true,true,['true'],1,True,1
"""I won the South Carolina primary in 2004, and I was way behind in the polls at this stage in 2004.""",half-true,mostly-true,"['mostly-true', 'half-true']",2,True,1
The order of candidate names on North Carolina’s ballot shows a “clear attempt at voter manipulation.”,false,false,"['mostly-false', 'false']",2,True,1
"""Nearly 200,000 Florida voters may not be citizens.""",false,false,"['mostly-false', 'false']",2,True,1
"He's been endorsed by ""every major newspaper here in the state of Texas.""",true,true,"['true', 'mostly-true']",2,True,1
"""Let me say that I don't think (Bernie Sanders has) had a single negative ad ever run against him.""",false,false,"['mostly-false', 'false']",2,True,1
"Vans filled with 50,000 ballots show up in Philadelphia during live MSNBC report.",false,false,['false'],1,True,1
"The U.S. House Select Committee that investigated the Jan. 6, 2021, attack on the U.S. Capitol “deleted and destroyed all of the information that they collected over two years.”",false,false,"['mostly-false', 'false']",2,True,1
“Dave McCormick is fully against abortion.”,mostly-false,false,"['half-true', 'mostly-false', 'false']",3,True,1
An obscure filing with the Federal Election Commission shows Biden has formally announced his bid for another term.,false,false,['false'],1,True,1
"“The recent statement by Chris Krebs on the security of the 2020 Election was highly inaccurate, in that there were massive improprieties and fraud.""",pants-fire,false,"['false', 'pants-fire']",2,True,1
"""#Broward elections department has a history of violating the law.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True,1
Dominion Voting Systems employee Eric Coomer told an Antifa meeting he “made sure” Donald Trump wouldn’t win.,false,false,['false'],1,True,1
"Says gubernatorial candidate Clay Pell ""hasn't spent a dime on advertising.""",pants-fire,false,"['mostly-false', 'false']",2,False,1
"""A record number of Hispanics were elected to the U.S House of Representatives...""",mostly-true,mostly-true,['mostly-true'],1,True,1
"Goldman Sachs was Barack Obama's ""No. 1 private contributor.""",true,true,['true'],1,True,1
"Says that several times in the last 15 years, Austin City Council candidates have won seats after trailing by more than 4,000 votes in the election prompting the runoff.",half-true,half-true,['half-true'],1,True,1
"""Today roughly half of born-again Christians aren’t voting. They’re staying home.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True,1
"Last year, Democrats won nearly 50% of the vote, yet they hold only 38% of the seats in the state House and 30% of the seats in the state Senate.",mostly-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
Says President Joe Biden said that Democrats should not vote in the New Hampshire primary.,pants-fire,false,['false'],1,False,1
"Says Greg Abbott ""converted over $1 million in federal grant money intended for use to prosecute online sexual predators and other cyber crimes and instead used it to harass and prosecute senior citizens who were assisting other senior citizens in applying for mail-in ballots.""",false,mostly-false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True,1
"""There's no negative advertising in my campaign at all.""",pants-fire,pants-fire,['pants-fire'],1,True,1
"Because the Federal Reserve recently cut interest rates to near 0%, “the Fed will be of little consequence now. They’ve already used what leverage they have.”",false,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
