statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"""Most of the jobs that we lost were lost before the economic policies we put in place had any effect.""",true,true,['true'],1,True
"""For every $10,000 invested in business incubators, up to nearly 70 local jobs are generated.""",true,true,['true'],1,True
"Unemployment numbers ""are artificial numbers. These are numbers that are massaged to make the existing economy look good, to make this administration look good when, in fact, it's a total disaster.""",pants-fire,false,"['false', 'mostly-false', 'half-true']",3,False
"""We have the second highest corporate tax rate among our trading partners.""",mostly-true,true,"['true', 'mostly-true', 'half-true', 'false', 'mostly-false']",5,True
“Take-home pay for workers is going up.”,half-true,half-true,"['half-true', 'mostly-true', 'false', 'mostly-false', 'true']",5,True
"""Every day, a black name resume is 50 percent less likely to get responded to than a white name resume.""",mostly-true,false,"['false', 'true', 'half-true', 'mostly-false', 'mostly-true']",5,True
“A year ago we had the lowest unemployment in history without using taxpayers money.”,false,false,"['false', 'pants-fire']",2,True
"""In America today, women on average are paid 80 cents on the dollar of what men are paid for the same work.""",mostly-false,false,"['false', 'mostly-false', 'half-true']",3,True
"""More than 70,000"" job openings are listed on a state jobs website.",mostly-true,mostly-true,"['mostly-true', 'false', 'mostly-false', 'half-true', 'true']",5,True
"""Unemployment in the city of St. Petersburg is below the state average.""",mostly-true,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'true', 'pants-fire']",6,True
"The United States has experienced ""40 straight months of unemployment at 8 percent or higher.""",true,false,"['false', 'mostly-false']",2,False
"""The unemployment rate among blacks in Texas is 9.5% -- far more than double white unemployment -- and wages have fallen for black workers in Texas since 2000.""",true,false,"['false', 'true', 'half-true', 'mostly-true', 'mostly-false']",5,True
"President Obama pushed through the stimulus ""based on the promise of keeping unemployment under 8 percent.""",mostly-false,false,"['false', 'mostly-false', 'pants-fire']",3,True
“There are fewer Iowans working today than when Gov. Reynolds took office.”,mostly-true,false,"['false', 'mostly-false', 'true', 'half-true', 'pants-fire']",5,False
"Under President Barack Obama’s jobs bill, ""you can sue if you are unemployed and don't get the job and think you weren't hired because you are unemployed.""",true,true,"['true', 'false']",2,True
"Over the last six months, President Barack Obama has golfed 10 times and held 106 fundraisers, but his jobs council has never met.",true,false,"['false', 'mostly-false', 'true', 'half-true', 'pants-fire']",5,True
"""Owen in MA vs. Owen in RI … Advantage:Rhode Island.""",true,false,"['false', 'mostly-false', 'half-true', 'pants-fire']",4,False
“The Harris-Biden Administration has been caught fraudulently manipulating Job Statistics.”,pants-fire,false,"['false', 'mostly-false']",2,False
"Says Wisconsin Assembly Republicans voted to repeal a law that ensures ""that women cannot get paid less than a man for doing the same job.""",mostly-false,mostly-false,"['mostly-false', 'false', 'half-true', 'mostly-true']",4,True
"Says, ""Less than half of all states have legal protections on the basis of sexual orientation or gender identity, despite the fact that LGBT Americans report employment discrimination and unemployment at much higher rates than the U.S. average.""",mostly-true,true,"['true', 'mostly-true', 'half-true']",3,True
"""Even with full control of the House, Senate and White House, Republicans have still failed to deliver on their promise of higher wages for working families.""",mostly-false,false,"['false', 'mostly-false', 'half-true', 'pants-fire']",4,True
