statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"""Having an active father makes children 98 percent more likely to graduate from college.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
Says his amendment on a budget bill “would have helped get kids back in school after teachers were vaccinated. Every single Senate Democrat voted against it.”,half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
“Nearly 90% of all UW graduates stay in Wisconsin 5 years after they graduate.”,true,mostly-true,"['true', 'mostly-true', 'mostly-false', 'false']",4,True
"""Under Greg Abbott, Texas four-year-olds would be forced to undergo standardized tests.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"“To children and the vast majority of young and middle-aged adults and the vast majority of teachers, (the coronavirus) poses virtually zero threat.""",mostly-false,false,"['mostly-true', 'mostly-false', 'false', 'pants-fire']",4,True
"""New Mexico was 46th in teacher pay (when he was elected), now we're 29th.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""The largest category of people coming into the technical schools in Wisconsin are people with four-year degrees.""",false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"When students leave our high schools and they go to the community college, 70-75 percent of them have to pay to take remedial math.",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
"""When public schools face increased competition, they get better and kids learn more.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"With federal stimulus money for schools, “no distinctions are being made between Wisconsin schools that remain closed to in-person learning, and those that have been re-opened for months.”",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""All"" University of Texas ""student-athletes get an iPad.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says Minnesota has more Fortune 500 companies than Oregon and ""one of the most obvious differences is they've invested in their schools.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""The current (agriculture) commissioner allowed tainted beef to be sent to school cafeterias.""",false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""One generation ago we led the world in college graduation. We're 16th today.""",mostly-true,true,"['true', 'mostly-true']",2,True
“The (Evers) Era locked Wisconsin families into a 400‑year property tax increase.”,mostly-true,false,"['mostly-true', 'mostly-false', 'false']",3,True
''Both Democrats and Republicans are advocating for the use of student test scores to measure teacher effectiveness.'',half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""North Carolina spends $855 less per student than it did before the Great Recession, and we have one of the lowest per pupil spending levels in the nation.""",mostly-true,mostly-true,"['true', 'mostly-true']",2,True
"""Fifty percent of kids coming out of school can't get a job.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
Says Ovide Lamontagne wants to eliminate kindergarten.,mostly-false,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"""We have SAT scores lower than that of Alabama.""",half-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"When SACS came back to the DeKalb County School District to give a midterm review, we got straight A’s.",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Iran President Hassan ""Rouhani has more Cabinet members with Ph.D.s from American universities"" than members of Barack Obama’s Cabinet.",true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""In eighth grade math, we’ve fallen to ninth place.""",false,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"The salaries of Wisconsin’s best-educated public school teachers were ""slashed"" by Gov. Scott Walker through a recent administrative rule change.",false,mostly-false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says New Jersey’s tenure law ""has now been reformed to say that if teachers get two years of partially effective or ineffective ratings they lose tenure.""",false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
Annexation would lead to overcrowding at Decatur’s city schools.,false,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
“Kids are resistant to COVID as opposed to older people.”,half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""Teachers spend $1.6 BILLION per year on school supplies. The Republican tax bill ELIMINATES their ability to deduct those expenses.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""The Common Core was not put together by the Department of Education in Washington. It was put together by governors and by states.""",mostly-true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Tammy Baldwin ""opposed displaying the flag and reciting the Pledge of Allegiance or singing the National Anthem in our classrooms.""",mostly-false,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Half the kids coming out of college this year … can't find a job, or a job that's consistent with a college degree.""",true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Students In Fla. High School Forced To Recite Islamic Prayer, Make Prayer Rugs.""",mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"Rhode Island ""charter schools are nationally recognized as outperforming their counterparts across the country.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"When discussing education savings accounts, ""We would be 31st in the nation to have these policies going forward on behalf of kids.”",half-true,mostly-true,"['true', 'mostly-true', 'mostly-false', 'false']",4,False
"Leticia Van de Putte ""voted to stop schools from removing teachers convicted of a felony.""",mostly-false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""Our last budget committed the highest level of need-based financial aid in state history.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"“We have scientific data, from all different levels, but particularly from the high school sports levels, from numerous different states that shows that it is safe to play what New York is considering high-risk sports.”",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says he ""raised graduation rates to nearly 90 percent.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Tennessee new law passed 48 hours ago now makes it illegal to teach Black history in the grades K-12.""",mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"Rural schools ""face the highest dropout rates, the lowest college enrollment rates, have the lowest average teacher salaries...""",half-true,mostly-true,"['true', 'mostly-true']",2,False
"Challenger Tim Tuggey ""is a lobbyist who donated over $41,000 to Democrats who support abortion and same-sex marriage.""",mostly-false,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
Slot machines in Miami-Dade and Broward counties have generated 20 percent of the promised $500 million per year for schools.,mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
Says Texas lawmakers last year expanded public education’s share of state spending.,mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Under my predecessor, they cut funding for education, but they didn't give them anything in return to make up for that,"" leading to ""less money"" for school districts",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
“The average cost of child care in this country is more than what it costs to send a child to college for one year.”,mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
Says John Kitzhaber’s proposed budget for upcoming biennium represents 8 percent increase over last,mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Violent crime is up since the last year of Sharpe James’ administration. This year it’s higher. … The unemployment rate is almost 15 percent. The high school dropout rate is over 50 percent.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""You know how many children in the history of the United States have died in a fire (at school)? Zero.""",false,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"Says Tony Thurmond was ""sued by the ACLU"" for leaving students in unsafe conditions.",false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"“Kids are less likely to get it (COVID-19). You know, they’re less likely to spread. So I think there’s some pretty good data out there that will help alleviate some of the concerns.”",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
"Under Scott Walker, Wisconsin ""moved from 16th to third in percentage of people with student loan debt.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"The HOPE scholarship ""has helped turn our University System into one of the best in the Southeast, with two institutions ranked in the top 20 of public universities in the country.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""[Federal] law says that you can't give in-state tuition to an illegal alien … unless you first offer it to any other student regardless of their state of residence.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"“The Walker-Kleefisch administration slashed $800 million from public schools.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says state Sen. Steve Ogden was the ""driving force behind business income tax hurting small business, crafted the Robin Hood school finance scheme making property taxes skyrocket, wrote a budget that will result in a $14 billion deficit and voted against"" gun freedoms.",false,mostly-false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""The unemployment rate for folks who've never gone to college is almost double what it is for those who have.""",true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
Say Portland Public Schools' central administration makes up less than 4 percent of the staff.,mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says opponents of proposed Austin school district bonds say the district’s ""debt load doubles with these new bonds.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Florida’s high school graduation rate falls well below the national average.""",true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"Says Mike DeWine took $40,000 from ECOT and ""did nothing while the online for-profit school lied about enrollment and took millions meant for our kids.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Central Falls ""schools are overfunded by state money by as much as $8 million.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
“More than half of Virginia’s school buildings are older than 50 years.”,true,true,"['true', 'mostly-true']",2,True
"The University of Wisconsin System ""will be much more affordable than just about any other campus in America"" because ""going forward we have a cap on it tied to inflation.""",false,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"""While fat-cat bureaucrats at the Department of Education are getting paid an average salary of $102,000 a year, teachers in Georgia are getting paid half of that.""",mostly-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""Every dollar we invested in high-quality, early education programs can save more than $7 later on by boosting graduation rates, reducing teen pregnancy, even reducing crime.""",half-true,true,"['true', 'mostly-true']",2,False
“Under Terry McAuliffe (there was a) record investment in education.”,mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"Says Rick Scott ""raised property taxes.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""There are more young black males involved in the criminal justice system than there are in higher education.""",false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""The Republicans have demanded deep cuts in education. They've demanded cuts in cancer research and other research to find cures and treatments to diseases.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"It's illegal for a college, public school or employer to ""mandate"" the vaccine because it was authorized for emergency use.",false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
Says Gov. Bob McDonnell's budget would cut pre-kindergarten programs.,mostly-false,true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""Under Pat McCrory, (North Carolina) has fallen to 41st in teacher pay.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"The average student debt ""coming out of the University of Wisconsin-Madison is something like 28,000 dollars.""",mostly-true,mostly-true,"['true', 'mostly-true']",2,True
Says Texas lawmakers in 2011 ordered school districts to test every student on their respiratory system and weight.,mostly-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""When the union says I want to eliminate tenure, that’s not true.""",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"""Today many Florida teachers are at risk of having their pay impacted by the performance of children who are not even in their classrooms or subject areas.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""Florida ranks first in the nation for access to free prekindergarten.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""95 percent of teachers and principals are not implicated in the [Atlanta Public Schools cheating scandal] report at all.""",half-true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""There's no demonstrable evidence they (after-school programs that feed kids) are helping kids do better at school.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Schools in Austin Independent School District are teaching children as young as 4 years old that their gender is fluid – that they’re not a boy or a girl and they can choose whichever gender they want.""",mostly-false,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
The 2011 Legislature did not cut Texas public school funding.,pants-fire,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,False
"School children can earn higher grades by studying Islam under a new ""nationwide Muslim outreach program"" announced by President Barack Obama.",pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True
"Says Scott Walker rejected legislation to make college loan payments tax deductible and the result was ""to raise taxes on students.""",false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""For every one ESD superintendent position, we can pay for three speech pathologists, or three special needs instructors, or three classroom teachers.""",false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"The Providence teacher contract ""is one of the longest in the country.""",false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
“North Carolina teachers are already the lowest paid teachers in the south.”,mostly-false,mostly-true,"['true', 'mostly-true', 'mostly-false', 'false']",4,True
"""Obama Signs Bill Forgiving All Student Loan Debt.""",pants-fire,false,"['false', 'pants-fire']",2,True
"Says three research universities ""came out and said (CPS is) the best public school system in the United States of a major urban system.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""By spring 2014, parents of 60,000 students in New York state had refused to let them take the Common Core Tests.""",mostly-true,true,"['true', 'mostly-true']",2,True
"Says we will pay the new chancellor ""a basic salary of nearly $300,000 a year ... an amount that does not include the costs of this public employee’s benefits, perks and living expenses for a lavish house, an upscale car, a spending allowance, and fine dining almost every day on the taxpayer dollar.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Already in Wisconsin we have seen fewer people pursuing education as a career"" due to the Act 10 collective bargaining law.",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""Parents that go to school board meetings"" and question the curriculum are being ""flagged by the Department of Justice and the FBI for attending a meeting.""",false,false,"['mostly-true', 'mostly-false', 'false', 'pants-fire']",4,True
"""This generation, on average, is starting their careers, if they’ve been to a four-year college, with just under $30,000 in debt.""",half-true,mostly-true,"['true', 'mostly-true']",2,False
"""More than half of last year's U.S. college graduates are unemployed or underemployed.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Graduation rates in Buffalo’s school district, which were ""around 48 percent are now up to 64 percent"" since Say Yes Buffalo launched.",true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"In the state rankings for ACT test scores, West Virginia ""is 30th. Which states are listed in the bottom? 15 states with charter schools.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Department of Education officials investigating Virginia Tech shootings ""have not once gotten into the car and driven down to Blacksburg to talk to the police chief or the university president or to anyone else.""",true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"The Milwaukee Bucks are ""actually younger than the Marquette team.""",false,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"A University of Texas ""student pulled out a concealed handgun"" on a knife-wielding suspect ""and made him back down.""",pants-fire,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,False
"""If you are born poor in America, we rank ninth or tenth in our citizens’ ability to climb up through that ladder and get themselves into the middle class.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
"""As chair of the Senate Education Committee, I led the charge to restore most of the education cuts from last session.""",pants-fire,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,False
"A national study of 2,500 charter schools shows that ""maybe 20 percent do better than the community public schools, 40 percent or so do worse and the rest are not having any significant difference.""",true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""Before I was governor, tuition was skyrocketing and we stopped that. We capped and then we froze college tuition.""",true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Last year, Beaverton School District had the highest number of homeless students ever recorded in Oregon.",false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"The Obama administration's policies ""have reduced minority dropout rate by 25 percent.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
“90% of the (school) districts in Wisconsin already have a policy” banning cellphones during class time.,true,mostly-true,"['true', 'mostly-true', 'mostly-false', 'false']",4,True
"""Florida spends more than $300 million a year just on children repeating pre-K through 3rd grade.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Some neighborhood schools are closing.""",mostly-true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Dallas ""African-American and Hispanic students pass AP exams at a higher rate than any other place in America.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Half of American high school students are not familiar with the Holocaust.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""The vast majority of Wisconsin students cannot even read, write, or do math at grade level.""",false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""Since 1999, all Virginia Lottery profits have been used for public education in the Commonwealth for kindergarten through 12th grade.""",mostly-true,true,"['true', 'mostly-true']",2,True
"""Republicans have already cut our neighborhood public schools three budgets in a row.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
The passage of the teacher tenure bill in the Fla. Legislature was like the health care bill in Congress because one party jammed it through.,half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""Education Week rates Ohio schools in the top five in the nation.""",true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"“Think about parents who show up at school board meetings. By this DOJ, they’re called domestic terrorists.”",false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says a Republican bill ""pays for school construction with teacher pay raises.""",false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""We now have our kids go to school about a month less than most other advanced countries.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""In West Virginia, we have 20,000 jobs in which we don’t have skilled workers.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""Over half"" of science, technology, engineering and mathematics students ""receiving advanced degrees are not citizens of the United States of America.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
