statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
Vice President Kamala Harris is “calling for an end to the child tax credit.”,pants-fire,false,['false'],1,False
"""Chrysler is leaving Mexico and moving back to Michigan.""",half-true,false,"['false', 'mostly-false', 'half-true']",3,True
"The typical elementary school teacher pays $7,239 in federal income taxes, and firefighters pay $5,328, while Donald Trump paid $750.",half-true,mostly-false,"['mostly-false', 'false', 'mostly-true', 'half-true']",4,True
"The stimulus program ""cut taxes for 95 percent of the American people.""",half-true,half-true,"['half-true', 'mostly-false', 'mostly-true']",3,True
"Property taxes ""are now 18% higher than when (Mark Sharpe) first took office.""",false,false,['false'],1,True
"Says allowing the payroll tax holiday to expire would end up ""costing another estimated 900,000 jobs in 2012.""",mostly-true,mostly-true,['mostly-true'],1,True
"The United States ""is the only major country that taxes its own exports.""",mostly-false,false,"['false', 'mostly-false', 'half-true']",3,True
"""Under Republican Governor Chris Christie, tolls cost more. Train and bus rides cost more. College tuition goes up. But Christie protected a tax cut for millionaires.""",mostly-true,mostly-true,"['mostly-true', 'half-true']",2,True
"""The Congressional Budget Office estimates that for every $1 we spend on unemployment benefits, $1.90 is put into our economy.""",half-true,mostly-true,"['mostly-true', 'half-true']",2,True
“The Inflation Reduction Act led to higher taxes.”,mostly-false,mostly-false,"['mostly-false', 'false']",2,True
"Rhode Island's unemployment insurance system ""is the most expensive such system in the country.""",false,false,"['false', 'mostly-false', 'half-true', 'mostly-true']",4,True
"The new tax law is ""kicking the American economy into high gear with $5.5 trillion in tax cuts.""",mostly-false,mostly-false,"['mostly-false', 'false']",2,True
"Says California Republican Young Kim is ""a tax cheat"" who ""illegally claimed a $7,000 annual homestead exemption on a house she wasn’t living in,"" had ""multiple tax liens placed on her"" as a result and ""owes over $10,000 in unpaid federal income taxes.""",mostly-false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"""You cannot build a little guy up by tearing a big guy down -- Abraham Lincoln said it.""",pants-fire,false,['false'],1,False
"""The difference over the (previous) four years between where things were headed and where we brought them to over the last four years is a total of $816 in saved property tax money.""",mostly-false,mostly-false,['mostly-false'],1,True
"Independent analysts ""found that Trump's tax plan, given to the wealthy and big corporations, would rack up $30 trillion in debt.""",half-true,mostly-true,"['mostly-true', 'mostly-false', 'half-true', 'false']",4,True
"Like me, Scott Walker opposed the 1998 transportation bill and the $9 billion of wasteful spending.",false,false,['false'],1,True
"""Not one penny of (California’s Prop 67) bag ban tax goes to the environment.""",half-true,false,"['false', 'mostly-false', 'half-true', 'mostly-true']",4,True
"Says President Barack Obama ""has not raised taxes.""",false,false,"['false', 'mostly-false']",2,True
"Under Donald Trump's tax plan, ""the top 0.1 percent of taxpayers -- people earning multiple millions of dollars a year, on average --  would get more tax relief than the bottom 60 percent of taxpayers combined.""",true,true,['true'],1,True
"""Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas' sales tax deduction a decade ago.""",true,false,"['false', 'mostly-true', 'mostly-false', 'half-true']",4,False
"John Boehner wants to reopen a tax loophole ""that actually rewarded corporations for shipping jobs and profits overseas.""",half-true,half-true,['half-true'],1,True
"""It will cost $50,000 per enrollee in Obamacare over the next 10 years.""",false,false,"['false', 'mostly-false']",2,True
Says the Simpson-Bowles deficit reduction proposal urged raising $2 trillion in new revenue.,mostly-false,false,"['false', 'mostly-false', 'half-true']",3,True
"Says his 9-9-9 tax reform plan is not ""regressive.""",false,false,['false'],1,True
"Says that when he was governor of Utah, he worked with the state Legislature to create a flat tax that ""cut income taxes by 30 percent.""",mostly-false,false,"['false', 'mostly-false', 'half-true']",3,True
"""Western New Yorkers pay some of the highest property taxes in the state.""",half-true,true,"['true', 'mostly-true']",2,False
"Tariffs are a “direct, regressive tax on Americans” and President Joe Biden’s new tariffs on Chinese goods will “hit every family.”",half-true,mostly-true,"['mostly-true', 'mostly-false', 'half-true', 'false']",4,True
"Under a law proposed by Wisconsin Gov. Scott Walker, businesses that move into Wisconsin ""don't have to pay any taxes"" on their income for two years.",true,true,['true'],1,True
"""Not one tax has been raised since I've been governor.""",half-true,false,"['false', 'mostly-false', 'half-true']",3,True
"Says Jim Frishe wanted to ""tax us for doing our taxes"" through an accountant.",true,false,"['false', 'mostly-false', 'half-true']",3,False
"""The top 1 percent pay 45 percent of all taxes in the country.""",half-true,mostly-true,"['mostly-true', 'mostly-false', 'half-true']",3,True
"Even high estimates for an early draft of the health care plan are ""less than the $1.8 trillion cost of the Bush tax cuts.""",mostly-true,mostly-true,['mostly-true'],1,True
"""Scott Walker has given a $10,000 tax deduction to millionaires who send their kids to exclusive private schools.""",mostly-false,mostly-false,"['mostly-false', 'mostly-true', 'false']",3,True
"Says an arts tax would provide ""funding for certified arts and music teachers for every elementary school serving Portland residents.""",half-true,half-true,['half-true'],1,True
