statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"For middle-class families under the Baucus plan, ""13 percent of what they make could be deducted directly from their paychecks . . . the so-called 'Max Tax.'""",half-true,half-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""The people who were running the budget, in the Corzine years, decided to steal from the unemployment trust fund. … As did other Governors before. We simply don’t do that, haven’t done it, and won’t permit it.""",mostly-false,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"""75 percent of the Obamacare tax falls on the middle class.""",false,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
Says the estate tax is a threat to family farms.,mostly-false,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"Says that with President Obama's re-election, state and federal income tax rates for some taxpayers will rise ""to roughly 65 percent.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"The House tax plan ""would provide permanent tax cuts for individuals who are multi-millionaires and billionaires,"" but ""all middle-class families will eventually face a tax increase, since tax relief for them expires.""",half-true,half-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"The sales tax increase, if approved, will cost taxpayers ""up to $300 million per year, in perpetuity, to finance a rail system for the City of Tampa.""",mostly-false,false,"['half-true', 'mostly-false', 'false']",3,True
"""On (Tom) Wolf’s watch, taxes were high, killing 100,000 PA jobs.""",mostly-false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True
"""Every time we've cut the capital gains tax, the economy has grown. Whenever we raise the capital gains tax, it's been damaged.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"When it comes to income taxes, Wisconsin is ""one of the best places in the country to be poor"" but ""top 4 or 5 worst"" for middle-income earners.",mostly-true,mostly-true,"['mostly-true', 'half-true']",2,True
"""Colorado raked in $60 million in marijuana taxes and licensing fees in the past year.""",true,true,['true'],1,True
Says Nancy Pelosi’s coronavirus bill includes “tax credits for solar and wind energy … retirement plans for community newspaper employees … $300 million for PBS … climate change studies” and more.,mostly-true,false,"['mostly-false', 'false', 'pants-fire']",3,False
"""When the Fair Tax becomes law, it will be like waving a magic wand releasing us from pain and unfairness.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"Sen. Joe Manchin ""stands with Hillary Clinton and D.C. Dems on gun control, higher taxes, amnesty, and Planned Parenthood.""",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"The state and local tax deduction is a major benefit for moderate-income households because ""50% of households that claim State & Local Tax deduction make under $100K.""",mostly-true,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,False
"Says Rick Scott ""raised property taxes.""",mostly-false,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"New York state has the ""second highest millionaires tax in the nation.""",mostly-false,false,"['true', 'half-true', 'mostly-false', 'false']",4,True
"With a bill bringing $100 million in property tax relief, ""the typical Wisconsin homeowner will save approximately $680 over four years.""",pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""We have the highest (corporate tax rates) in the world right now.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
Says U.S. Senate opponent Tommy Thompson favors raising taxes on small businesses.,mostly-false,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"""As governor, Kasich delivered the largest tax cut in the nation.""",mostly-false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True
"""We passed without, frankly, the help of the Republican caucus, we passed 25 tax cuts last year, mostly aimed at the middle class and small businesses.""",true,true,['true'],1,True
"In 2004, ""20 percent of U.S. households were getting about 75 percent of their income from the federal government. ... Another 20 percent were receiving almost 40 percent.""",mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"People buy more items during Georgia’s sales-tax holidays, boosting economic activity.",half-true,half-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"The GOP tax plan ""Sabotages the health care of 13 MILLION Americans.""",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"Boston is just 60 minutes away and it’s offering subsidies to developers who can charge higher rent than you can get in Providence while construction costs are more or less equal. As a result, the Boston skyline ""is completely dominated by the cranes.""",true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""Roy Cooper won't say how he will pay for ‘free’ college tuition.""",half-true,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
Taking all the money of the top 1 percent wouldn’t keep Medicare going for three years.,mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""The Florida Legislature raised taxes and fees by almost $2 billion"" in the 2009 session.",true,true,"['true', 'false']",2,True
"Says his transportation plan ""would make Virginia the first state in the nation to eliminate the state tax on gasoline.""",true,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,False
"After enactment of the Republican tax bill, ""school teachers can no longer deduct the cost of their classroom supplies on their taxes.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""[E]xcise tax increases drive commerce across state lines.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""With the tax controls we already put in place, property taxes on a typical home in December of 2014 will actually be lower than they were in December of 2010.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""U.S. Olympic medal winners will owe up to $9,000 to the IRS.""",mostly-false,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"As Tennessee governor, Phil Bredesen ""supported higher taxes on us. Higher gas taxes. Higher sales taxes.""",false,false,"['mostly-false', 'false']",2,True
"""Bill McCollum said tax cuts don't work.""",mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""The ‘tax plan’ rolled out by @realDonaldTrump would have cut his taxes by $30 million in 2005 (the only year we have returns for).""",mostly-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""More astronauts have been to the moon than farmers who paid the inheritance tax in 2013.""",mostly-true,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,False
"Says ""Tommy Thompson's tax plan amounts to an average tax cut of almost $87,000 for the top 1 percent.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says Mitt Romney's plan ""calls for a $5 trillion tax cut.""",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"""Gov. Kasich and the Republican-dominated legislature have foregone the popular option of closing tax loopholes that amount to $7 billion annually in this state.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'false']",4,True
"The jobs bill includes ""President Obama's tax on soup kitchens""",mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""Congressman (Ron) DeSantis sponsored legislation to increase sales taxes by 23 percent, hurting families, destroying jobs, devastating tourism""",mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""For decades, Madigan kept property taxes high and made a fortune helping cronies like Pritzker dodge them.""",mostly-false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True
"""I have cut taxes 63 times, including a 2006 property tax reduction that ranks as the largest in state history.""",mostly-false,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""Americans received the biggest tax cut in history last year.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""Mike Huckabee raised taxes on dog groomers!""",mostly-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"A transaction tax in countries like the UK ""didn't affect their financial markets at all.""",mostly-false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True
"Says ""half the Americans don't pay any income taxes.""",true,false,"['true', 'half-true', 'false']",3,True
"While in the Illinois Senate, Barack Obama passed ""tax cuts for hard-working families.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
Says taking millionaires off food stamps and unemployment would save $20 million.,mostly-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""Americans will spend more on taxes in 2014 than they will on food, clothing and housing combined.""",half-true,false,"['true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"Says the Koch brothers want to ""protect tax cuts for companies that ship our jobs overseas.""",false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True
"""Kasich’s budget raised taxes by billions, hitting businesses hard and the middle class even harder.""",false,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
“WV families making less than $400K & small businesses will NOT be targeted by the IRS.”,mostly-true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says Rep. Tammy ""Duckworth has been a staunch supporter of expanding the spending, size and reach of the IRS.""",false,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"""The University of Wisconsin System budget is the biggest it has ever been.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says he first unveiled his new legislative agenda in Wisconsin, not in California as critics complain",mostly-false,mostly-false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""Taxes for every New Yorker are lower today than when I started""",half-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"Says the federal government is earning more tax revenue now ""than any other time.""",mostly-false,false,"['mostly-false', 'false']",2,True
“The Inflation Reduction Act led to higher taxes.”,mostly-false,false,"['half-true', 'mostly-false', 'false']",3,True
"""Nancy Pelosi wants a Windfall Tax on Retirement Income.""",pants-fire,false,"['false', 'pants-fire']",2,True
Says Sen. Bill Nelson is a socialist.,pants-fire,false,"['mostly-false', 'false']",2,False
“Killing the payroll tax means killing Social Security.”,half-true,false,"['half-true', 'mostly-false', 'false']",3,True
"The Supreme Court said the individual mandate ""is a tax. So it's a tax.""",mostly-true,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,False
Arizona U.S. Senate candidate Kari Lake “was against” the child tax credit expansion “when the bill was on the floor.”,mostly-false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True
"""70 percent of the income tax that the state collects happens to come from Westchester, Nassau, Suffolk and New York City""",true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
“Fifty-one percent of our taxes are paid by 2% of New Yorkers.”,mostly-true,false,"['true', 'half-true', 'mostly-false', 'false']",4,False
“J.D. Vance called for higher taxes.”,half-true,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True
"""I think with the exception of the last year or maybe the last two years, we were at 100 percent"" when it came to contributing to the Providence pension fund.",mostly-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"Sen. Obama wants to ""enact the single largest tax increase since the Second World War.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""Hillary [Clinton] wants to raise taxes by over a trillion dollars.""",half-true,false,"['half-true', 'mostly-false', 'false']",3,True
"""The top 1% pays 90% of income taxes.”",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""Why should you get a break for racehorses and not get a break for child care?""",mostly-false,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"""Hillary Clinton says she wants to, ‘raise taxes on the middle class.’ """,pants-fire,false,"['mostly-false', 'false']",2,False
"The 2011-13 state budget ""cuts overall funding for public schools by $1.6 billion""",mostly-false,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"""Pat Toomey advocated for eliminating all corporate taxes.""",true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""If all of the [Bush-era] tax cuts expire on schedule, the budget will be close to being balanced in four years.""",false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True
"""We have one of the most expensive General Assemblies, per capita, in the entire country.""",true,true,"['true', 'false']",2,True
"Says U.S. Senate rival Eric Hovde ""refused to pay his property taxes until he was taken to court.""",mostly-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
