statement,avg_set_size,std_set_size,num_trials,coverage_rate,true_verdict
"""#Business formation is still on the rise in Ohio! So far in 2011 we’ve assisted w/ 44,443 new business filings.""",2.0,0.0,44,1.0,mostly-true
"""(After the auto bailout) General Motors is back on top as the world’s No. 1 automaker.""",5.0,0.0,52,1.0,half-true
"""(GM and Chrysler) repaid their loans.""",2.0,0.0,47,0.0,half-true
"""(I) helped to invent a system that saved over a billion dollars on welfare.""",5.0,0.0,49,1.0,true
"""(John) Kasich was the architect who balanced the budget, cut spending, created a surplus, igniting record job creation.""",4.816326530612245,0.3912303982179759,49,1.0,half-true
"""(M)ore Georgians have jobs than at any other time since October 2008.""",2.0,0.0,45,1.0,true
"""(Mary) Burke was a senior member of the Doyle administration that left Wisconsin with 130,000 fewer jobs.""",5.0,0.0,47,1.0,mostly-false
"""(The) top issue for college students is the economy.""",3.0,0.0,49,1.0,true
"""170,000 of the jobs"" created in Texas under Gov. Rick Perry ""were government jobs.""",6.0,0.0,55,1.0,half-true
"""25 percent of our economy is the financial sector.""",5.0,0.0,52,1.0,mostly-false
"""3,000 teachers lost their jobs when (Crist) was governor.""",5.0,0.0,57,1.0,mostly-false
"""40 percent of American households have female primary breadwinners.""",4.983050847457627,0.13018891098082386,59,1.0,mostly-true
"""41 cents out of every dollar (the U.S. spends) is borrowed from places like China.""",5.0,0.0,46,1.0,mostly-true
"""42 percent of (Walmart’s) associates are black.""",5.0,0.0,44,1.0,false
"""6,400 Ohioans ... lost manufacturing jobs in the month of September.""",2.022727272727273,0.15075567228888184,44,1.0,mostly-true
"""6.4 million more Americans living in poverty under President Obama.""",5.0,0.0,48,1.0,half-true
"""60 percent of people on food assistance are working.""",5.0,0.0,47,1.0,mostly-true
"""70 percent of the income tax that the state collects happens to come from Westchester, Nassau, Suffolk and New York City""",5.0,0.0,46,1.0,true
"""75 percent of the jobs created in the state of Ohio are created in small business. They are not created by huge corporations and those who are very wealthy.""",4.018867924528302,0.13736056394868892,53,1.0,mostly-true
"""80 percent of North Carolinians are for the living wage""",5.0,0.0,50,1.0,mostly-true
"""832,000 people lost their job while (Charlie Crist was) governor.""",5.0,0.0,53,1.0,half-true
"""92 million Americans aren't working.""",6.0,0.0,44,1.0,mostly-false
"""92 percent"" of President Barack Obama's administration has ""never worked outside government.""",3.0,0.0,50,1.0,false
"""95 percent of the world’s customers are … beyond our shores.""",4.576923076923077,0.49886749571458644,52,1.0,half-true
"""99.4% of businesses in Wisconsin are small businesses,"" and they employ ""nearly half of our workforce.""",3.0,0.0,53,1.0,true
"""A case before Washington’s Supreme Court seeks to effectively end public labor unions.""",5.0,0.0,49,1.0,false
"""A college loan is the only loan in the United States that you cannot refinance when interest rates go down.""",5.0,0.0,45,1.0,mostly-true
"""A few months ago, it hit where West Virginia is, on a per capita basis, one of the most successful (gross domestic product) states in our union.""",6.0,0.0,50,1.0,mostly-false
"""A grant for $5,000 [from the Governor’s Workforce Board] went to teach an employee at a company that makes ornamental business card holders how to use Facebook and Twitter.""",5.036363636363636,0.18891859540615819,55,1.0,mostly-false
"""A hundred percent of all the jobs lost during the recession have been reclaimed in Texas … while the nation is at about 36 percent.""",4.981132075471698,0.137360563948689,53,1.0,mostly-true
"""A lot of people don't know that 50,000 Americans now make their living off eBay.""",6.0,0.0,45,1.0,half-true
"""A million Democrats deserted (Howard Dean’s) party and joined my party because of Donald Trump in Ohio this year.""",3.0,0.0,45,1.0,mostly-false
"""A quarter of our workers make $18,000 per year.""",4.114754098360656,0.321370018085991,61,1.0,half-true
"""A recent Department of Labor study guessed Wall Street fees cost a worker 28 percent of the value of your plan over the span of your career.""",2.938775510204082,0.2422260708259025,49,0.0,mostly-false
"""A report just came out that if we continue with President Obama's policies, we're looking at over 9 percent unemployment next year in the fourth quarter.""",5.0,0.0,47,1.0,false
"""A trade war is something very different (than curbing new trade agreements). We went down that road in the 1930s. It made the Great Depression longer and more painful.""",2.0,0.0,51,1.0,true
"""A year ago, in March 2007, I called for immediate action to address abuses in the subprime market, and I laid out detailed concrete proposals for how to do so.""",5.0,0.0,52,1.0,true
"""AIG executives ... (took) a junket for over $400,000. Twice.""",2.0,0.0,46,0.0,mostly-false
"""About 2 percent of Americans get paid the minimum wage.""",4.34,0.6262945776223706,50,1.0,mostly-true
"""About 230,000 people that were on unemployment when I took office are not on unemployment now.""",5.0,0.0,50,1.0,mostly-true
"""About 40 percent of Hispanic homeowners have subprime mortgages.""",5.0,0.0,51,1.0,true
"""About 80 percent of (the manufacturing and agriculture) tax credit goes to claimants who are making $1 million or more.""",5.0,0.0,58,1.0,true
"""According to one study, the minimum wage today is worth $2 less than in 1968.""",5.0,0.0,38,1.0,mostly-true
"""Across the country, $174 billion of the Recovery Act have been committed in its first 130 days.""",2.0,0.0,47,1.0,mostly-true
"""African American unemployment is the lowest ever recorded in our country. The Hispanic unemployment rate dropped a full point in the last year and is close to the lowest in recorded history. Dems did nothing for you but get your vote!""",4.0,0.0,56,1.0,mostly-true
"""African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.""",5.0,0.0,52,1.0,half-true
"""After a decade of decline, this country created over half a million manufacturing jobs in the last two and a half years.""",2.0545454545454547,0.22918388365077624,55,1.0,true
"""After shedding jobs for more than 10 years, our manufacturers have added about 500,000 jobs over the past three.""",2.0,0.0,48,1.0,true
"""After years of wage stagnation, we are finally seeing rising wages.""",5.0,0.0,56,1.0,mostly-false
"""Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.""",5.0,0.0,51,1.0,mostly-false
"""All across Ohio, steel mills are reopening.""",6.0,0.0,52,1.0,half-true
"""Almost 1,000 people a day"" are moving to Florida ""because they are more free here than they are in some other states.""",5.0,0.0,48,1.0,mostly-false
"""Almost 100,000 people left Puerto Rico last year.""",5.0,0.0,46,1.0,mostly-true
"""Although Democrats represent only 10 of Florida's 25 districts, their districts received 60 percent of the stimulus funds.""",5.0,0.0,55,1.0,mostly-false
"""Although the governor doubled the beach fees . . . all the money, as we found out, is all going to an out-of-state company. The state isn't even getting the money for that.""",5.0,0.0,53,0.0,pants-fire
