statement,originator,true_verdict,predicted_verdict,correct
"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",Barack Obama,true,true,True
"""Bennie Thompson actively cheer-led riots in the ’90s.""",Matt Gaetz,false,pants-fire,False
"Says Maggie Hassan was ""out of state on 30 days over the last three months.""",Kelly Ayotte,mostly-true,mostly-false,False
"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""",Bloggers,false,mostly-false,False
"""I'm the only (Republican) candidate that has actually reduced the size of government.""",Bobby Jindal,half-true,true,False
"""There are actually only 30 countries that practice birthright citizenship.""",S.E. Cupp,true,mostly-false,False
"""My husband and I have never gotten a penny of money from the farm.""",Michele Bachmann,false,true,False
"""If you go strictly by the numbers, crime is down across the board. Last year we had a 10 percent decrease in the most serious crimes.""",George Turner,true,true,True
"""The American people say, don't touch Social Security, don't touch Medicare, don't cut defense. That's 84 percent of the federal budget.""",Kent Conrad,mostly-true,mostly-false,False
"""Since 1978, CEO compensation rose over 1,000% and only 11.9% for average workers.""",Mandela Barnes,true,true,True
"Says her accomplishments include ""a fiscally responsible budget agreement that controls state spending.""",Chris Telfer,pants-fire,true,False
"Says President Obama’s deal ""allows Iran to produce a nuclear weapon.""",Carlos Beruff,false,mostly-false,False
"Says ""Donald Trump says climate change is a hoax invented by the Chinese.""",Hillary Clinton,mostly-true,mostly-false,False
"""At least 450,000 ballots in the key states ... miraculously only have a mark for Joe Biden on them, and no other candidate.""",Sidney Powell,false,pants-fire,False
"""More than 70 percent of American adults have committed a crime that could lead to imprisonment.""",Stephen Carter,mostly-true,mostly-false,False
"Says the stimulus bill sent tax credits overseas, such as ""$1.2 billion to a solar company that's building a plant in Mexico.""",Americans for Prosperity,pants-fire,mostly-false,False
"Tampa Bay is ""leading the state in jobs creation.""",Bob Buckhorn,mostly-false,mostly-false,True
"Says Raphael Warnock has ""said we need to open up the prisons"" and ""eliminate cash bail.""",Kelly Loeffler,mostly-false,true,False
"The IRS is going to be ""in charge"" of ""a huge national database"" on health care that will include Americans’ ""personal, intimate, most close-to-the-vest-secrets.""",Michele Bachmann,pants-fire,true,False
"""Newly discovered video shows late night deliveries of tens of thousands of illegal ballots 8 hours after deadline.""",The Gateway Pundit,false,pants-fire,False
"Says Donald Trump ""literally has no plans to make higher education more affordable.""",Roberta Lange,mostly-true,mostly-false,False
"Post says a recent bill passed, and ""We get another stimulus check for $2500 at July 30, 2021""",Facebook posts,pants-fire,false,False
"With voting by mail, ""you get thousands and thousands of people sitting in somebody's living room, signing ballots all over the place.""",Donald Trump,false,mostly-false,False
"During his governorship, Virginia made ""the largest investment ever in K-12 education.""",Terry McAuliffe,mostly-false,mostly-false,True
"""In the entire public school system in Camden last year, only three students graduated college ready.""",Chris Christie,mostly-true,mostly-false,False
"Says he is ""cutting illegal immigration in half.""",Donald Trump,false,mostly-false,False
"""There is racism physically built into some of our highways.""",Pete Buttigieg,true,true,True
"Austin has ""over 1,000 city employees that make six-figure salaries.""",Jay Wiley,mostly-true,mostly-false,False
"Says Marco Rubio ""has a 98 percent voting record with the Koch brothers.""",Patrick Murphy,mostly-true,mostly-false,False
"Says John Bolton ""fundamentally was a man of the left.""",Tucker Carlson,pants-fire,mostly-false,False
"A German doctor discovered the COVID-19 vaccines include graphene oxide or graphene hydroxide, and the full list of ingredients is secret because of the emergency use authorization.",Facebook posts,false,mostly-false,False
Says he lived in a colonia while working as a farm worker.,David Alameel,false,true,False
"""The Republicans have demanded deep cuts in education. They've demanded cuts in cancer research and other research to find cures and treatments to diseases.""",Chris Van Hollen,mostly-true,true,False
"""75% of Republicans have been vaccinated"" against COVID-19 in Illinois.",Terri Bryant,false,mostly-false,False
"""Creating 25 jobs in Umatilla County has the same impact as 500 jobs in the metro region.""",John Kitzhaber,mostly-true,mostly-false,False
"""When I become the nominee, the Democratic nominee, I will be the only pro-choice candidate on the ballot.""",Kendrick Meek,mostly-true,true,False
"Financial conflict-of-interest ""laws don't apply to the president, right? So, the president doesn't have to have a blind trust.""",Rudy Giuliani,true,true,True
"Says ""J.B. Pritzker’s tax plan"" includes a ""new tax per mile you drive with government tracking device.""",Bruce Rauner,false,false,True
"""Given how expansive our program already was,"" expanding Medicaid in New Jersey due to Obamacare ""was a relatively small expansion.""",Chris Christie,mostly-true,mostly-false,False
"Says a federal judge ""sanctions Tennessee ‘birther’ lawyer … for bringing a frivolous lawsuit.""",Tennessee Democratic Party,true,true,True
"On new dollar coins, ""'In God We Trust' is gone!""",Chain email,false,false,True
"Says ""over 1 million signatures"" were submitted in attempt to recall Gov. Scott Walker.",Democratic Party of Wisconsin,false,mostly-false,False
"""All the billionaires in America, their net worth combined … has increased by $800 billion"" during the pandemic.",Joe Biden,mostly-true,true,False
"African-Americans don't use drugs at a higher level than whites but ""wind up going to prison six times more.""",Van Jones,mostly-true,true,False
"""PWNED: House GOP Dominates Twitter, YouTube, Social Media in Congress.""",John Boehner,true,true,True
"""This year, the federal government will have more revenue than any year in the history of our country.""",John Boehner,half-true,mostly-false,False
Says ex-Minneapolis officer accused of killing George Floyd commits suicide in prison cell.,Bloggers,pants-fire,false,False
"""59 percent of Americans today believe that Barack Obama is still a Muslim.""",Arsalan Iftikhar,false,mostly-false,False
The average age of planes in the Qatar Airways fleet is about four years while Delta Air Lines flies planes that are 35 years old.,Akbar Al Baker,mostly-false,mostly-false,True
