statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"""Marco Rubio is following his party bosses, like Rick Scott, with his plan to raise taxes on Florida's working families, retirees and veterans.""",false,false,"['mostly-false', 'false']",2,True
"""Rhode Island has the second highest per enrollee (Medicaid) cost of any state in the country, which is 60 percent higher than the national average.""",mostly-true,mostly-true,"['true', 'mostly-true']",2,True
"“If you make $50,000/year, $36 of your taxes goes to food stamps. $4,000 goes to corporate subsidies.”",false,false,['false'],1,True
“The Inflation Reduction Act led to higher taxes.”,mostly-false,mostly-false,['mostly-false'],1,True
"""I was speaking out on pension reform almost 17 years ago.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""Scott Walker has given a $10,000 tax deduction to millionaires who send their kids to exclusive private schools.""",mostly-false,mostly-false,"['half-true', 'mostly-false', 'false']",3,True
Says the state tax burden per citizen in New York is twice as high as in Florida.,mostly-true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",mostly-false,mostly-false,"['mostly-false', 'false']",2,True
"“Teachers can only deduct up to $250 for school supplies on their taxes, but billionaires can write off the entire cost of a private jet.”",mostly-true,false,"['half-true', 'mostly-false', 'false']",3,False
"Wealthy taxpayers, not middle-income earners, get ""most of the deductions"" in the tax code.",mostly-true,mostly-true,"['true', 'mostly-true']",2,True
"""It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Strickland's income tax hike was defeated soundly on Tuesday.""",mostly-true,mostly-true,['mostly-true'],1,True
"Says state schools superintendent candidate Don Pridemore ""voted for the largest cuts to public education in our state history"" and for ""$2.3 billion in tax breaks for corporations and the wealthy.""",half-true,half-true,['half-true'],1,True
"Cranston's 2014-2015 ""budget funds 100 percent of the local police and fire pension and other retiree benefit costs.""",mostly-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""There's no real evidence in the last 20 years that"" growth from tax cuts has made up lost revenue.",true,mostly-true,"['true', 'mostly-true']",2,True
"Says Donald Trump ""hasn’t broken his promise"" to release his tax returns.",false,false,"['mostly-false', 'false']",2,True
"“Three percent is not a modest tax increase, if you own a $100,000 home in the city of Buffalo, that means an extra $300 a year.”",false,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""Republicans in Congress refuse to list a single tax loophole they are willing to close.""",true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
"""We offer a tremendous amount of low calorie, no calorie options, like waters, unsweetened products, low calorie diet items. All of which unfortunately are taxed by this tax.""",pants-fire,false,"['mostly-false', 'false']",2,False
"The Affordable Care Act ""basically puts a penalty or a tax on employers for every new job they create.""",half-true,mostly-false,"['half-true', 'mostly-false', 'false']",3,True
"“More than half of the $739 billion tax increase (in the Inflation Reduction Act) will go to wasteful Green New Deal programs like tree equity, 'clean' garbage trucks, and studying cow farts.""",mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"John McCain ""voted against the Bush tax cuts, both times.""",mostly-true,mostly-true,['mostly-true'],1,True
"""Most people below $50,000 don’t pay any income tax. The top 1 percent in our country pay 40%.""",mostly-true,mostly-true,"['true', 'mostly-true']",2,True
"""We have the highest tax rate anywhere in the world.""",false,false,['false'],1,True
"""Odd fact for odd draft: No. 2 overall pick will earn more than the No. 1 pick due to no state tax in Florida. So 2 not so bad.""",mostly-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""With the tax controls we already put in place, property taxes on a typical home in December of 2014 will actually be lower than they were in December of 2010.""",mostly-true,mostly-true,['mostly-true'],1,True
"""I released way more (tax) information than Bruce Rauner has.""",false,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"“After the referendum, Milwaukee Public Schools has a larger tax levy than the City of Milwaukee.”",true,true,"['true', 'mostly-true']",2,True
"Cheri Beasley “backs tax hikes — even on families making under $75,000.”",mostly-false,false,"['mostly-false', 'false']",2,True
Says Social Security is a “legal Ponzi scheme.”,mostly-false,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
