statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered,trial
"""In New York State, Democrats blocked a Bill expanding College Tuition for Gold Star families after approving aid for illegal immigrants.""",true,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,False,1
"""We've got 40 years of study now that show that, with a good preschool start, you're less likely to be on public dole, you're less likely to be in prison.""",mostly-true,true,"['true', 'mostly-true', 'half-true']",3,True,1
"It is a myth that Florida's education legislation was ""negotiated in secret.""",false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True,1
"Common Core means ""there are over 300 data elements the government is going to be collecting about your children and about you.""",mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
"""We refused to balance the budget on the backs of our children.""",mostly-false,false,"['mostly-false', 'false']",2,True,1
"""Texas’ high school graduation rate went from 27th in the country in 2002, to second highest in the country in 2013.""",mostly-false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True,1
"""Under Pat McCrory, (North Carolina) has fallen to 41st in teacher pay.""",mostly-false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True,1
Portland Community College serves more students than all of the state’s universities combined.,false,false,"['false', 'pants-fire']",2,True,1
“Under Terry McAuliffe (there was a) record investment in education.”,mostly-false,false,"['half-true', 'mostly-false', 'false']",3,True,1
"""Research even shows that sending more girls to school can boost an entire country’s GDP.""",mostly-true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True,1
About 1 in 10 public school teachers in Wisconsin would have been laid off without federal stimulus funds.,mostly-false,false,"['half-true', 'mostly-false', 'false']",3,True,1
"""Welders make more money than philosophers.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
"Says Dan Forest has “missed almost half of the Board of Education meetings during the pandemic.""",true,false,"['half-true', 'mostly-false', 'false']",3,False,1
"Says Texas General Land Office ""has earned the school  children of Texas $451,932.89 on wind leases that haven't produced a  watt of energy.""",true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True,1
"""The Legislature passed Gov. Walker’s so-called property tax relief bill,"" but the Republicans ""are still raising your property taxes.""",half-true,half-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
"""The [Georgia] General Assembly took away the Atlanta Board of Education’s oversight of the superintendent.""",mostly-false,false,"['mostly-false', 'false']",2,True,1
"The United States is ""number 14, number 15"" in college graduation rates, and ""we're leading the world in high school dropout rates.""",half-true,half-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
"Says that under Rick Perry’s plan, ""Texas has cut funding for public schools by 25%.""",mostly-true,false,"['mostly-false', 'false', 'pants-fire']",3,False,1
"The form students fill out to get college financial aid is ""longer than the form to get U.S. citizenship.""",false,false,"['false', 'pants-fire']",2,True,1
Men “have the lowest college attainment rate ever.”,mostly-true,false,"['half-true', 'mostly-false', 'false']",3,False,1
"""By the time I left"" the State Department, ""economic growth was up and opium production was down"" in Afghanistan, while ""infant mortality declined"" and school enrollment rose by more than sevenfold.",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True,1
Opponent Glenn Hegar expressed pride in legislated cuts to public school funding.,true,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,False,1
An illegal immigrant who gains admission at a public college takes class space away from students who are legal residents.,mostly-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
"""The graduation rate in New York City has increased by 50 percent in 13 years""",true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,False,1
"""Welders are coming out of their tech schools at $28 an hour"" and ""pipefitters are making six figures.""",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True,1
"""There are literally teachers now who are getting pink slips"" because of sequestration.",mostly-false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True,1
"""Right now, 50 percent of Florida students leaving high school cannot read at grade level.""",mostly-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True,1
"The cost to implement Florida's class size amendment so far has been ""$16 billion.""",true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True,1
"""Missouri ranks 45th in the nation in per capita state fiscal support for higher education and Missouri State is last among Missouri schools.""",true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True,1
"""I have given $30,000 of my unused travel expenses over the years to supplement the school system's general budget.""",half-true,half-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True,1
"Says Stacey Evans ""voted for (school) vouchers...in the beginning.""",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True,1
"Says cuts by Gov. Rick Perry's administration left ""12,000 teachers without a job.""",half-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True,1
"Says Gov. Scott Walker dropped out or was kicked out of college short of a degree ""not long after"" he was ""kicked out of student elections at Marquette University.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
"“We watched Terry McAuliffe, when he was governor, lower the (accreditation) standards in our schools...”",mostly-true,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,False,1
"""Fifty years ago, the average GM employee could pay for a year of a son or daughter’s college tuition on just two weeks wages.""",mostly-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True,1
"""New Jersey loses net, that is minus those who come into the state, 30,000 students a year.""",true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True,1
Says student loan interest rates will double from 3.4 percent to 6.8 percent July 1.,mostly-true,true,['true'],1,False,1
"Tim Kaine ""reduced higher education funding by 25 percent when he was governor, driving up tuition...""",mostly-true,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,False,1
"""We have more kids take the SAT than any other state in the nation. I mean a high percentage of our kids take the SAT.""",mostly-false,false,"['mostly-false', 'false']",2,True,1
"Kelly Ayotte ""voted for a budget that had $90 billion of cuts to Pell Grants.""",mostly-false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True,1
"Under Scott Walker, Wisconsin ""moved from 16th to third in percentage of people with student loan debt.""",mostly-false,false,"['half-true', 'mostly-false', 'false']",3,True,1
"Says that over the past 20 years, Texas public school spending rose 142 percent and per-pupil spending more than tripled when adjusted for inflation.",mostly-false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True,1
"""In West Virginia, we have 20,000 jobs in which we don’t have skilled workers.""",half-true,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True,1
"Says proponents of a bond package for the Austin school district say the district has the second-lowest bond tax rate ""among the Central Texas area school districts.""",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True,1
"""Today in America — a new study came out — 20 years out, whites who borrowed money, 94% of them have paid off their student loan debt; 5% of African Americans have paid it off.""",mostly-false,false,"['mostly-false', 'false']",2,True,1
"""For every one ESD superintendent position, we can pay for three speech pathologists, or three special needs instructors, or three classroom teachers.""",false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True,1
"“As the State Department warned Mizzou in July 2019, and as I have repeatedly stated, (the Confucius Institute) presented security risks for students & university as a whole.”",mostly-false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True,1
"Said Katie Hobbs “fought to” “prevent students from learning (about) the Pledge of Allegiance, Constitution, Mayflower Compact and Declaration of Independence.”",false,false,"['mostly-false', 'false']",2,True,1
Terry McAuliffe favors “taking the Pledge of Allegiance and the 4th of July out of the (school) curriculum.”,false,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
"""Portland Schools spend $500K to deem PB&J sandwiches racist.""",pants-fire,false,"['false', 'pants-fire']",2,True,1
"Jason Carter backed three of Nathan Deal’s budgets but accuses the governor of ""underfunding education.""",true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True,1
"Says Milwaukee blacks have 55 percent male unemployment, 60 percent truancy, a 50 percent graduation rate, the ""worst"" reading scores and ""lead"" in infant mortality.",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
"""Collectively states are spending more on Medicaid than they do on K-12 education.""",true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,False,1
"Says ""by 4th grade, 86 percent of African-American boys and 82 percent (of) Hispanic boys are reading below proficiency levels.""",true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True,1
We are seeing “the Justice Department treat American parents as domestic terrorists” under the Patriot Act.,false,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
Say Portland Public Schools' central administration makes up less than 4 percent of the staff.,mostly-true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True,1
"""Texas legislators have filed voucher proposals in every legislative session since 1995, but all of them have failed to become law.""",true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True,1
"""We have one charter school that for seven years has been rated unacceptable.""",mostly-false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True,1
"Emory University students were provided counseling after someone wrote ""Trump 2016"" in chalk on campus.",mostly-false,false,"['mostly-false', 'false']",2,True,1
"Says in Newark ""we’re paying 80 percent of the school budget from local property taxes.""",false,false,"['mostly-false', 'false']",2,True,1
"Race to the Top grants ""require participating states to adopt the Common Core standards as a condition for receiving federal funding.""",mostly-false,false,"['half-true', 'mostly-false', 'false']",3,True,1
"""Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.""",false,false,"['half-true', 'mostly-false', 'false']",3,True,1
"""In the 1980s, the state funded 68% of school expenses, and now the state’s share is 38%.""",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True,1
"""The Earth is 6,000 years old, that’s a fact.""",false,false,"['false', 'pants-fire']",2,True,1
Brown University student Mustapha Karbouch was a suspect in school shooting.,false,false,"['false', 'pants-fire']",2,True,1
"After enactment of the Republican tax bill, ""school teachers can no longer deduct the cost of their classroom supplies on their taxes.""",false,false,"['mostly-false', 'false']",2,True,1
