statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
Says Williamson County District Attorney John Bradley reduces 36 percent of felonies to misdemeanors and hands them off to her.,mostly-false,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true']",5,True
The Brooklyn subway attack was a false flag.,pants-fire,false,"['false', 'pants-fire']",2,True
"Children who witness domestic violence are ""twice as likely to commit it themselves.""",mostly-true,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire']",5,True
"""A Trump fan was just charged with trying to murder Maxine Waters on same day Trump threatened her.""",false,false,"['false', 'pants-fire']",2,True
“Joe Biden called Black youth super predators.”,false,false,"['false', 'pants-fire', 'mostly-false']",3,True
"""The conviction rate is almost exactly the same"" for whites and blacks who commit murder.",false,false,"['false', 'mostly-false', 'pants-fire']",3,True
Says carbon monoxide is still employed to euthanize dogs and cats in 29 Texas animal shelters.,true,true,"['true', 'false', 'half-true', 'mostly-false', 'mostly-true']",5,True
"The Justice Department has been investigating fraud in Minnesota “for months. So far, we have charged 98 individuals.”",half-true,false,"['false', 'mostly-false', 'half-true', 'true', 'pants-fire', 'mostly-true']",6,True
"A legal settlement that reined in Chicago police ""resulted in approximately 236 additional victims killed and over 1,100 additional shootings in 2016 alone.""",mostly-false,false,"['false', 'pants-fire', 'mostly-false']",3,True
"From 2000 to 2008, we averaged ""about five mass shootings a year. We're now averaging 15. So that's a three-fold increase.""",mostly-false,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true']",5,True
"Since Oregon’s prescription-only law took effect, meth lab incidents have dropped by 96 percent and meth-related arrests by 32 percent.",true,true,['true'],1,True
"""Only in the Third World do you see this habitual use of prosecutions of former leaders.”",false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"""Murder went up"" when Romney was governor. ""Robbery went up. Violent crimes went up.""",half-true,half-true,"['half-true', 'false', 'mostly-true']",3,True
"Says Beto O’Rourke described police as ""modern-day Jim Crow.""",mostly-false,false,"['false', 'mostly-false', 'pants-fire', 'true', 'half-true']",5,True
“One in six local election officials have received threats of violence” and threats against judges have doubled over four years and threats against members of Congress have increased by 10 times over five years.,mostly-true,true,"['true', 'mostly-true', 'false', 'half-true', 'mostly-false', 'pants-fire']",6,True
"""Crime has been getting worse since Jerry Brown was elected governor.""",mostly-false,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire']",5,True
"""It is shocking to me that Police Commissioner Richard Ross and Mayor Jim Kenney allowed this illegal occupation to go on for hours without taking any action to enforce the law…""",false,false,"['false', 'mostly-false', 'pants-fire', 'half-true']",4,True
"Greg Abbott ""has campaigned with a sexual predator who has bragged about having sex with underage girls.""",half-true,false,"['false', 'pants-fire', 'mostly-false']",3,False
"""Husbands rarely beat up their wives. Single women get beaten up more.""",half-true,half-true,"['half-true', 'false', 'mostly-false', 'mostly-true']",4,True
"""We are almost halfway to our goal of 1,000 rapes prosecuted!""",true,true,"['true', 'false']",2,True
People who stole U.S. Postal Service uniforms are posing as postal workers and robbing people at gunpoint.,false,false,"['false', 'mostly-false', 'pants-fire']",3,True
Under New York’s Clean Slate Act “violent crimes … will now be automatically sealed after a set time - like they never happened.”,mostly-false,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire']",5,True
“Violent crime in South Bend doubled during Mayor Pete’s tenure.”,mostly-false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"The stories from women saying he groped or forced himself on them ""largely have been debunked.""",false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"Federal law for Obamacare navigators ""does not bar — or even require screening for — convicted felons, including individuals convicted of identity theft or fraud.""",half-true,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true']",5,True
"District attorneys ""have advertised that they will charge a criminal alien with a lesser offense than presumably they would charge a United States citizen, so they won’t be deported.""",half-true,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true']",5,True
"""Crime is down in Arizona.""",true,true,['true'],1,True
"""How many people have with a concealed carry permit have committed a crime in Virginia? ...The answer is zero.""",false,false,"['false', 'pants-fire']",2,True
"""Pier 39 terrorist was an anti-Trump antifa supporter.""",half-true,false,"['false', 'pants-fire', 'mostly-false']",3,False
"From 2014 to 2015, Austin’s ""murder rate is up a whopping 83 percent.""",mostly-false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"Says “Lucy McBath voted to release criminals from prison. Murderers, rapists.”",false,false,"['false', 'mostly-false', 'half-true']",3,True
"""Switzerland (where the government) issues every household a gun . . . has the lowest gun related crime rate of any civilized country in the world!!!""",pants-fire,false,"['false', 'pants-fire', 'mostly-false']",3,True
"Proposed gun control legislation ""will outlaw practically every firearm, make you pay $100 per firearm, put you into a police database"" and make it ""nearly impossible"" to get a permit to carry a concealed weapon.",mostly-false,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true']",5,True
"""More people are driving under the influence of drugs than are driving under the influence of alcohol. A recent roadside survey showed that 16 percent of the people tested, tested positive for illicit or licit drugs. That's significantly higher than alcohol.""",half-true,half-true,"['half-true', 'false', 'mostly-true', 'mostly-false', 'true']",5,True
"Says Dan Patrick has ""called immigration into Texas an invasion"" and ""said immigrants coming into Texas bring ‘third-world diseases.’""",true,false,"['false', 'true', 'mostly-false', 'half-true']",4,True
"""Joe Biden brought Republicans and Democrats together to pass the 1994 crime bill, putting 100,000 cops on the streets and starting an eight-year drop in crime across the country.""",half-true,false,"['false', 'mostly-false', 'half-true', 'pants-fire']",4,True
"""There are currently delays of up to six months in the processing of DNA evidence at the state run crime lab.""",half-true,half-true,"['half-true', 'mostly-true', 'false', 'true']",4,True
"""Missouri, in general, has more crime, percentage-wise, than the rest of the country. So, we are seeing overall crime throughout the country is going down but not here in Missouri.""",half-true,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'true']",5,True
“DEA agent Mark Ibrahim was forced from his job and later indicted simply because he was near the Capitol protest on Jan. 6.”,false,false,"['false', 'pants-fire', 'mostly-false']",3,True
"""DUI arrests dropped significantly in Tampa once Uber began operating here.""",half-true,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true']",5,True
They were “never my comments” that a woman can’t get pregnant from rape.,half-true,false,"['false', 'mostly-false', 'pants-fire']",3,False
"""There is a big correlation between third grade reading level and whether you go to college or whether you go to prison. And in Florida right now only 56 percent of kids are coming out of third grade at third grade reading level.""",mostly-true,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'true', 'pants-fire']",6,True
"Boston Marathon bombing suspect Tamerlan Tsarnaev is buried ""not far"" from President Kennedy’s grave.",pants-fire,false,"['false', 'pants-fire', 'mostly-false']",3,True
"""In New Hampshire, 93 percent of Democrats, 79 percent of Republicans, 82 percent of gun owners and 60 percent of NRA households support background checks.""",mostly-true,true,"['true', 'false', 'mostly-true', 'half-true', 'mostly-false']",5,True
"""This incident of supposed feces depicting a swastika on the wall of a bathrooms in one of the halls ... has been supported by zero fact.""",pants-fire,false,"['false', 'mostly-false', 'pants-fire', 'half-true']",4,True
"""When we passed the assault weapons ban, mass shootings went down. When the law expired, mass shootings tripled.""",mostly-true,false,"['false', 'true', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire']",6,True
"“VA Democrats authorized for early release over 4,000 inmates, 60% of which are incarcerated for violent offenses.”",mostly-true,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'true', 'pants-fire']",6,True
"“If I didn’t INSIST on having the National Guard activate and go into Kenosha, Wisconsin, there would be no Kenosha right now.”",pants-fire,false,"['false', 'pants-fire', 'mostly-false', 'true']",4,True
"""More lives have been lost because of the war with the drug cartels in Juarez alone, just a few blocks from the United States of America, than have been lost in the war in Afghanistan.""",false,false,"['false', 'pants-fire', 'mostly-false', 'true']",4,True
"Says ""our indicted Attorney General Ken Paxton is back to being the only statewide official in the country under indictment.""",true,false,"['false', 'true', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true']",6,True
"""African Americans are twice as likely to be arrested and almost four times as likely to experience the use of force during encounters with the police.""",mostly-true,false,"['false', 'half-true', 'mostly-true', 'mostly-false', 'true']",5,True
