statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered,trial
"Under the Arizona immigration law, police are required to check immigration status if someone's ""lawn is overgrown"" or if a dog is ""barking too loudly.""",mostly-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True,1
The majority of Supplemental Nutrition Assistance Program recipients are not U.S. citizens.,false,false,"['false', 'pants-fire']",2,True,1
"""When I say Mexico is going to pay for the wall, that's what I said. Mexico is going to pay. I didn't say they're going to write me a check for $20 billion or $10 billion.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
Joe Biden intentionally “let it fall apart” in Afghanistan because he “wants a couple hundred thousand more Ilhan Omars to come into America to change the body politic permanently.”,pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
"""Democrats are nowhere to be found on DACA.""",false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True,1
"Of shelters for immigrant children: ""You know what? There's not a lock on the door. Any child is free to leave at anytime, but they don't. You know why? Because they are well taken care of.""",half-true,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True,1
"Says Hillary Clinton wants illegal immigrants ""collecting Social Security benefits.""",mostly-false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True,1
"On immigration reform, Marco Rubio ""all along has been saying, 'We have to have border security first' "" and then ""he gets on Spanish TV, he ends up saying, 'No, no. That will never get in the way.' """,mostly-false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True,1
"Speaking of immigration cases, says, ""We have thousands of judges.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
"Uses a picture of a mansion to say that Rep. Nancy Pelosi lives surrounded by ""a high perimeter wall with gun toting security.""",pants-fire,false,"['false', 'pants-fire']",2,True,1
"Rhode Island gives undocumented pregnant women health insurance, plus a cash card ""with $400 a month on it"" and ""$250 a month or $275 a month to spend on food.""",mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
"Migrants in New York City are receiving prepaid debit cards with up to $10,000 and no restrictions.",false,false,"['false', 'pants-fire']",2,True,1
"Says a bill co-sponsored by Sen. Claire McCaskill ""would give a free pass to any illegal immigrant who brings a child to the border.""",false,false,"['mostly-false', 'false']",2,True,1
"Harry Reid has voted ""to give illegals Social Security benefits even for the time they were here illegally.""",mostly-false,false,"['mostly-false', 'false']",2,True,1
"""We’ve already started (the border wall). We started it in San Diego.""",mostly-false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True,1
"Immigrants are supposed to “apply for asylum in the country where they are, and then they try to come into the United States.”",false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True,1
"Numbers on illegal immigrants ""are down in terms of apprehensions, which indicates fewer illegal crossings, but also up in terms of actual enforcement actions.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True,1
"Says President Donald Trump's travel ban could ban Somalis ""from getting relief (from famine) through coming to the United States.""",mostly-false,false,"['mostly-false', 'false']",2,True,1
"The Secure Communities Program and 287(g) immigration programs ""were programs that worked"" but were ""recklessly gutted"" by the Obama administration.",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True,1
"President Barack Obama ""wants to take in 250,000 (people) from Syria.""",pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
"""Under Governor Almond the RI DMV had a program that allowed undocumented [people to] use their Personal Tax Identification Number . . . to apply [for] and receive a RI driver’s license.""",true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True,1
"A federal system that verifies employees are authorized to work in the U.S. is inaccurate ""anywhere from 50 percent all the way up to in excess of 80"" percent of the time.",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
"In 2006, Arizona had four ballot issues that were ""very tough on illegal immigration... Forty-seven percent of the Hispanics in Arizona voted for them.""",mostly-false,false,"['mostly-false', 'false']",2,True,1
"“There’s about 1,400 criminal illegal aliens that, right now, are in North Carolina and Charlotte’s jails that they refuse to turn over to ICE law enforcement.”",false,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
"""The Obama Administration agreed to take thousands of illegal immigrants from Australia.""",half-true,false,"['mostly-false', 'false', 'pants-fire']",3,False,1
"Says Barack Obama ""acknowledged over 20 times"" that his administration’s Deferred Action for Parents of Americans ""immigration edict was a violation of law and the separation of powers.""",mostly-false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True,1
"""We’re at the point of reaching 2 million deportations ... this is a historic level, more than any other president of the United States.""",half-true,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True,1
"Says ""Stacey Abrams wants to give illegal aliens the right to vote.""",mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
“Trump and McConnell are blocking stimulus checks for Americans married to immigrants.”,mostly-false,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True,1
"""Did you know US population growth is at its lowest since the Great Depression?""",true,false,"['true', 'mostly-false', 'false']",3,True,1
"""Last year,"" Obama ""administration officials released into our neighborhoods more than 36,000 criminal immigrants who had nearly 88,000 convictions. The crimes included hundreds of convictions for murder, rape and kidnapping and thousands of drug-related crimes.""",half-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True,1
"""We have seized more currency, more drugs, more outbound arms in the past year than any year in our country’s history.""",half-true,half-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
Says Joe Biden has driven the current coronavirus surge because he “imported more virus from around the world by having a wide open southern border.”,false,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
"About 40 percent of U.S. illegal immigrants ""came in on an airplane, with a legal visa, and just overstayed their visa and have never gone home.""",mostly-true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True,1
"Says 194 people were killed in mass shootings in 2018 while undocumented immigrants killed 83,211 people.",false,false,"['false', 'pants-fire']",2,True,1
"""The majority of the people that are coming to Arizona and trespassing are now becoming drug mules.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True,1
"""When Donald Trump spoke in Phoenix, he looked the audience in the eye and he said ‘no, we're building a wall and we're deporting everybody.’ He said, quote, ‘they will all be gone. They will all be gone.’ This is one of the ones where you can go to the tape on it and see what Donald Trump has said.""",half-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True,1
"“The biggest threat to your unions is millions of people coming across the border, because you're not gonna have your jobs anymore.”",mostly-false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True,1
"""Let’s talk about the facts and where we are today. There are still nearly 2,600 children who are separated from their parents"" due to the Trump administration’s zero-tolerance policy.",true,true,['true'],1,True,1
Says he lived in a colonia while working as a farm worker.,false,true,"['true', 'mostly-true', 'false']",3,True,1
"""We admit more than 100,000 lifetime migrants from the Middle East each year.""",mostly-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
"Under legislation that has cleared the Georgia House, some children who are ""legal refugees"" could obtain state scholarships to attend private schools.",true,true,['true'],1,True,1
"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",mostly-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True,1
"""I’ve always supported protections for our DREAMers.""",false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True,1
"Sen. Kamala Harris is ""supporting the animals of MS-13.""",pants-fire,false,"['false', 'pants-fire']",2,True,1
