statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered,trial
"""In New York State, Democrats blocked a Bill expanding College Tuition for Gold Star families after approving aid for illegal immigrants.""",true,false,"['false', 'mostly-false', 'mostly-true', 'true', 'half-true', 'pants-fire']",6,True,1
"""We've got 40 years of study now that show that, with a good preschool start, you're less likely to be on public dole, you're less likely to be in prison.""",mostly-true,true,"['true', 'mostly-true', 'half-true']",3,True,1
"It is a myth that Florida's education legislation was ""negotiated in secret.""",false,mostly-false,"['mostly-false', 'false', 'half-true', 'mostly-true', 'true', 'pants-fire']",6,True,1
"Common Core means ""there are over 300 data elements the government is going to be collecting about your children and about you.""",mostly-false,false,"['false', 'mostly-false', 'mostly-true', 'half-true', 'true', 'pants-fire']",6,True,1
"""We refused to balance the budget on the backs of our children.""",mostly-false,mostly-false,"['mostly-false', 'false', 'mostly-true', 'half-true']",4,True,1
"""Texas’ high school graduation rate went from 27th in the country in 2002, to second highest in the country in 2013.""",mostly-false,mostly-false,"['mostly-false', 'false', 'half-true', 'mostly-true', 'true']",5,True,1
"""Under Pat McCrory, (North Carolina) has fallen to 41st in teacher pay.""",mostly-false,false,"['false', 'mostly-false', 'mostly-true', 'half-true', 'true', 'pants-fire']",6,True,1
Portland Community College serves more students than all of the state’s universities combined.,false,false,['false'],1,True,1
“Under Terry McAuliffe (there was a) record investment in education.”,mostly-false,false,"['false', 'mostly-false', 'mostly-true', 'half-true', 'true']",5,True,1
"""Research even shows that sending more girls to school can boost an entire country’s GDP.""",mostly-true,mostly-true,"['mostly-true', 'true', 'half-true']",3,True,1
About 1 in 10 public school teachers in Wisconsin would have been laid off without federal stimulus funds.,mostly-false,mostly-false,"['mostly-false', 'half-true', 'mostly-true', 'false', 'pants-fire']",5,True,1
"""Welders make more money than philosophers.""",false,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire']",5,True,1
"Says Dan Forest has “missed almost half of the Board of Education meetings during the pandemic.""",true,true,"['true', 'mostly-true', 'half-true']",3,True,1
"Says Texas General Land Office ""has earned the school  children of Texas $451,932.89 on wind leases that haven't produced a  watt of energy.""",true,true,"['true', 'mostly-true', 'half-true']",3,True,1
"""The Legislature passed Gov. Walker’s so-called property tax relief bill,"" but the Republicans ""are still raising your property taxes.""",half-true,half-true,"['half-true', 'mostly-true']",2,True,1
"""The [Georgia] General Assembly took away the Atlanta Board of Education’s oversight of the superintendent.""",mostly-false,mostly-false,"['mostly-false', 'mostly-true', 'half-true', 'false']",4,True,1
"The United States is ""number 14, number 15"" in college graduation rates, and ""we're leading the world in high school dropout rates.""",half-true,half-true,['half-true'],1,True,1
"Says that under Rick Perry’s plan, ""Texas has cut funding for public schools by 25%.""",mostly-true,false,"['false', 'mostly-false', 'true', 'mostly-true', 'half-true', 'pants-fire']",6,True,1
"The form students fill out to get college financial aid is ""longer than the form to get U.S. citizenship.""",false,false,['false'],1,True,1
Men “have the lowest college attainment rate ever.”,mostly-true,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false', 'false']",5,True,1
"""By the time I left"" the State Department, ""economic growth was up and opium production was down"" in Afghanistan, while ""infant mortality declined"" and school enrollment rose by more than sevenfold.",mostly-true,mostly-true,['mostly-true'],1,True,1
Opponent Glenn Hegar expressed pride in legislated cuts to public school funding.,true,mostly-true,"['mostly-true', 'mostly-false', 'false', 'half-true', 'true', 'pants-fire']",6,True,1
An illegal immigrant who gains admission at a public college takes class space away from students who are legal residents.,mostly-true,mostly-true,"['mostly-true', 'half-true', 'true']",3,True,1
"""The graduation rate in New York City has increased by 50 percent in 13 years""",true,mostly-true,"['mostly-true', 'true', 'half-true', 'false', 'mostly-false']",5,True,1
"""Welders are coming out of their tech schools at $28 an hour"" and ""pipefitters are making six figures.""",half-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'false', 'true']",5,True,1
"""There are literally teachers now who are getting pink slips"" because of sequestration.",mostly-false,false,"['false', 'mostly-true', 'mostly-false', 'half-true', 'true', 'pants-fire']",6,True,1
"""Right now, 50 percent of Florida students leaving high school cannot read at grade level.""",mostly-true,mostly-true,"['mostly-true', 'true', 'half-true', 'false', 'mostly-false']",5,True,1
"The cost to implement Florida's class size amendment so far has been ""$16 billion.""",true,true,"['true', 'mostly-true', 'half-true', 'false']",4,True,1
"""Missouri ranks 45th in the nation in per capita state fiscal support for higher education and Missouri State is last among Missouri schools.""",true,true,"['true', 'mostly-true', 'half-true']",3,True,1
