statement,avg_set_size,std_set_size,num_trials,coverage_rate,true_verdict
""" ‘Obamacare’ puts the federal government between you and your doctor.""",5.176470588235294,0.3850133687518488,51,1.0,false
"""#GradInsurance debacle is a DIRECT result of #ObamaCare. #MIZZOU has to break the law to do the right thing.""",4.791666666666667,0.4104140790860574,48,1.0,half-true
"""$21T in Pentagon accounting errors. Medicare for All costs ~$32T. That means 66% of Medicare for All could have been funded already by the Pentagon.""",3.82,0.38808793449160356,50,0.0,false
"""$700 billion was robbed (from Medicare) to pay for Obamacare.""",5.236363636363636,0.42876378559573314,55,1.0,half-true
"""(Brendan) Doherty wants to raise the eligibility age for Social Security benefits for anyone born after 1960, with no regard for the challenges it would cause for people working in physically demanding occupations.""",4.709090909090909,0.4583677673015525,55,0.7090909090909091,false
"""(For) white working-class America, death rates among white men are up 20 percent.""",4.62,0.4903143514780146,50,1.0,mostly-false
"""(Obamacare) is a bill which has never once had a majority of Americans favor it.""",5.425,0.5006406152531231,40,1.0,mostly-true
"""(U.S. Rep. Jack Kingston) voted to fund (Obamacare).""",4.192982456140351,0.39814733862999174,57,0.19298245614035087,mostly-false
"""1 in 4 Rhode Islanders under the age of 65 does not have health insurance.""",4.036363636363636,0.33130697210338,55,1.0,half-true
"""13 percent of Americans, the lowest ever, are without health care.""",4.913043478260869,0.28488492464476783,46,0.9130434782608695,half-true
"""14,000 Americans . . . lose their health insurance every single day.""",2.9473684210526314,0.2252817784447915,57,1.0,mostly-true
"""15 years ago, cancer drugs cost an average of $10,000 a year. Now it’s $10,000 a month.""",5.431372549019608,0.5001960399996911,51,1.0,mostly-true
"""160 million people like their private insurance.""",5.169811320754717,0.3790600245041254,53,1.0,half-true
"""2.4 million people in Wisconsin have pre-existing conditions"" and Leah Vukmir supports letting insurance companies ""deny coverage to people with pre-existing conditions.""",4.444444444444445,0.501569862575519,54,1.0,half-true
"""20 million people could lose their current coverage"" … ""including our senior citizens who are on Medicare.""",5.0344827586206895,0.18405922400991936,58,0.034482758620689655,pants-fire
"""20,000 Kansans lost their health insurance because of (Obamacare).""",5.0,0.20203050891044205,50,1.0,false
"""200,000 students attempt suicide every year on college campuses.""",4.68,0.47121207149916106,50,1.0,half-true
"""2009-2010, let's remember, hundreds of Republican amendments were adopted in the ACA.""",4.857142857142857,0.35309393180189996,56,1.0,half-true
"""25 percent of all drug-related fatal vehicle accidents in the U.S. involve marijuana.""",4.795918367346939,0.4072055089639778,49,1.0,half-true
"""28.2 million Americans are still waiting under Obamacare and remain uninsured!""",4.951219512195122,0.3123475237772122,41,0.926829268292683,half-true
"""30,000 Americans a year die waiting for health care because of the cost.""",4.222222222222222,0.4196434545311264,54,1.0,half-true
