statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"For every $1 spent on afterschool programs, ""we can save over $5, almost $6, in crime costs down the line.""",half-true,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""Wendy Davis’ legal work is currently under FBI investigation.""",mostly-false,false,"['false', 'true', 'mostly-true', 'mostly-false', 'pants-fire', 'half-true']",6,True
"Summer “protesters outside the White House were met with tear gas, rubber bullets, a full militarized response. While ... rioters were able to breach the Capitol.”",true,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false', 'false']",5,True
"Says Donald Trump ""thinks stop-and-frisk is fine.""",true,true,"['true', 'mostly-true', 'mostly-false', 'half-true', 'false', 'pants-fire']",6,True
"Says Gov. Scott Walker made ""draconian cuts"" to public safety budgets that put police officers at ""greater risk of harm.""",false,mostly-true,"['mostly-true', 'mostly-false', 'half-true', 'true', 'false']",5,True
"""The law says ... when a police officer stops you, do whatever he says and then deal with it later.""",false,false,"['false', 'mostly-true', 'mostly-false', 'half-true', 'true', 'pants-fire']",6,True
"“In 2021, 65 people in Milwaukee have lost their lives due to reckless driving accidents, and more than 9,000 cars have been stolen, double the amount in 2020.”",half-true,mostly-true,"['mostly-true', 'true', 'mostly-false', 'half-true', 'false']",5,True
"Judging by a recent vote, Rep. Debbie Wasserman Schultz ""thinks it's okay for medical marijuana patients to go to federal prison.""",mostly-false,false,"['false', 'mostly-false', 'pants-fire', 'mostly-true', 'half-true', 'true']",6,True
"""Burka clad woman runs over baby, gets away with crime for one stunning reason ...""",false,pants-fire,"['pants-fire', 'false', 'mostly-false']",3,True
“There is a serial killer in Cincinnati.” Seven bodies were found “chopped up.”,false,false,"['false', 'mostly-false', 'mostly-true', 'true', 'half-true', 'pants-fire']",6,True
Says 88 Texas constables have died in the line of duty.,true,true,"['true', 'mostly-true', 'false', 'mostly-false', 'half-true', 'pants-fire']",6,True
"""In American history since 9/11, we've had 85 major attacks in our country, 73 percent of them have been by white nationalist hate groups.""",half-true,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false', 'false']",5,True
"Wisconsin's Lincoln Hills youth prison has a ""66 percent recidivism rate,"" while ""states like Missouri, that have more of a regional model -- 8 percent.""",mostly-false,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false', 'false']",5,True
Minnesota incarcerates “about a third of what Wisconsin does.”,true,mostly-true,"['mostly-true', 'true', 'mostly-false', 'false', 'half-true']",5,True
"""The number of inmates since 2000 on death row dying of natural causes has now surpassed the number of inmates executed.""",true,true,"['true', 'mostly-true', 'half-true', 'false', 'mostly-false']",5,True
"""A couple of hundred American cities are infested by members of the Mexican cartels.""",true,mostly-true,"['mostly-true', 'mostly-false', 'false', 'half-true', 'pants-fire', 'true']",6,True
"""No one was taken into custody"" for feeding the homeless.",mostly-true,false,"['false', 'mostly-true', 'true', 'mostly-false', 'half-true', 'pants-fire']",6,True
"""Investigators: Anthony Bourdain was killed by Clinton operatives.""",pants-fire,pants-fire,"['pants-fire', 'false', 'mostly-false']",3,True
"There are ""approximately 20,000 annual gun purchases in Rhode Island.""",true,mostly-true,"['mostly-true', 'true', 'false', 'mostly-false', 'half-true', 'pants-fire']",6,True
Says Kamala Harris said looters are just feeding their hungry kids.,false,false,"['false', 'mostly-false', 'pants-fire', 'mostly-true', 'half-true']",5,True
"Says David Clarke reduced the number of Milwaukee County sheriff's deputies ""from about 700 and something to 300 and something.""",half-true,mostly-true,"['mostly-true', 'true', 'mostly-false', 'false', 'half-true', 'pants-fire']",6,True
"""We give (foreign aid) to developing countries, and 70 percent of it's stolen off the top.""",false,mostly-true,"['mostly-true', 'mostly-false', 'half-true', 'false', 'true', 'pants-fire']",6,True
“Portland is burning to the ground.”,false,false,"['false', 'pants-fire', 'mostly-false', 'mostly-true']",4,True
Says she never tweeted comments linking pedophilia and Islam.,pants-fire,false,"['false', 'mostly-false', 'mostly-true', 'half-true', 'pants-fire', 'true']",6,True
The city of Pembroke Pines doesn't have a vote in a plan to build a detention center in Southwest Ranches.,mostly-false,true,"['true', 'mostly-true', 'false', 'mostly-false', 'half-true', 'pants-fire']",6,True
"Says Patrick Murphy is trying to ""hide his drunken assault of a police officer.""",mostly-false,false,"['false', 'pants-fire', 'mostly-false', 'mostly-true', 'half-true', 'true']",6,True
"Law-abiding gun owners stop crimes ""2.5 million times a year,"" according to the federal Centers for Disease Control.",mostly-false,false,"['false', 'mostly-true', 'pants-fire', 'mostly-false', 'half-true', 'true']",6,True
Voting-rights legislation proposed by Democrats in Congress called H.R. 1 “would force states to restore the voting rights of convicted felons—including violent felons convicted of murder or rape.”,half-true,false,"['false', 'mostly-false', 'mostly-true', 'true', 'half-true', 'pants-fire']",6,True
"""The truth is David Cicilline voted for tougher laws against child abusers, domestic abusers and abusers of the elderly.""",true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""There’s 21 congressmen and senators that have been convicted of felonies that still get their retirement, even in jail. They don’t have to wait until they’re 65.""",mostly-true,mostly-true,"['mostly-true', 'true', 'half-true', 'false', 'mostly-false', 'pants-fire']",6,True
"""Harvard Study Finds States With Most Gun Laws Have Fewest Gun Deaths.""",half-true,mostly-true,"['mostly-true', 'true', 'half-true', 'false', 'mostly-false']",5,True
"Says Dontre Hamilton ""was shot 14 times by police for resting on a park bench in Milwaukee.""",mostly-true,true,"['true', 'mostly-true', 'false', 'mostly-false', 'half-true']",5,True
"""Gangs have increased by 40 percent since this president was elected.""",half-true,mostly-true,"['mostly-true', 'false', 'mostly-false', 'half-true', 'true', 'pants-fire']",6,True
"""Joe Biden wrote the Violence Against Women Act ... the rate of domestic violence went down dramatically.""",mostly-true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says ""Bob Casey voted in favor of deadly sanctuary cities that released thousands upon thousands of illegal alien criminals and vicious gang members to prey on Pennsylvania streets, to prey all over this country.""",false,false,"['false', 'mostly-false', 'pants-fire', 'mostly-true', 'half-true', 'true']",6,True
"""Nearly all of the top 50 prescribers of oxycodone in the United States are in Florida.""",true,true,"['true', 'mostly-true', 'false', 'half-true', 'mostly-false', 'pants-fire']",6,True
"“In Virginia, Black people are eight times (8X) more likely than white people to die of gun homicide.”",true,mostly-true,"['mostly-true', 'true', 'false', 'mostly-false', 'half-true']",5,True
“The entire city (of Portland) is ablaze all the time.”,false,pants-fire,"['pants-fire', 'false', 'mostly-false', 'mostly-true', 'half-true']",5,True
"""Florida man on drugs kills imaginary friend and turns himself in.”",pants-fire,pants-fire,"['pants-fire', 'false', 'mostly-false', 'mostly-true']",4,True
"""Last year, we prosecuted a record number of firearms offenses.""",mostly-true,false,"['false', 'mostly-true', 'mostly-false', 'true', 'half-true', 'pants-fire']",6,True
“We have seen over the last 10 years ... under Republican governors a rise in the murder rate in Arizona of 20%.”,mostly-false,mostly-true,"['mostly-true', 'true', 'mostly-false', 'false', 'half-true']",5,True
"""The spillover violence (from Mexico) in Texas is real and it is escalating.""",mostly-false,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false', 'false']",5,True
"Proposed gun control legislation ""will outlaw practically every firearm, make you pay $100 per firearm, put you into a police database"" and make it ""nearly impossible"" to get a permit to carry a concealed weapon.",mostly-false,false,"['false', 'mostly-false', 'mostly-true', 'pants-fire', 'half-true']",5,True
"Says Tony Evers ""wants to cut Wisconsin's prison population in half, a dangerous plan that today would mean releasing thousands of violent criminals back into our communities.""",half-true,mostly-false,"['mostly-false', 'false', 'mostly-true', 'half-true', 'pants-fire', 'true']",6,True
"""If you are in Las Vegas and you get a knock on your door from NV Power, 2020 Census or CVD-19 testers, do not open your door. They are robbing people at gunpoint.""",false,false,"['false', 'pants-fire', 'mostly-false']",3,True
