statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"McCain ""has opposed stem cell research.""",false,false,['false'],1,True
"An ""Obamacare slush fund"" paid to spay and neuter dogs and cats, then counted it as an ""anti-obesity campaign.""",false,false,"['false', 'pants-fire']",2,True
"Says Al Franken ""voted to exempt himself and Congress from enrolling in (the Affordable Care Act marketplaces).""",false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Obamacare"" is the ""biggest tax increase in American history.""",false,false,['false'],1,True
"Scott Fisher ""tried to expand Obamacare in Texas and even voted for an official resolution to force 1 million Texans into Obamacare.""",pants-fire,false,"['mostly-false', 'false']",2,False
"Says abortion doctors are ""flying into this state, performing abortions and flying out.""",false,false,"['mostly-false', 'false']",2,True
"""Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.""",mostly-false,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""Daraprim is still underpriced, relative to its peers.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""If someone is in a room that has measles and leaves and you walk in two hours later, you could get measles from that person.""",true,true,['true'],1,True
"""We have a president who wanted to throw 32 million people off of the health care they had.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"The Massachusetts health care plan is ""wildly unpopular"" among state residents.",false,false,['false'],1,True
"The health care plan for members of Congress ""is no better than the janitor who cleans their offices.""",true,true,['true'],1,True
"If the sequester hits, ""hundreds of thousands of Americans will lose access to primary care and preventive care like flu vaccinations and cancer screenings.""",half-true,mostly-true,"['true', 'mostly-true']",2,False
"""With this reform, every insured American gets valuable consumer protections, and every uninsured American can become insured.""",true,true,['true'],1,True
"“The transgender thing is incredible... your kid goes to school and comes home a few days later with an operation. The school decides what’s going to happen with your child.""",pants-fire,false,"['false', 'pants-fire']",2,True
"""#GradInsurance debacle is a DIRECT result of #ObamaCare. #MIZZOU has to break the law to do the right thing.""",half-true,mostly-false,"['half-true', 'mostly-false', 'false']",3,True
"Because of U.S. Senate rules, Democrats need ""more than a majority ... to codify Roe vs. Wade.""",true,true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""(Brendan) Doherty wants to raise the eligibility age for Social Security benefits for anyone born after 1960, with no regard for the challenges it would cause for people working in physically demanding occupations.""",false,mostly-false,"['half-true', 'mostly-false', 'false']",3,True
"Despite President Barack Obama's promise to cut healthcare costs, ""the average cost of a family policy is up $1,300.""",half-true,mostly-false,"['mostly-true', 'half-true', 'mostly-false']",3,True
"If a lawsuit backed by Josh Hawley succeeds, ""nearly 2.5 million Missourians with pre-existing conditions could lose their health care coverage.""",half-true,mostly-false,"['mostly-true', 'half-true', 'mostly-false']",3,True
"""Forty years ago, hardly anybody in the country had health insurance.""",pants-fire,false,['false'],1,False
"Says the Washington Post fact-checked a charge he opposed pre-existing condition protections for health insurance ""and gave that Four Pinocchios.""",pants-fire,false,"['mostly-false', 'false']",2,False
"""Michael Bennet cast the deciding vote"" for the stimulus and the health care bill.",mostly-false,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""The reality is, with a $2 trillion-a-year health care budget, we're spending more on health care, nearly 17 percent of our gross domestic product, versus 3.8 percent of GDP on the entire military budget.""",mostly-false,mostly-false,['mostly-false'],1,True
"Says Scott Walker ""has turned down $1 billion of Medicaid money over the course of his tenure.""",mostly-true,mostly-true,['mostly-true'],1,True
"""The VA negotiates prescription drug prices. Medicare doesn't do that.""",true,true,['true'],1,True
"""Marijuana has a unique impact on the developing brain. It can prime your brain for addiction to other substances.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
"""Pre-existing conditions are covered under my (health care) plan.""",mostly-false,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"The federal government is prohibited ""from negotiating lower prescription drug prices for our senior citizens.""",true,true,['true'],1,True
"""We had a debate on whether ‘ObamaCare’ was the way to go to fix up health care and the American voters said no -- emphatically.""",mostly-false,mostly-false,"['half-true', 'mostly-false', 'false']",3,True
Says real estate taxes were put in place to pay for Obamacare.,mostly-false,false,"['mostly-false', 'false']",2,True
"Says ""Donald Trump is a guy who has called for privatization"" of the Veterans Administration.",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"Says that in his first 17 months as president, the United States doubled its world-leading $500 million a year commitment to fighting global AIDS.",true,true,['true'],1,True
"""Scientists have shown us (that) the greater possibilities, the real science movement, has been with adult stem cell research. It has not been with embryonic.""",false,false,['false'],1,True
"""It used to be that the only children at school who weren't vaccinated were those who had true medical"" conditions. ""Now there are 19 states that allow personal belief exemptions.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
"""We pay far more for health care than any other country in the world, yet we have far worse outcomes than any other country in the world.""",mostly-true,mostly-true,"['true', 'mostly-true']",2,True
"Obama's plan for health care reform ""ends exorbitant out-of-pocket expenses, deductibles or co-pays.""",mostly-true,mostly-true,['mostly-true'],1,True
"""Rhode Island will become just the second state to mandate the vaccine … and the only state to do so by regulatory fiat, without public debate, and without consideration from the elected representatives of the people.""",half-true,false,"['mostly-false', 'false']",2,False
"The Democratic health care bill in the House would ""create 53 new government bureaucracies.""",mostly-false,mostly-false,"['mostly-true', 'half-true', 'mostly-false']",3,True
"""What they will do is socialized medicine.""",false,false,"['mostly-false', 'false']",2,True
"""The law says that mental health must be treated the same as physical health,"" but coverage by health insurers is unequal.",true,mostly-true,"['true', 'mostly-true']",2,True
"Says the director of an anti-abortion group receiving a Texas grant to provide women’s health services ""believes HIV can be spread through the sewer system.""",mostly-true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Obamacare passed by just one vote in the Senate. It wouldn’t have passed without Mark Warner’s vote.""",mostly-true,half-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"Says Mike Huckabee appeared in diabetes infomercials to endorse ""cures and treatments that no health agency supports.""",true,true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
The health care law includes tort reform.,false,false,['false'],1,True
"Says Tammy Baldwin was told by a whistleblower about ""overmedicated veterans,"" she made ""deadly mistakes"" and ""three veterans died"" at the Tomah VA hospital.",false,false,['false'],1,True
