statement,avg_set_size,std_set_size,num_trials,coverage_rate,true_verdict
"""#Broward elections department has a history of violating the law.""",2.730769230769231,0.44788761788017434,52,0.0,mostly-true
"""'Wrong precinct' rules exacerbate our provisional ballot problems (and) HB 194 does nothing to solve the wrong-precinct problem.""",4.425925925925926,0.49912572061109167,54,1.0,true
"""(Fritz) Kaegi managed a fund that invested nearly $30 million in private prisons.""",4.907407407407407,0.29258241983571953,54,1.0,mostly-false
"""(John McCain) was even mentioned as a running mate with John Kerry.""",1.0,0.0,51,1.0,true
"""13,000 Floridians are able to vote -- but their governor won't tell them.""",5.526315789473684,0.5060094062400561,38,1.0,false
"""14 percent of noncitizens are registered to vote.""",2.375,0.4892460547900816,48,1.0,false
"""2008: Unions Spent $400 Million to Elect Obama.""",2.341463414634146,0.4800914547021731,41,1.0,false
"""21% of 140,000 ballots were found to be in error in GA.”",2.5,0.5046949386828399,54,1.0,mostly-false
"""5.7 million -- that’s how many illegal immigrants might have voted"" in 2008.",2.4081632653061225,0.49658699082414776,49,1.0,false
"""55 percent of the people who cast a provisional ballot (in Florida) in the last presidential election -- their vote did not count.""",4.72,0.4535573676110726,50,1.0,mostly-true
"""58,000 non-citizens voted in Texas, with 95,000 non-citizens registered to vote.""",2.88,0.328260722659316,50,1.0,false
"""70 percent of Americans believe that we are on the wrong path.""",3.6666666666666665,0.4760952285695233,51,1.0,mostly-true
"""70 percent of the people who voted"" on June 5, 2012, ""just didn’t feel comfortable with the recall of the governor,"" weakening any idea that Wisconsin is ""fully behind this Walker agenda.""",4.254545454545455,0.4396202830466234,55,1.0,half-true
"""700 jobs (were) lost because Allen Boyd"" voted for the health care bill.",3.3333333333333335,0.4763930673403308,48,1.0,mostly-false
"""75 percent of the town boards in Wisconsin have no women on them at all.""",2.9361702127659575,0.32331538776092494,47,1.0,true
"""8 years of the Clintons, major losses for Democrats across the nation.""",4.0,0.0,43,1.0,mostly-true
"""@BernieSanders receives strong support from the conservative & most rural part of Vermont.""",4.857142857142857,0.3541688016605732,42,0.0,true
"""@realDonaldTrump is coming to San Antonio, which is 60% Mexican-AMERICAN.""",5.723404255319149,0.4521507857175268,47,1.0,mostly-true
"""A day AFTER the election, Biden receives a dump of 143,379 votes at 3:42AM (in Wisconsin), when they learned he was losing badly. This is unbelievable!""",2.730769230769231,0.44788761788017445,52,1.0,pants-fire
"""A record number of Hispanics were elected to the U.S House of Representatives...""",3.9411764705882355,0.23763541031440183,51,1.0,mostly-true
"""A witness will testify against Hillary Clinton.""",2.673469387755102,0.4738035414793426,49,1.0,false
"""Abolishing the Electoral College would make Los Angeles County stronger than 43 states.""",2.7288135593220337,0.4483882428930301,59,1.0,false
"""About 57 percent of registered Democrats in the new (9th Congressional) district come from my old district.""",4.266666666666667,0.44721359549995787,45,1.0,mostly-true
"""About 70 percent of Republicans nationwide ... don't think Donald Trump is the right guy"" to take on Hillary Clinton in November.",3.8048780487804876,0.4012176588288426,41,0.0,mostly-true
"""About half of the presidents have been governors; half of them, senators.""",2.9591836734693877,0.19991494790174608,49,1.0,false
"""Absent from the news — Dominion lost their lawsuits against Rudy Giuliani and Sidney Powell.""",1.96875,0.17536809360305045,64,1.0,false
"""Across the state the rejection rate for ballots went way down” in the Nov. 3 election.",3.9482758620689653,0.22340379562211252,58,1.0,mostly-false
"""After filing a lawsuit in Rhode Island, we reached an agreement with state agencies that resulted in more voters being registered in the first full month after our lawsuit than in the entire previous two-year reporting period.""",5.385964912280702,0.49114974312875126,57,1.0,true
"""After my first year as governor, I was one of the most unpopular governors, maybe the most unpopular governor in the country. ... It changed.""",4.96078431372549,0.28005601680560216,51,0.0196078431372549,true
"""Alabama state police arrest 3 poll workers in Birmingham.""",1.8363636363636364,0.37335497772755005,55,0.8363636363636363,pants-fire
"""All four on Mount Rushmore, they were all independents at one critical point in their career.""",2.981132075471698,0.13736056394868904,53,1.0,false
"""Amendment 4 will reduce Florida’s economic output by $34 billion annually.""",3.9344262295081966,0.24958982745138694,61,1.0,mostly-false
"""America has more governors who’ve worn blackface than black governors.""",2.925925925925926,0.2643505285727148,54,0.0,true
"""An April study found that about 70 percent of ads in this election cycle have been negative [due to SuperPACs], up from only 9 percent through the same period in 2008.""",3.933333333333333,0.4472135954999579,45,0.8666666666666667,mostly-true
"""An analysis showed that Bernie Sanders would have won the Democratic nomination if it were not for the Super Delegates.""",2.4444444444444446,0.502518907629606,45,1.0,false
"""An overwhelming majority of Republican and Democrat law enforcement leaders have endorsed Brad Schimel.""",3.0,0.0,44,1.0,half-true
"""Antifa"" is to blame for storming the U.S. Capitol.",1.9555555555555555,0.20840907713999274,45,0.9555555555555556,pants-fire
"""Any Floridian who has ever requested an absentee ballot henceforth gets one automatically.""",2.1951219512195124,0.4012176588288426,41,1.0,false
"""Any Republican that has led for two months and led every state has won the GOP nomination.""",5.84,0.3703280399090205,50,1.0,half-true
"""Apple and Amazon already operate in many states that require levels of voter ID.""",1.9166666666666667,0.2793101938654641,48,1.0,true
"""Arizona officials caught changing ballots, have been arrested.”",2.3125,0.46841743521886686,48,1.0,false
"""As the election tracker FiveThirtyEight has reported, whoever wins Pennsylvania will be our next President.""",3.8372093023255816,0.37354368381881425,43,1.0,mostly-false
"""At least three or four of the pieces that are in"" in the Republican lame-duck legislation, Scott Walker ""has vetoed previously.""",5.808510638297872,0.3977271225536438,47,1.0,mostly-true
"""At nearly 19 million people, the population of Florida is larger than all the earlier primary and caucus states combined.""",1.0,0.0,50,1.0,true
"""At the Democratic convention, the Pledge of Allegiance was read with the words 'under God' removed.""",2.5641025641025643,0.502356122102941,39,1.0,mostly-false
