statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"Says ""Brenda Snipes in Broward County is a Republican.""",false,false,"['false', 'pants-fire']",2,True
"Says Sen. Kamala Harris said Democrats are ""coming for"" Trump supporters if they win the White House in 2020.",pants-fire,false,"['false', 'pants-fire']",2,True
"California has seen a ""56 percent decline in the gun murder rate"" since the 1990s.",mostly-true,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,False
"The Biden-Harris administration ""wants to hand out $450,000 to illegal immigrants.""",false,false,"['false', 'pants-fire']",2,True
"“ICE officials have been ordered NOT to wear their uniforms or badges when they vote today"" so as not to intimidate noncitizens.",mostly-false,false,"['half-true', 'mostly-false', 'false']",3,True
"“60% of Alaska voters voted for a Republican, but thanks to a convoluted process and ballot exhaustion — which disenfranchises voters — a Democrat ‘won.’""",mostly-false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True
"""Over 60 percent of the provisional ballots cast in [the 2012] election were disqualified because those folks were not duly registered as voters.""",half-true,false,"['mostly-false', 'false']",2,False
"Says Bernie Sanders ""is the most popular politician in America today.""",mostly-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"Says Ohio Rep. Marcy Kaptur ""actually lives"" in ""a fancy condo in the Washington, D.C.  suburbs.""",false,false,"['mostly-false', 'false']",2,True
“Biden did not win legally.”,pants-fire,false,['false'],1,False
"""The turnout on May 14th was just 7 percent -- the lowest turnout in decades.""",mostly-true,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""Bruce Rauner is of record that he will fully support the Trump candidacy. It's documented. It’s available.""",mostly-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""If Russia, or some other entity, was hacking, why did the White House wait so long to act? Why did they only complain after Hillary lost?""",pants-fire,false,"['mostly-false', 'false']",2,False
"After a 2022 law, “the vast majority of colleges in New York State do not have on-campus poll sites.”",mostly-true,false,"['mostly-false', 'false', 'pants-fire']",3,False
“Many elections in Bexar are being called with 0% of precincts reporting! I smell MAJOR FRAUD!”,false,false,['false'],1,True
The Georgia House passed a bill that “makes it a misdemeanor to give food or water to voters waiting in line.”,true,false,"['mostly-false', 'false']",2,False
"“It now appears there actually was meaningful voter fraud in Fulton County, Georgia, last November. That is not a conspiracy theory. It's true.”",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
“I think they found a way to target Democratic districts and send millions of votes into a black hole. The numbers aren't adding up.”,pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""In one county alone in Ohio, President Obama received 106,258 votes. But there were only 98,213 eligible voters.""",pants-fire,false,"['false', 'pants-fire']",2,True
"Of the approximately 6 million disenfranchised felons in the United States, ""one-quarter are Floridians.""",mostly-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""Former Gov. Rick Perry signed a law that a federal court said was actually written with the purpose of discriminating against minority voters.""",mostly-true,false,"['mostly-false', 'false']",2,False
"Pinellas County voters ""elected me as their chief financial officer … (and) elected me as (their) governor four years ago.""",true,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,False
"Says Newt Gingrich said ""Spanish is the language of the ghetto.""",mostly-true,false,"['mostly-false', 'false', 'pants-fire']",3,False
Says “Kamala Harris is not able to be VP. Because she's a felon. She lied on her application to buy a gun here in CA.”,pants-fire,false,['false'],1,False
Says Raphael Warnock supports boycotts of Georgia to protest voting law.,false,false,"['mostly-false', 'false', 'pants-fire']",3,True
“Two thirds of eligible voters don’t vote.”,false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"“About 400,000 manufacturing jobs in the state of Michigan will go away with EV mandates.”",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
“Breaking: Trump names Boebert secretary of education”,false,false,"['false', 'pants-fire']",2,True
"Says according to recent polls, no Republican candidate ""is doing better against Hillary Clinton than myself.""",mostly-false,false,"['half-true', 'mostly-false', 'false']",3,True
"Nancy Pelosi said ""Congress shall not vote remotely because it is not secure!"" while also saying that “Americans should all vote for president by mail!”",mostly-false,false,"['mostly-false', 'false']",2,True
"“JD Vance actually sent a letter last year to the Department of Justice saying, ‘enforce the Comstock Act.’”",true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
“More fraud in New Jersey’s election uncovered – voting machines would not allow citizens to vote for Republican governor candidate.”,mostly-false,false,"['mostly-false', 'false']",2,True
HR 1 “automatically registers every welfare recipient to vote.”,mostly-false,false,"['mostly-false', 'false']",2,True
"“Arizona audit” shows 86,391 voters “don’t appear to exist.”",false,false,"['mostly-false', 'false']",2,True
