statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"""Our law enforcement agencies have found bodies in the desert, either buried or just lying out there, that have been beheaded.""",pants-fire,false,"['false', 'pants-fire']",2,True
"""All the Democrats on the entire stage — every Democratic candidate said they want to give free health care to illegals.""",mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"A Homeland Security study ""showed 120 murders took place that could have been prevented had communities been working with ICE and Homeland Security.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
A bill from U.S. Rep. Ted Yoho attempts to restrict the administration's ability to conduct national security and criminal background checks on undocumented immigrants.,half-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"On key issues including taxes, health care, the Green New Deal, abortion, and guns, there is “no daylight between” Bernie Sanders and Joe Biden.",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"I am ""the only candidate for lieutenant governor to oppose in-state tuition for illegal immigrants.""",false,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"Huckabee supported ""a tuition break to the children of illegals that are here illegally when citizens are having to pay a higher rate.""",half-true,half-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
“California has six extra” congressional representatives “because illegals are counted” in the census.,mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"U.S. Sen. Sherrod Brown voted to “give illegals taxpayer funded stimulus checks, health care, even Social Security.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""We don't get any of that information"" from the federal government on who refugees are, where they come from and how long they are likely to stay.",mostly-false,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"Says a 2007 immigration bill “was opposed by (the League of United Latin American Citizens), the largest Latino organization in America. The Southern Poverty Law Center called its guest-worker programs akin to slavery. … And you know who voted with me on that one, Joe? Barack Obama.”",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"""134,000 (criminal) aliens have been released by the (Obama) administration in just the past two years.""",half-true,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True
Says states that passed anti-illegal-immigrant legislation also had few Hispanic legislators.,true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"Says Russian President Vladimir Putin got a standing ovation from the Duma after he gave a speech saying Muslims are ""taking over"" other countries but won't take over Russia.",pants-fire,false,"['false', 'pants-fire']",2,True
"Newt Gingrich’s immigration plan offers ""a new doorway to amnesty.""",mostly-true,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,False
"""We have a legal immigration system in America that accepts 1 million people a year, legally. No other country in the world even comes close to that.""",mostly-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""The Senate immigration bill is … filled with things like rewards for au pair agencies, Alaskan seafood processors and Vegas casinos.""",true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says Jon Ossoff ""wants total, blanket amnesty and he wants a total lockdown.""",mostly-false,false,"['mostly-false', 'false']",2,True
"""The chances of being killed by a refugee committing a terrorist act is 1 in 3.6 billion.""",mostly-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""If you're from Guatemala and you are found illegally in Mexico, you are automatically jailed.""",false,false,['false'],1,True
"""25 percent of federal inmates are noncitizens.""",mostly-true,false,"['half-true', 'mostly-false', 'false']",3,False
"""Sixty percent of the Hispanics"" support the Arizona immigration law",pants-fire,false,"['false', 'pants-fire']",2,True
"The Trump administration’s policy of separating families is ""the same way Barack Obama did it.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""For the amount of money Hillary Clinton would like to spend on refugees, we could rebuild every inner city in America.""",pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""Comprehensive immigration reform, the bill we had back in 2013 ... brought the debt down $158 billion.""",half-true,half-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Undocumented immigrants commit less crimes than the native born.""",mostly-true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""We will have more people enter our country illegally than were born in this country in one year.""",pants-fire,false,"['false', 'pants-fire']",2,True
"""When Chuck Schumer and Marco Rubio tried to push amnesty, it was Ted Cruz who stopped them.""",mostly-false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True
"""Nearly 65 percent -- almost two-thirds -- of all new permanent residents obtained that status by virtue of their family status.""",true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""We have that program where immigrants come here and they have to bring a million dollars in order to get a green card if they’re going to create jobs.""",mostly-false,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"Migrants in New York City are receiving prepaid debit cards with up to $10,000 and no restrictions.",false,false,"['false', 'pants-fire']",2,True
"""There's never been a direct Supreme Court case on people who were here illegally, whether or not their kids are citizens.""",mostly-true,false,"['half-true', 'mostly-false', 'false']",3,False
"""Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.""",pants-fire,false,"['mostly-false', 'false']",2,False
"""They found 60 votes in the Senate in 2006 and 2013"" for immigration legislation, and ""each time the House Republican majority refused to take it up.""",true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"“On the Southern border, as you know, the wall is going up, it's going up very rapidly. We're at 182 miles.”",half-true,false,"['half-true', 'mostly-false', 'false']",3,True
"""Over half"" of science, technology, engineering and mathematics students ""receiving advanced degrees are not citizens of the United States of America.""",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"Joe Biden “is letting millions of people from jails, from prisons, from insane asylums, from mental institutions, drug dealers pour in.”",pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True
Democrats “introduced a bill that would ban detaining gay illegal immigrants.”,mostly-false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True
"“Illegal aliens will receive $1,400 stimulus checks.”",mostly-false,false,['false'],1,False
"""Illegal immigrants mow the grass around the (Texas) Capitol.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
“JUST IN: A MASSIVE CARAVAN of illegal aliens is forcing their way into the US!”,false,false,"['mostly-false', 'false']",2,True
"“For the first time in American history, if you're seeking asylum ... you can't do it from the United States. … You’ve got to seek asylum from abroad.”",mostly-false,false,"['mostly-false', 'false']",2,True
"""The U.S. Census believes that by 2030 the majority of Americans will use Spanish as their first language.""",pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True
"“You may not have stayed in a hotel in the past year, but illegals arriving since Biden’s inauguration, they get to stay free of charge.”",mostly-false,false,"['mostly-false', 'false']",2,True
Says the nation is locked down and there’s “a wide open border.”,false,false,"['mostly-false', 'false', 'pants-fire']",3,True
Richard von Coudenhove-Kalergi planned “the ethnocide of the peoples of Europe” through “the encouragement of mass non-white immigration.”,false,false,"['false', 'pants-fire']",2,True
"A federal system that verifies employees are authorized to work in the U.S. is inaccurate ""anywhere from 50 percent all the way up to in excess of 80"" percent of the time.",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
The Biden administration seeks to end voter ID requirements to allow immigrants in the country illegally to vote.,false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""When Phoenix dropped its sanctuary city policy in 2008, its murder rate fell 27 percent the following year.""",half-true,false,"['mostly-false', 'false', 'pants-fire']",3,False
"""Nate McMurray wants to reward illegals with amnesty.""",mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""TSA WILL ACCEPT DRIVERS PRIV CARDS FOR ID AT THE AIRPORT""",true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says ""92 percent of the people agree on DACA.""",half-true,false,"['mostly-false', 'false', 'pants-fire']",3,False
"Says ""56 percent of (the U.S.-Mexico) border is not under our control.""",half-true,false,"['mostly-false', 'false', 'pants-fire']",3,False
"""Illegal aliens cost the state of Rhode Island $400 million a year.""",pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True
Says Barack Obama didn't keep his promise to have an immigration bill in his first year.,true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
