statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"The election bill ""allows persons to correct an absentee ballot if they did not sign it and requires an extra two hours a day for early voting. Everything else in this bill is discretionary.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
"""The majority last quarter of Sherrod Brown's campaign contributions came from outside of the state of Ohio.""",false,false,['false'],1,True
"Says Jeb Bush and Marco Rubio ""had it set so that the winner takes everything, because they wanted to make sure that I didn't get anything"" in the Florida primary.",false,false,"['mostly-false', 'false']",2,True
"""Law firm @POTUS used to show he has no ties to Russia was named Russia Law Firm of the Year for their extensive ties to Russia. Unreal.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Putin Interference Could Give Courts Legal Right to Make Hillary President.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"The Republican National Convention ""is a Super Bowl times four.""",false,false,['false'],1,True
Dominion Voting Systems employee Eric Coomer told an Antifa meeting he “made sure” Donald Trump wouldn’t win.,false,false,['false'],1,True
“Dave McCormick is fully against abortion.”,mostly-false,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
“In 2020 we won (Wisconsin).”,pants-fire,false,"['false', 'pants-fire']",2,True
"On June 7, 2011, Kamala Harris was involved in a San Francisco hit-and-run crash that injured a woman named Alicia Brown.",pants-fire,false,['false'],1,False
"U.S. Sen. Sherrod Brown voted to “give illegals taxpayer funded stimulus checks, health care, even Social Security.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"Says Marco Rubio said that ""felons should not have their voting rights restored"" but that ""convicted felons should be allowed to own guns after they have done their time.""",false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""In one county alone in Ohio, President Obama received 106,258 votes. But there were only 98,213 eligible voters.""",pants-fire,pants-fire,['pants-fire'],1,True
"Says Hillary Clinton spent 30 days in the hospital in 2012 and appeared ""wearing glasses that are only for people who have traumatic brain injury.""",false,false,"['mostly-false', 'false']",2,True
"""In Florida felonies can be things like buying weed, tampering with an odometer or disturbing a lobster trap. So basically spring break.""",mostly-true,true,"['true', 'mostly-true', 'half-true']",3,True
H.R. 1 would “prevent removal of ineligible voters from registration rolls.”,false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"A judge has ordered a ""HAND RECOUNT by an INDEPENDENT COMMISSION in the state of Michigan, following hard evidence of voting fraud by Detroit City Election Commission.""",false,false,['false'],1,True
"Says state's expected ""increase in federal political clout  is almost entirely due to  the growth of the African American and  Hispanic populations in Texas in  virtually every region of the state.""",mostly-true,mostly-true,"['mostly-true', 'half-true']",2,True
Says “Kamala Harris is not able to be VP. Because she's a felon. She lied on her application to buy a gun here in CA.”,pants-fire,pants-fire,['pants-fire'],1,True
"""Gov. Rick Scott signed into law a bill that gives Florida's public officials an easy way to avoid disclosing their personal finances.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"“In Wisconsin, there are approximately 70,000 absentee ballots that do not have matching ballot applications as required by law.”",pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True
"Last year, Democrats won nearly 50% of the vote, yet they hold only 38% of the seats in the state House and 30% of the seats in the state Senate.",mostly-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""Over 60 percent of the provisional ballots cast in [the 2012] election were disqualified because those folks were not duly registered as voters.""",half-true,false,"['mostly-false', 'false']",2,False
"“Now that it’s even, Nevada decides to stop counting and is now not going to count anything until TOMORROW! What?!”",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"“We waited 24 hours and got a measly 62k votes"" in Maricopa County",false,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""More than 9,000 Rhode Island voters used the Moderate Party master lever mechanism and they didn't have a single Moderate on their ballot.""",mostly-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
“A Milwaukee election employee even acknowledged dropping off just the margin of ballots needed for a Biden win at 3 a.m.”,pants-fire,false,['false'],1,False
Republican Senate candidate Sam Brown “wants to cut Medicaid and Social Security.”,half-true,mostly-false,"['mostly-true', 'half-true', 'mostly-false']",3,True
The 2024 election results show that Joe Biden’s 80 million votes in 2020 were a “lie.”,pants-fire,false,"['false', 'pants-fire']",2,True
Facebook tried to “shut down” the campaign to recall California Gov. Gavin Newsom.,false,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"Fifty percent of the votes to Joe Biden in Michigan’s presidential primary election were mail-in, unverified, no signature, no ID.",false,false,['false'],1,True
A $2 million grant for Georgia’s DeKalb County amounts to a “private takeover of election offices.”,false,false,"['half-true', 'mostly-false', 'false']",3,True
U.S. Sen. Sherrod Brown “supported allowing puberty blockers and sex-change surgeries for minor children.”,mostly-false,false,"['mostly-false', 'false']",2,True
Jan. 6 defendants “are being held in prison without being charged.”,false,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
Kamala Harris paid The Shade Room to interview her “for perceived support amongst black voters.”,false,false,['false'],1,True
Says “Joe Biden is absolutely on board with defunding the police.”,false,false,"['mostly-false', 'false']",2,True
"“ABC lost $27M in ad revenue after advertisers pulled ads from the network after the way they hosted the debate"" on Sept. 10.",pants-fire,pants-fire,"['false', 'pants-fire']",2,True
Rhode Island is the last state still using the Optech III P voting machines and they don’t meet suggested federal standards.,half-true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
The RNC is “a $200 million economic infusion into our communities.”,half-true,false,"['mostly-false', 'false']",2,False
"""The Democrats have over  20 field agents to our zero.""",half-true,half-true,['half-true'],1,True
"Says U.S. Immigration and Customs Enforcement “will be at every polling station” on Nov. 3, 2020.",false,false,['false'],1,True
"Democrat ""Russ Feingold announced his Wisconsin Senate run today from…California.""",pants-fire,pants-fire,"['false', 'pants-fire']",2,True
