statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
Donald Trump “intends to cut” Medicare.,mostly-false,false,"['false', 'mostly-false', 'half-true', 'pants-fire']",4,True
"Georgia Secretary of State Brad Raffensperger used ""$50 million of Zuckerberg money"" in 2020 to ""tip the scales.""",false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"""I unsealed my records"" at Marquette University.",false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"Says in regard to providing ""more tax cuts for the rich,"" Bill Pascrell said, ""Republicans had great ideas. I liked some of their ideas.""",pants-fire,false,"['false', 'mostly-false']",2,False
"“So the Pennsylvania Supreme Court just ruled, in effect, that the 2020 presidential election was rigged.”",pants-fire,false,"['false', 'pants-fire']",2,True
"Says a Republican-drawn map of proposed U.S. House districts for Texas ""gerrymanders more than nine million Latinos in Texas to make sure that we have no more electoral opportunity than we did in 1991.""",mostly-true,false,"['false', 'mostly-false', 'mostly-true', 'half-true', 'true', 'pants-fire']",6,True
"In the 2020 presidential election, “4,255 ballots in Fulton County, Georgia,  were scanned multiple times” and “3,390 went to Biden.”",false,false,"['false', 'pants-fire', 'mostly-false']",3,True
"""The Republican who was just elected governor of the great state of Florida paid his campaign staffers, not with money, but with American Express gift cards.""",half-true,false,"['false', 'half-true', 'mostly-true', 'true', 'mostly-false']",5,True
"Says Rick Scott’s proposal for election reform ""only mandates 48 hours of early voting.""",mostly-true,false,"['false', 'mostly-false', 'half-true', 'pants-fire']",4,False
"The voting bill known as H.R. 1 would mean “that millions of illegal immigrants are quickly registered to vote.""",false,false,"['false', 'mostly-false']",2,True
Democrats don’t deport undocumented migrants “because every illegal is a highly likely vote at some point.”,false,false,"['false', 'pants-fire']",2,True
Says he “is the only candidate in the Wisconsin Attorney General race with experience as a prosecutor.”,false,false,"['false', 'mostly-false', 'half-true', 'pants-fire']",4,True
"The Southern strategy is a ""myth"" that ""never happened.""",false,false,"['false', 'pants-fire']",2,True
"Says no one from the Bush family attended the 2012 Republican National Convention and ""there was no President Bush"" at the 2008 convention.",false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"Pennsylvania rejected 372,000 mail-in ballots",false,false,"['false', 'mostly-false']",2,True
"""At the Democratic convention, the Pledge of Allegiance was read with the words 'under God' removed.""",mostly-false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"Mike Rogers “left Michigan to trade on his D.C. connections, helping Chinese tech companies get access to the U.S.”",false,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true']",5,True
"Says that if Texas, California and New York all voted for Democratic presidential nominees, ""it would be mathematically impossible for Republicans to elect a president.""",false,false,"['false', 'mostly-false', 'pants-fire']",3,True
“President Joe Biden admits to faking the election.”,false,false,"['false', 'pants-fire']",2,True
A livestream failing in Nevada is “one of the ways blue states steal elections.”,false,false,"['false', 'mostly-false']",2,True
Says Texas proved in court that more than 200 dead people voted in the latest Texas election.,mostly-false,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'true']",5,True
"""After my first year as governor, I was one of the most unpopular governors, maybe the most unpopular governor in the country. ... It changed.""",true,mostly-false,"['mostly-false', 'false', 'half-true', 'mostly-true', 'pants-fire']",5,False
"""More than 250 (voter registration) groups, ranging across the entire political spectrum, have filed with the state and are registering voters right now.""",half-true,false,"['false', 'mostly-false', 'mostly-true', 'half-true', 'true']",5,True
"“Every state that does not require voter ID, Kamala won.”",false,false,"['false', 'pants-fire', 'mostly-false']",3,True
"""There was even a time when (Donald Trump) didn't get an Emmy for his TV program three years in a row and he started tweeting that the Emmys were rigged.""",half-true,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'true']",5,True
