statement,avg_set_size,std_set_size,num_trials,coverage_rate,true_verdict
"""(After the auto bailout) General Motors is back on top as the world’s No. 1 automaker.""",5.733333333333333,0.44721359549995804,45,1.0,half-true
"""(M)ore Georgians have jobs than at any other time since October 2008.""",1.0,0.0,46,1.0,true
"""(Mary) Burke was a senior member of the Doyle administration that left Wisconsin with 130,000 fewer jobs.""",4.0,0.0,43,1.0,mostly-false
"""(President Barack Obama gave) half a billion in taxpayer money to help his friends at Solyndra, a business the White House knew was on the path to bankruptcy.""",4.113636363636363,0.32103822064055043,44,1.0,mostly-false
"""1.53 million jobs are at risk (from potential defense cuts).""",2.0,0.0,47,0.0,mostly-true
"""170,000 of the jobs"" created in Texas under Gov. Rick Perry ""were government jobs.""",4.0,0.0,36,1.0,half-true
"""2.1 million jobs have been created in the last six or seven years"" in California",1.0,0.0,46,1.0,true
"""25,000 businesses have been created since (Scott) Walker took office.""",3.9622641509433962,0.19238024756109726,53,1.0,mostly-false
"""42 percent of (Walmart’s) associates are black.""",2.0,0.0,51,1.0,false
"""6,400 Ohioans ... lost manufacturing jobs in the month of September.""",4.978260869565218,0.1474419561548971,46,0.9782608695652174,mostly-true
"""60 percent of the jobs lost in the 2008 recession were living-wage jobs. Of the jobs we’ve gotten back, only 40 percent are living-wage.""",1.0,0.0,45,1.0,true
"""70 million Americans have a criminal record — that’s one in three adults.""",2.6458333333333335,0.48332110525006233,48,0.0,half-true
"""75 percent of the jobs created in the state of Ohio are created in small business. They are not created by huge corporations and those who are very wealthy.""",5.491525423728813,0.5042194840896106,59,1.0,mostly-true
"""80 percent of the American people haven’t gotten a pay raise since the crash.""",5.0,0.0,50,1.0,mostly-true
"""832,000 people lost their job while (Charlie Crist was) governor.""",3.4745762711864407,0.7035852080199505,59,1.0,half-true
"""92 million Americans aren't working.""",3.0,0.0,48,1.0,mostly-false
"""92 percent of the jobs lost during Barack Obama’s first term belonged to women.""",3.0,0.0,60,1.0,false
"""95 percent of job creators say Wisconsin is headed in the right direction.""",2.9464285714285716,0.6444065023412943,56,1.0,half-true
"""95 percent of the income gains in the last few years have gone to the top 1 percent.""",5.425925925925926,0.499125720611092,54,1.0,mostly-true
"""A case before Washington’s Supreme Court seeks to effectively end public labor unions.""",4.163265306122449,0.3734377890799553,49,1.0,false
"""A hundred percent of all the jobs lost during the recession have been reclaimed in Texas … while the nation is at about 36 percent.""",6.0,0.0,55,1.0,mostly-true
"""A quarter of our workers make $18,000 per year.""",5.0,0.0,46,1.0,half-true
"""A report just came out that if we continue with President Obama's policies, we're looking at over 9 percent unemployment next year in the fourth quarter.""",2.973684210526316,0.16222142113076254,38,1.0,false
"""A study by the National Economics Research Association showed that the (Paris climate) deal could cost 2.7 million lost jobs in the U.S. by 2025 should our country adhere to the commitments made by the Obama Administration.""",3.0,0.0,49,1.0,false
"""A white family is likely to have about six times as much wealth than a black or Hispanic family coming out of the recession.""",3.0,0.0,41,1.0,true
"""A woman working full-time is paid 79 to 80 cents for every dollar a man is paid, and it's even less for women of color, and on average $11,000 per year is lost simply because she isn't a man.""",1.0,0.0,52,0.0,mostly-true
"""About 47 percent of able-bodied people in the state of Maine don’t work.""",2.980769230769231,0.13867504905630726,52,0.9807692307692307,pants-fire
