statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"""In New York State, Democrats blocked a Bill expanding College Tuition for Gold Star families after approving aid for illegal immigrants.""",true,false,"['false', 'mostly-false', 'half-true', 'pants-fire']",4,False
"""We've got 40 years of study now that show that, with a good preschool start, you're less likely to be on public dole, you're less likely to be in prison.""",mostly-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'true', 'false']",5,True
"It is a myth that Florida's education legislation was ""negotiated in secret.""",false,mostly-false,"['mostly-false', 'false', 'half-true', 'pants-fire', 'mostly-true', 'true']",6,True
"Common Core means ""there are over 300 data elements the government is going to be collecting about your children and about you.""",mostly-false,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'true']",5,True
"As state treasurer, Alexi Giannoulias ""lost $73 million in our kids’ college savings.""",half-true,false,"['false', 'mostly-false', 'pants-fire', 'half-true']",4,True
"""Texas’ high school graduation rate went from 27th in the country in 2002, to second highest in the country in 2013.""",mostly-false,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true', 'true']",6,True
"""Under Pat McCrory, (North Carolina) has fallen to 41st in teacher pay.""",mostly-false,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire', 'true']",6,True
"In his first meeting with University of Wisconsin System officials, Republican Governor elect Scott Walker told them to prepare for cuts.",false,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire', 'true']",6,True
“Under Terry McAuliffe (there was a) record investment in education.”,mostly-false,mostly-true,"['mostly-true', 'half-true', 'true', 'mostly-false', 'false']",5,True
"""Research even shows that sending more girls to school can boost an entire country’s GDP.""",mostly-true,true,"['true', 'mostly-true', 'half-true']",3,True
"In 2011, Milwaukee Public Schools ""will provide 77 cents in employee benefits for every dollar it spends on wages.""",mostly-true,false,"['false', 'mostly-false', 'pants-fire', 'half-true']",4,False
"""Welders make more money than philosophers.""",false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"Says Dan Forest has “missed almost half of the Board of Education meetings during the pandemic.""",true,half-true,"['half-true', 'false', 'mostly-false', 'mostly-true', 'pants-fire', 'true']",6,True
"Says Texas General Land Office ""has earned the school  children of Texas $451,932.89 on wind leases that haven't produced a  watt of energy.""",true,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true', 'true']",6,True
"""The Legislature passed Gov. Walker’s so-called property tax relief bill,"" but the Republicans ""are still raising your property taxes.""",half-true,half-true,"['half-true', 'mostly-false', 'false', 'mostly-true', 'pants-fire', 'true']",6,True
"""The [Georgia] General Assembly took away the Atlanta Board of Education’s oversight of the superintendent.""",mostly-false,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true', 'true']",6,True
"""In this country, we have a 25 percent dropout rate.""",half-true,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true', 'true']",6,True
"Says that under Rick Perry’s plan, ""Texas has cut funding for public schools by 25%.""",mostly-true,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true']",5,True
"""Americans spend 100-million hours a year filling out these forms (FAFSA). That is the equivalent of 55,500 full-time jobs.""",half-true,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true', 'true']",6,True
Men “have the lowest college attainment rate ever.”,mostly-true,false,"['false', 'mostly-false', 'pants-fire', 'half-true']",4,False
"""By the time I left"" the State Department, ""economic growth was up and opium production was down"" in Afghanistan, while ""infant mortality declined"" and school enrollment rose by more than sevenfold.",mostly-true,half-true,"['half-true', 'mostly-true', 'mostly-false', 'false', 'true', 'pants-fire']",6,True
Opponent Glenn Hegar expressed pride in legislated cuts to public school funding.,true,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire', 'true']",6,True
