statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
Says Barack Obama complained that Democrats continue to ignore blacks except at election time.,pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True
"On COVID-19, Donald Trump said that “maybe if you drank bleach you may be okay.”",mostly-false,false,"['mostly-false', 'false']",2,True
"Pinellas County voters ""elected me as their chief financial officer … (and) elected me as (their) governor four years ago.""",true,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,False
“Military ready to act on audit results!” in Arizona,false,false,['false'],1,True
"Speaking about Hillary Clinton: “I didn’t say, ‘Lock her up.’ ”",pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True
“They want to make our Army tanks all electric.”,false,false,"['mostly-false', 'false']",2,True
"Says Joe Biden's plan for net-zero emissions ""would instantly shut down all fracking and all mining immediately in Pennsylvania.""",false,false,"['half-true', 'mostly-false', 'false']",3,True
"""The @nytimes sent a letter to their subscribers apologizing for their BAD coverage of me.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"Says Donald Trump “voted twice” in the Nov. 3, 2020 election",pants-fire,false,"['false', 'pants-fire']",2,True
"""Before the Republican wave in 2010, Democrats had an advantage on the generic ballot in Congress. Even in 1994 with the Gingrich revolution ... Democrats had that advantage.""",true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"A North Carolina study proves that ""probably over a million people voted twice in (the 2012) election.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
“No candidate has ever won both Florida and Ohio and lost.”,pants-fire,false,['false'],1,False
"Data shows some voters cast multiple votes, meaning ""at least 164,568 illegal votes have been cast” in Michigan.",false,false,"['false', 'pants-fire']",2,True
“Every election year has a disease” ... SARS in 2004; avian flu in 2008; swine flu in 2010; MERS in 2012; Ebola in 2014 and 2018; Zika in 2016 and the coronavirus in 2020.,false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""Snitker has been virtually ignored by the major media.""",true,false,"['true', 'false']",2,True
"In Wisconsin, because a key provision of the Voting Rights Act was not in effect,  ""somewhere between 40,000 and 80,000 people were turned away from the polls (in 2016) because of the color of their skin"" and other factors.",pants-fire,false,"['false', 'pants-fire']",2,True
"After being shot at a Milwaukee rally in 1912, former President Teddy Roosevelt “finished his speech and he kept fighting.”",mostly-true,false,"['mostly-false', 'false']",2,False
"Says Kanye West got 40,000 votes in the presidential election in Kentucky.",false,false,"['false', 'pants-fire']",2,True
"“Schaumburg, Illinois not recording votes, just putting votes ‘in a box.’”",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"With voting by mail, “you get thousands and thousands of people sitting in somebody's living room, signing ballots all over the place.”",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
Says Tommy Tuberville “is for privatizing Social Security and cutting Medicare.”,half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"GOP-backed ""racist disenfrachisement"" led to only five polling places being open in Milwaukee for April 7 election.",mostly-false,mostly-false,"['half-true', 'mostly-false', 'false']",3,True
Vice President Kamala Harris “even wants to legalize fentanyl.”,false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""The White House fully cooperated with the Special Counsel’s investigation.""",false,false,"['mostly-false', 'false']",2,True
"Says U.S. Rep. Jamie Raskin said, “Let folks cast their votes for Trump if that’s their choice. But mark my words, we won’t be certifying the election. He might win, but we’ll ensure he doesn’t step foot in the Oval Office.”",false,false,"['false', 'pants-fire']",2,True
